DATE,IUDBEDR,IUDSOIA,IUDSNPY,IUDMNPY,IUDLNPY,XUDLUSS,XUDLERS
01 Jun 2026,3.75,3.7291,4.4173,4.8696,5.3655,1.3437,1.1567
02 Jun 2026,3.75,3.7308,4.3892,4.8314,5.3234,1.3472,1.157
03 Jun 2026,3.75,3.7306,4.4442,4.8909,5.3811,1.3437,1.1571
04 Jun 2026,3.75,3.7308,4.4298,4.8786,5.3697,1.3445,1.156
05 Jun 2026,3.75,3.7312,4.4309,4.8773,5.3633,1.3387,1.1581
08 Jun 2026,3.75,3.73,4.4671,4.9135,5.4001,1.3344,1.156
09 Jun 2026,3.75,3.7271,4.4373,4.8873,5.375,1.3398,1.1587
10 Jun 2026,3.75,3.7296,4.4537,4.9021,5.3906,1.3402,1.1601
11 Jun 2026,3.75,3.7305,4.4338,4.8804,5.3685,1.3328,1.157
12 Jun 2026,3.75,3.7301,4.3549,4.8156,5.3183,1.3413,1.1589
15 Jun 2026,3.75,3.7296,4.3075,4.7862,5.3094,1.3441,1.1579
16 Jun 2026,3.75,3.7304,4.3161,4.7794,5.2921,1.3428,1.1568
17 Jun 2026,3.75,3.7303,4.2716,4.7394,5.2593,1.3394,1.1557
18 Jun 2026,3.75,3.73,4.2723,4.7213,5.2258,1.3253,1.1537
19 Jun 2026,3.75,3.7294,4.2723,4.7213,5.2258,1.3231,1.1536
22 Jun 2026,3.75,3.7292,4.327,4.783,5.2859,1.3262,1.1588
23 Jun 2026,3.75,3.7295,4.2803,4.7322,5.237,1.3201,1.1598
24 Jun 2026,3.75,3.729,4.2278,4.6683,5.1719,1.3148,1.1592
25 Jun 2026,3.75,3.7287,4.2275,4.682,5.1944,1.3202,1.1605
26 Jun 2026,3.75,3.729,4.2479,4.7117,5.2287,1.3197,1.1583
29 Jun 2026,3.75,3.7292,4.2424,4.6997,5.2117,1.3245,1.1595
30 Jun 2026,3.75,3.7318,4.278,4.742,5.2568,1.3273,1.161
01 Jul 2026,3.75,3.7309,4.2683,4.7446,5.2654,1.3278,1.1652
02 Jul 2026,3.75,3.7305,4.2618,4.749,5.2752,1.3376,1.1688
03 Jul 2026,3.75,3.7302,4.2781,4.7652,5.2885,1.3356,1.1673
06 Jul 2026,3.75,3.7297,4.2799,4.7694,5.2966,1.3356,1.1698
07 Jul 2026,3.75,3.7297,4.3208,4.8092,5.3321,1.3379,1.1703
08 Jul 2026,3.75,3.7303,4.4753,4.9545,5.4541,1.3373,1.1722
09 Jul 2026,3.75,3.7311,4.4075,4.892,5.4019,1.3391,1.1713
10 Jul 2026,3.75,3.731,4.3868,4.8681,5.3777,1.341,1.174
13 Jul 2026,3.75,3.7308,4.4838,4.9503,5.4418,1.3379,1.1729
14 Jul 2026,3.75,3.7311,4.469,4.9386,5.4285,1.3405,1.1713
15 Jul 2026,3.75,3.7308,4.4679,4.9399,5.4311,1.3479,1.1784
16 Jul 2026,3.75,3.7308,4.4967,4.9648,5.4489,1.3489,1.1788
17 Jul 2026,3.75,3.7307,4.4787,4.9436,5.4342,1.3446,1.1753
20 Jul 2026,3.75,3.7307,4.5457,5.0195,5.5119,1.344,1.1782
21 Jul 2026,3.75,3.7302,4.5453,5.021,5.5123,1.3372,1.1723
22 Jul 2026,3.75,3.7303,4.5752,5.0424,5.5124,1.3375,1.1723
23 Jul 2026,3.75,3.731,4.6405,5.0934,5.5677,1.332,1.1713
24 Jul 2026,3.75,3.7307,4.5678,5.0253,5.5072,1.3327,1.1713
27 Jul 2026,3.75,3.7312,4.5199,4.9715,5.4603,1.3304,1.1698
28 Jul 2026,3.75,3.7316,4.482,4.9409,5.4404,1.3292,1.1673
29 Jul 2026,3.75,3.7313,4.5608,5.0051,5.4871,1.3287,1.1675
30 Jul 2026,3.75,3.732,4.5235,4.9967,5.506,1.3425,1.1671
31 Jul 2026,3.75,3.7313,4.5569,5.0257,5.5258,1.3457,1.1697
03 Aug 2026,3.75,3.7321,4.4656,4.9382,5.4495,1.3437,1.1671
04 Aug 2026,3.75,3.7318,4.4217,4.9031,5.4259,1.3447,1.167
05 Aug 2026,3.75,3.7313,4.3871,4.8802,5.4016,1.3479,1.1666
06 Aug 2026,3.75,3.7323,4.4304,4.9129,5.4364,1.3466,1.1674
07 Aug 2026,3.75,3.7318,4.4356,4.9118,5.4311,1.3489,1.1675
10 Aug 2026,3.75,3.7315,4.4979,4.9718,5.4818,1.3521,1.1704
11 Aug 2026,3.75,3.7315,4.4688,4.9462,5.4571,1.3509,1.1703
12 Aug 2026,3.75,3.731,4.4815,4.9593,5.4735,1.3509,1.1704
13 Aug 2026,3.75,3.7308,4.4686,4.9437,5.4627,1.3507,1.1701
14 Aug 2026,3.75,3.7307,4.5237,5.0087,5.5236,1.3549,1.1699
17 Aug 2026,3.75,3.7312,4.555,5.0427,5.5582,1.3553,1.1696
18 Aug 2026,3.75,3.7311,4.573,5.0676,5.582,1.3543,1.1694
19 Aug 2026,3.75,3.7313,4.5545,5.0401,5.55,1.3608,1.1668
20 Aug 2026,3.75,3.7309,4.561,5.0478,5.5553,1.3632,1.1668
21 Aug 2026,3.75,3.731,4.5562,5.0506,5.5631,1.3625,1.1672
24 Aug 2026,3.75,3.7311,4.5691,5.0513,5.5563,1.3635,1.1688
25 Aug 2026,3.75,3.7316,4.5131,4.9959,5.5021,1.3633,1.1682
26 Aug 2026,3.75,3.7309,4.529,5.0121,5.5205,1.3588,1.1668
27 Aug 2026,3.75,3.7303,4.5456,5.0254,5.5287,1.3582,1.1664
28 Aug 2026,3.75,3.7308,4.5935,5.0631,5.5511,1.3571,1.1682
01 Sep 2026,3.75,3.7302,4.6616,5.1333,5.6139,1.3538,1.1675
02 Sep 2026,3.75,3.7298,4.6975,5.171,5.6469,1.3506,1.1649
03 Sep 2026,3.75,3.7301,4.6085,5.0843,5.5699,1.3518,1.1635
04 Sep 2026,3.75,,,,,1.3515,1.1635
