operation_date,settlement_date,isin,bond,offers_m,allocated_proceeds_m,allocated_nominal_m,wa_yield,wa_price,high_price,alloc_at_low_pct,low_price,tail
2026-07-27,2026-07-28,GB00BJMHB534,UKT_0.875_221029,650.151767,627.743792,700,4.411246,89.445786,89.453,100,89.43,0.015786
2026-07-27,2026-07-28,GB00BL68HH02,UKT_0.375_221030,84.479385,0,0,0,0,0,0,0,0
2026-07-27,2026-07-28,GB00B24FF097,UKT_4.75_071230,152.716827,97.233215,95.5,4.454814,101.153,101.153,95.499999,101.153,0
2026-07-27,2026-07-28,GB0004893086,UKT_4.25_070632,98.682213,0,0,0,0,0,0,0,0
2026-08-10,2026-08-11,GB0032452392,UKT_4.25_070336,369.91324,182.774541,190,4.994744,94.38395,94.41,100,94.37,0.01395
2026-08-10,2026-08-11,GB00BZB26Y51,UKT_1.75_070937,68.715773,14.493321,20,5.128988,71.72,71.72,100,71.72,0
2026-08-10,2026-08-11,GB00B00NY175,UKT_4.75_071238,275.3031,275.303101,285,5.220766,95.754,95.754,100,95.754,0
2026-08-10,2026-08-11,GB00B3KJDS62,UKT_4.25_070939,368.501217,122.999129,133.5,5.284299,90.321,90.321,38.142857,90.321,0
2026-08-10,2026-08-11,GB00BNNGP775,UKT_0.875_310146,4.420615,4.420615,10,5.631896,44.18,44.18,100,44.18,0
2026-08-17,2026-08-18,GB00BJMHB534,UKT_0.875_221029,386.737046,380.712935,423.3,4.39788,89.657168,89.662,86.6,89.63,0.027168
2026-08-17,2026-08-18,GB00BMGR2809,UKT_0.25_310731,284.865798,284.865799,350,4.486182,81.378,81.378,100,81.378,0
2026-08-17,2026-08-18,GB0004893086,UKT_4.25_070632,889.27269,59.337239,60,4.634072,98.059333,98.064,100,98.05,0.009333
2026-08-17,2026-08-18,GB00BM8Z2S21,UKT_0.875_310733,19.248199,0,0,0,0,0,0,0,0
