date,ARBAMPNRPESB
2020-11-04,0.0
2022-05-04,0.25
2022-06-08,0.75
2022-07-06,1.25
2022-08-03,1.75
2022-09-07,2.25
2022-10-05,2.5
2022-11-02,2.75
2022-12-07,3.0
2023-02-08,3.25
2023-03-08,3.5
2023-05-03,3.75
2023-06-07,4.0
2023-11-08,4.25
2025-02-19,4.0
2025-05-21,3.75
2025-08-13,3.5
2026-02-04,3.75
2026-03-18,4.0
2026-05-06,4.25
