date,net_issuance_private_v2_daily
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,-171.122
2023-09-15,-1480.797
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,275.61
2023-09-22,328.272
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,-145.737
2023-09-29,-1976.261
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,-744.388
2023-10-05,0.0
2023-10-06,-2641.358
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,-131.224
2023-10-13,1249.765
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,-1478.895
2023-10-23,2605.354
2023-10-24,-7902.8
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,2027.464
2023-10-30,0.0
2023-10-31,-718.885
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,-2746.466
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,1353.811
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,-145.329
2023-11-17,-2705.312
2023-11-20,0.0
2023-11-21,2711.336
2023-11-22,0.0
2023-11-23,0.0
2023-11-24,2281.09
2023-11-27,0.0
2023-11-28,0.0
2023-11-29,0.0
2023-11-30,-192.629
2023-12-01,-2658.57
2023-12-04,0.0
2023-12-05,0.0
2023-12-06,0.0
2023-12-07,0.0
2023-12-08,-2630.791
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,-112.861
2023-12-15,3528.598
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,0.0
2023-12-21,1327.69
2023-12-22,0.0
2023-12-25,0.0
2023-12-26,0.0
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,0.0
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,-1973.791
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
