date,AESAT
2023-09-11,379314.0
2023-09-12,382840.0
2023-09-13,383496.0
2023-09-14,381905.0
2023-09-15,380416.0
2023-09-18,377907.0
2023-09-19,377419.0
2023-09-20,375089.0
2023-09-21,358007.0
2023-09-22,358512.0
2023-09-25,353209.0
2023-09-26,355415.0
2023-09-27,358276.0
2023-09-28,357945.0
2023-09-29,355726.0
2023-10-02,353137.0
2023-10-03,351912.0
2023-10-04,352746.0
2023-10-05,351964.0
2023-10-06,351110.0
2023-10-09,358863.0
2023-10-10,361823.0
2023-10-11,362587.0
2023-10-12,363991.0
2023-10-13,366024.0
2023-10-16,365127.0
2023-10-17,365981.0
2023-10-18,366297.0
2023-10-19,363600.0
2023-10-20,360634.0
2023-10-23,356437.0
2023-10-24,349067.0
2023-10-25,349607.0
2023-10-26,350383.0
2023-10-27,352699.0
2023-10-30,350194.0
2023-10-31,349748.0
2023-11-01,362566.0
2023-11-02,363454.0
2023-11-03,361930.0
2023-11-06,361179.0
2023-11-07,364785.0
2023-11-08,365722.0
2023-11-09,365556.0
2023-11-10,367541.0
2023-11-13,365928.0
2023-11-14,367861.0
2023-11-15,367788.0
2023-11-16,367689.0
2023-11-17,364049.0
2023-11-20,358081.0
2023-11-21,354142.0
2023-11-22,352487.0
2023-11-23,352085.0
2023-11-24,352618.0
2023-11-27,348419.0
2023-11-28,349512.0
2023-11-29,347953.0
2023-11-30,344478.0
2023-12-01,338273.0
2023-12-04,338651.0
2023-12-05,340266.0
2023-12-06,340438.0
2023-12-07,345864.0
2023-12-08,344264.0
2023-12-11,343881.0
2023-12-12,346230.0
2023-12-13,347527.0
2023-12-14,345425.0
2023-12-15,350932.0
2023-12-18,348826.0
2023-12-19,350394.0
2023-12-20,351262.0
2023-12-21,351556.0
2023-12-22,350835.0
2023-12-27,349963.0
2023-12-28,349314.0
2023-12-29,349146.0
2024-01-02,349419.0
2024-01-03,348364.0
2024-01-04,349477.0
2024-01-05,349584.0
2024-01-08,363261.0
2024-01-09,366254.0
2024-01-10,365990.0
2024-01-11,368427.0
2024-01-12,366858.0
2024-01-15,366924.0
2024-01-16,367189.0
2024-01-17,365289.0
2024-01-18,364911.0
2024-01-19,365129.0
2024-01-22,357624.0
2024-01-23,358381.0
2024-01-24,358520.0
2024-01-25,357940.0
2024-01-29,355670.0
2024-01-30,356173.0
2024-01-31,356620.0
2024-02-01,359570.0
2024-02-02,359446.0
2024-02-05,359439.0
2024-02-06,359837.0
2024-02-07,362787.0
2024-02-08,362103.0
2024-02-09,364488.0
2024-02-12,362216.0
2024-02-13,364705.0
2024-02-14,364725.0
2024-02-15,366165.0
2024-02-16,363512.0
2024-02-19,361054.0
2024-02-20,358661.0
2024-02-21,352293.0
2024-02-22,349975.0
2024-02-23,351390.0
2024-02-26,344472.0
2024-02-27,343123.0
2024-02-28,338091.0
2024-02-29,335414.0
2024-03-01,332850.0
2024-03-04,333954.0
2024-03-05,334174.0
2024-03-06,334174.0
2024-03-07,336077.0
2024-03-08,337418.0
2024-03-11,337555.0
2024-03-12,339450.0
2024-03-13,338748.0
2024-03-14,338795.0
2024-03-15,337103.0
2024-03-18,335232.0
2024-03-19,335817.0
2024-03-20,332759.0
2024-03-21,325708.0
2024-03-22,326387.0
2024-03-25,324569.0
2024-03-26,327632.0
2024-03-27,330298.0
2024-03-28,330036.0
2024-04-02,325014.0
2024-04-03,327819.0
2024-04-04,328614.0
2024-04-05,327470.0
2024-04-08,329471.0
2024-04-09,329301.0
2024-04-10,330347.0
2024-04-11,331524.0
2024-04-12,334154.0
2024-04-15,333632.0
2024-04-16,333887.0
2024-04-17,334370.0
2024-04-18,333267.0
2024-04-19,328270.0
2024-04-22,337522.0
2024-04-23,337598.0
2024-04-24,336119.0
2024-04-26,334692.0
2024-04-29,333106.0
2024-04-30,333073.0
2024-05-01,335211.0
2024-05-02,335033.0
2024-05-03,332375.0
