date,DMAM3S
2018-09-30,2088.6
2018-10-31,2096.1
2018-11-30,2097.7
2018-12-31,2107.8
2019-01-31,2117.9
2019-02-28,2130.2
2019-03-31,2145.2
2019-04-30,2145.5
2019-05-31,2144.5
2019-06-30,2146.3
2019-07-31,2121.6
2019-08-31,2127.8
2019-09-30,2134.5
2019-10-31,2145.2
2019-11-30,2153.8
2019-12-31,2159.0
2020-01-31,2168.3
2020-02-29,2178.8
2020-03-31,2239.9
2020-04-30,2305.7
2020-05-31,2311.0
2020-06-30,2328.4
2020-07-31,2354.4
2020-08-31,2380.1
2020-09-30,2394.8
2020-10-31,2407.5
2020-11-30,2422.7
2020-12-31,2432.1
2021-01-31,2445.4
2021-02-28,2455.7
2021-03-31,2459.0
2021-04-30,2466.2
2021-05-31,2470.9
2021-06-30,2509.0
2021-07-31,2539.1
2021-08-31,2549.9
2021-09-30,2587.4
2021-10-31,2602.0
2021-11-30,2621.2
2021-12-31,2657.4
2022-01-31,2656.9
2022-02-28,2665.2
2022-03-31,2686.9
2022-04-30,2700.7
2022-05-31,2724.5
2022-06-30,2757.3
2022-07-31,2770.9
2022-08-31,2778.3
2022-09-30,2775.7
2022-10-31,2793.5
2022-11-30,2811.2
2022-12-31,2826.0
2023-01-31,2846.6
2023-02-28,2846.5
2023-03-31,2865.6
2023-04-30,2869.2
2023-05-31,2880.9
2023-06-30,2871.0
2023-07-31,2879.6
2023-08-31,2898.5
2023-09-30,2915.8
2023-10-31,2917.4
2023-11-30,2940.7
2023-12-31,2963.3
2024-01-31,2976.5
2024-02-29,2993.9
2024-03-31,3003.7
2024-04-30,3018.7
2024-05-31,3027.2
2024-06-30,3025.7
2024-07-31,3052.2
2024-08-31,3063.3
2024-09-30,3074.4
2024-10-31,3102.1
2024-11-30,3112.5
2024-12-31,3126.5
2025-01-31,3138.4
2025-02-28,3155.0
2025-03-31,3159.5
2025-04-30,3188.8
2025-05-31,3207.8
2025-06-30,3230.4
2025-07-31,3251.6
2025-08-31,3273.2
2025-09-30,3298.7
2025-10-31,3323.1
2025-11-30,3333.4
2025-12-31,3350.5
2026-01-31,3369.5
2026-02-28,3397.2
2026-03-31,3422.6
2026-04-30,3445.3
2026-05-31,3456.9
2026-06-30,3482.7
2026-07-31,3497.2
