date,DMAMMB
2018-09-30,109.7
2018-10-31,111.6
2018-11-30,111.7
2018-12-31,114.5
2019-01-31,113.9
2019-02-28,112.5
2019-03-31,112.7
2019-04-30,112.6
2019-05-31,112.0
2019-06-30,113.1
2019-07-31,113.7
2019-08-31,112.6
2019-09-30,114.1
2019-10-31,115.3
2019-11-30,115.1
2019-12-31,117.3
2020-01-31,116.8
2020-02-29,116.2
2020-03-31,137.2
2020-04-30,194.1
2020-05-31,182.2
2020-06-30,167.0
2020-07-31,178.1
2020-08-31,166.8
2020-09-30,170.3
2020-10-31,169.2
2020-11-30,177.2
2020-12-31,205.3
2021-01-31,234.9
2021-02-28,265.2
2021-03-31,293.8
2021-04-30,309.3
2021-05-31,329.5
2021-06-30,391.0
2021-07-31,457.9
2021-08-31,479.3
2021-09-30,484.2
2021-10-31,503.3
2021-11-30,511.3
2021-12-31,515.4
2022-01-31,544.0
2022-02-28,552.1
2022-03-31,542.5
2022-04-30,540.7
2022-05-31,538.6
2022-06-30,522.7
2022-07-31,549.5
2022-08-31,565.3
2022-09-30,554.6
2022-10-31,564.3
2022-11-30,565.5
2022-12-31,564.5
2023-01-31,572.3
2023-02-28,574.8
2023-03-31,553.2
2023-04-30,548.5
2023-05-31,532.8
2023-06-30,507.1
2023-07-31,521.8
2023-08-31,510.8
2023-09-30,479.2
2023-10-31,462.9
2023-11-30,461.2
2023-12-31,454.1
2024-01-31,465.2
2024-02-29,460.1
2024-03-31,439.7
2024-04-30,438.2
2024-05-31,428.5
2024-06-30,362.4
2024-07-31,341.7
2024-08-31,343.8
2024-09-30,331.0
2024-10-31,342.9
2024-11-30,346.6
2024-12-31,352.5
2025-01-31,365.0
2025-02-28,357.7
2025-03-31,330.7
2025-04-30,330.2
2025-05-31,328.4
2025-06-30,315.1
2025-07-31,324.7
2025-08-31,311.6
2025-09-30,308.8
2025-10-31,322.9
2025-11-30,325.4
2025-12-31,315.0
2026-01-31,321.9
2026-02-28,303.6
2026-03-31,286.6
2026-04-30,293.2
2026-05-31,292.6
2026-06-30,278.1
2026-07-31,308.0
