date,ARBAAASTW
2020-09-09,234682.0
2020-09-16,232903.0
2020-09-23,234611.0
2020-09-30,239153.0
2020-10-07,237643.0
2020-10-14,234972.0
2020-10-21,228962.0
2020-10-28,229012.0
2020-11-04,227707.0
2020-11-11,234037.0
2020-11-18,241579.0
2020-11-25,235373.0
2020-12-02,242109.0
2020-12-09,248817.0
2020-12-16,255988.0
2020-12-23,260857.0
2020-12-30,260306.0
2021-01-06,262449.0
2021-01-13,262576.0
2021-01-20,267035.0
2021-01-27,272001.0
2021-02-03,280729.0
2021-02-10,285706.0
2021-02-17,287290.0
2021-02-24,292364.0
2021-03-03,312281.0
2021-03-10,317450.0
2021-03-17,320878.0
2021-03-24,326529.0
2021-03-31,332813.0
2021-04-07,334841.0
2021-04-14,344154.0
2021-04-21,346489.0
2021-04-28,352525.0
2021-05-05,358510.0
2021-05-12,367640.0
2021-05-19,371355.0
2021-05-26,385679.0
2021-06-02,397412.0
2021-06-09,414254.0
2021-06-16,426774.0
2021-06-23,443979.0
2021-06-30,474974.0
2021-07-07,478794.0
2021-07-14,484885.0
2021-07-21,491504.0
2021-07-28,497038.0
2021-08-04,499973.0
2021-08-11,504098.0
2021-08-18,510496.0
2021-08-25,515666.0
2021-09-01,503873.0
2021-09-08,508872.0
2021-09-15,514751.0
2021-09-22,518493.0
2021-09-29,519596.0
2021-10-06,516904.0
2021-10-13,518966.0
2021-10-20,520874.0
2021-10-27,522694.0
2021-11-03,525226.0
2021-11-10,529917.0
2021-11-17,531169.0
2021-11-24,535076.0
2021-12-01,542584.0
2021-12-08,548933.0
2021-12-15,555904.0
2021-12-22,556836.0
2021-12-29,559949.0
2022-01-05,556515.0
2022-01-12,558608.0
2022-01-19,560162.0
2022-01-26,562562.0
2022-02-02,567206.0
2022-02-09,568950.0
2022-02-16,567804.0
2022-02-23,566167.0
2022-03-02,571342.0
2022-03-09,565470.0
2022-03-16,563787.0
2022-03-23,556588.0
2022-03-30,554324.0
2022-04-06,550561.0
2022-04-13,548891.0
2022-04-20,548828.0
2022-04-27,545961.0
2022-05-04,537454.0
2022-05-11,541170.0
2022-05-18,541819.0
2022-05-25,543799.0
2022-06-01,539812.0
2022-06-08,536747.0
2022-06-15,526403.0
2022-06-22,530849.0
2022-06-29,537298.0
2022-07-06,544186.0
2022-07-13,544846.0
2022-07-20,538923.0
2022-07-27,543354.0
2022-08-03,547122.0
2022-08-10,543805.0
2022-08-17,544452.0
2022-08-24,538015.0
2022-08-31,537655.0
2022-09-07,536401.0
2022-09-14,537467.0
2022-09-21,537625.0
2022-09-28,533154.0
2022-10-05,540515.0
