date,ARBALNOIW
2020-09-09,95013.0
2020-09-16,94996.0
2020-09-23,95113.0
2020-09-30,95323.0
2020-10-07,95440.0
2020-10-14,95746.0
2020-10-21,96104.0
2020-10-28,96405.0
2020-11-04,96477.0
2020-11-11,96612.0
2020-11-18,96708.0
2020-11-25,96731.0
2020-12-02,96918.0
2020-12-09,97411.0
2020-12-16,98068.0
2020-12-23,98562.0
2020-12-30,98562.0
2021-01-06,98548.0
2021-01-13,98512.0
2021-01-20,98325.0
2021-01-27,98162.0
2021-02-03,97960.0
2021-02-10,97687.0
2021-02-17,97563.0
2021-02-24,97394.0
2021-03-03,97203.0
2021-03-10,97120.0
2021-03-17,97030.0
2021-03-24,96892.0
2021-03-31,96774.0
2021-04-07,96717.0
2021-04-14,96580.0
2021-04-21,96366.0
2021-04-28,96319.0
2021-05-05,96180.0
2021-05-12,96022.0
2021-05-19,95832.0
2021-05-26,95744.0
2021-06-02,95650.0
2021-06-09,95541.0
2021-06-16,95456.0
2021-06-23,95497.0
2021-06-30,95485.0
2021-07-07,95457.0
2021-07-14,95466.0
2021-07-21,95608.0
2021-07-28,95759.0
2021-08-04,96140.0
2021-08-11,96477.0
2021-08-18,96774.0
2021-08-25,96916.0
2021-09-01,97424.0
2021-09-08,97740.0
2021-09-15,98129.0
2021-09-22,98578.0
2021-09-29,98958.0
2021-10-06,99368.0
2021-10-13,99825.0
2021-10-20,100153.0
2021-10-27,100613.0
2021-11-03,100750.0
2021-11-10,101188.0
2021-11-17,101336.0
2021-11-24,101454.0
2021-12-01,101519.0
2021-12-08,101938.0
2021-12-15,102204.0
2021-12-22,102662.0
2021-12-29,102700.0
2022-01-05,102699.0
2022-01-12,102659.0
2022-01-19,102534.0
2022-01-26,102457.0
2022-02-02,102425.0
2022-02-09,102281.0
2022-02-16,102112.0
2022-02-23,101960.0
2022-03-02,101815.0
2022-03-09,101835.0
2022-03-16,101890.0
2022-03-23,101949.0
2022-03-30,101997.0
2022-04-06,102302.0
2022-04-13,102615.0
2022-04-20,102547.0
