date,AORRLFPR
2025-04-23,45.0
2025-05-19,1.0
2025-05-20,1.0
2025-05-21,1.0
2025-05-22,1.0
2025-06-24,1.0
2025-07-28,29.0
2025-09-30,1.0
2025-10-21,1.0
2025-11-28,197.0
2025-12-18,21.0
2026-01-13,1.0
2026-01-14,525.0
2026-02-04,1.0
2026-02-23,1.0
2026-04-01,504.0
2026-04-14,440.0
2026-04-21,1.0
2026-04-22,397.0
