date,ARBAAGFXW
2020-09-09,62277.0
2020-09-16,61904.0
2020-09-23,63062.0
2020-09-30,63060.0
2020-10-07,63398.0
2020-10-14,62406.0
2020-10-21,63767.0
2020-10-28,64720.0
2020-11-04,65300.0
2020-11-11,63672.0
2020-11-18,63492.0
2020-11-25,63195.0
2020-12-02,62460.0
2020-12-09,63051.0
2020-12-16,60915.0
2020-12-23,62065.0
2020-12-30,59778.0
2021-01-06,61029.0
2021-01-13,59928.0
2021-01-20,61378.0
2021-01-27,59978.0
2021-02-03,61142.0
2021-02-10,58885.0
2021-02-17,59429.0
2021-02-24,58355.0
2021-03-03,61606.0
2021-03-10,62972.0
2021-03-17,62016.0
2021-03-24,63088.0
2021-03-31,64613.0
2021-04-07,62937.0
2021-04-14,62800.0
2021-04-21,62536.0
2021-04-28,62570.0
2021-05-05,62498.0
2021-05-12,62204.0
2021-05-19,62395.0
2021-05-26,63228.0
2021-06-02,62257.0
2021-06-09,63237.0
2021-06-16,62102.0
2021-06-23,64792.0
2021-06-30,62731.0
2021-07-07,62778.0
2021-07-14,63181.0
2021-07-21,65939.0
2021-07-28,64872.0
2021-08-04,65681.0
2021-08-11,64728.0
2021-08-18,70052.0
2021-08-25,69404.0
2021-09-01,69312.0
2021-09-08,68819.0
2021-09-15,69936.0
2021-09-22,69164.0
2021-09-29,69839.0
2021-10-06,68440.0
2021-10-13,69207.0
2021-10-20,67926.0
2021-10-27,69133.0
2021-11-03,68120.0
2021-11-10,69986.0
2021-11-17,69864.0
2021-11-24,71079.0
2021-12-01,70934.0
2021-12-08,72379.0
2021-12-15,72186.0
2021-12-22,74715.0
2021-12-29,71442.0
2022-01-05,73433.0
2022-01-12,72955.0
2022-01-19,73944.0
2022-01-26,73405.0
2022-02-02,74792.0
2022-02-09,75891.0
2022-02-16,74949.0
2022-02-23,73511.0
2022-03-02,74177.0
2022-03-09,72465.0
2022-03-16,72735.0
2022-03-23,70923.0
2022-03-30,72145.0
2022-04-06,68416.0
2022-04-13,70881.0
2022-04-20,69253.0
2022-04-27,72882.0
2022-05-04,71018.0
2022-05-11,73900.0
2022-05-18,72897.0
2022-05-25,73088.0
2022-06-01,70800.0
2022-06-08,70618.0
2022-06-15,72027.0
2022-06-22,74247.0
2022-06-29,73064.0
2022-07-06,74064.0
2022-07-13,72852.0
2022-07-20,72367.0
2022-07-27,70549.0
2022-08-03,72860.0
2022-08-10,73573.0
2022-08-17,72570.0
2022-08-24,72912.0
2022-08-31,74004.0
2022-09-07,74764.0
2022-09-14,76098.0
2022-09-21,77588.0
2022-09-28,80874.0
2022-10-05,80327.0
2022-10-12,82858.0
2022-10-19,82234.0
2022-10-26,79787.0
2022-11-02,79696.0
2022-11-09,82892.0
2022-11-16,81048.0
2022-11-23,82110.0
2022-11-30,82104.0
2022-12-07,82333.0
2022-12-14,80454.0
2022-12-21,85576.0
2022-12-28,84424.0
2023-01-04,87014.0
2023-01-11,82975.0
2023-01-18,85409.0
2023-01-25,81570.0
2023-02-01,85120.0
2023-02-08,82315.0
2023-02-15,83953.0
2023-02-22,84197.0
2023-03-01,85413.0
2023-03-08,88332.0
2023-03-15,85904.0
2023-03-22,88529.0
2023-03-29,91403.0
2023-04-05,87724.0
2023-04-12,88903.0
2023-04-19,88834.0
2023-04-26,90133.0
2023-05-03,88679.0
2023-05-10,88349.0
2023-05-17,94126.0
2023-05-24,94177.0
2023-05-31,96343.0
2023-06-07,95823.0
2023-06-14,92772.0
2023-06-21,89940.0
2023-06-28,93676.0
2023-07-05,94517.0
2023-07-12,96041.0
2023-07-19,95168.0
2023-07-26,94574.0
2023-08-02,93758.0
2023-08-09,97594.0
2023-08-16,97476.0
2023-08-23,98061.0
2023-08-30,96958.0
2023-09-06,99454.0
2023-09-13,100687.0
2023-09-20,99627.0
2023-09-27,98091.0
2023-10-04,95541.0
2023-10-11,94835.0
2023-10-18,96357.0
2023-10-25,98346.0
2023-11-01,95077.0
2023-11-08,96555.0
2023-11-15,95211.0
2023-11-22,98294.0
2023-11-29,94631.0
2023-12-06,96646.0
2023-12-13,98196.0
2023-12-20,90683.0
2023-12-27,90358.0
2024-01-03,95464.0
2024-01-10,93202.0
2024-01-17,93692.0
2024-01-24,96556.0
2024-01-31,92644.0
2024-02-07,98668.0
2024-02-14,99881.0
2024-02-21,99299.0
2024-02-28,99859.0
2024-03-06,98148.0
2024-03-13,98458.0
2024-03-20,99008.0
2024-03-27,101855.0
2024-04-03,100729.0
2024-04-10,98564.0
2024-04-17,104365.0
2024-04-24,97866.0
2024-05-01,100857.0
2024-05-08,103493.0
2024-05-15,100173.0
2024-05-22,100833.0
2024-05-29,103370.0
2024-06-05,103429.0
2024-06-12,101481.0
2024-06-19,100908.0
2024-06-26,101855.0
2024-07-03,102768.0
2024-07-10,100991.0
2024-07-17,101023.0
2024-07-24,105241.0
2024-07-31,104533.0
2024-08-07,103275.0
2024-08-14,101635.0
2024-08-21,99026.0
2024-08-28,95527.0
2024-09-04,95345.0
2024-09-11,97015.0
2024-09-18,97736.0
2024-09-25,97390.0
2024-10-02,98591.0
2024-10-09,101531.0
2024-10-16,102141.0
2024-10-23,109474.0
2024-10-30,105723.0
2024-11-06,106302.0
2024-11-13,101654.0
2024-11-20,104045.0
2024-11-27,104869.0
2024-12-04,104863.0
2024-12-11,109931.0
2024-12-18,106859.0
2024-12-25,105342.0
2025-01-01,105620.0
2025-01-08,108458.0
2025-01-15,108215.0
2025-01-22,107214.0
2025-01-29,108526.0
2025-02-05,106295.0
2025-02-12,105258.0
2025-02-19,111352.0
2025-02-26,107974.0
2025-03-05,108255.0
2025-03-12,111494.0
2025-03-19,113493.0
2025-03-26,106601.0
2025-04-02,115555.0
2025-04-09,115596.0
2025-04-16,116488.0
2025-04-23,111645.0
2025-04-30,109289.0
2025-05-07,109296.0
2025-05-14,103124.0
2025-05-21,104623.0
2025-05-28,103027.0
2025-06-04,105650.0
2025-06-11,105698.0
2025-06-18,105452.0
2025-06-25,105708.0
2025-07-02,103798.0
2025-07-09,108746.0
2025-07-16,105782.0
2025-07-23,105419.0
2025-07-30,105963.0
2025-08-06,104710.0
2025-08-13,103552.0
2025-08-20,107506.0
2025-08-27,106971.0
2025-09-03,105865.0
2025-09-10,103554.0
2025-09-17,104015.0
2025-09-24,106192.0
2025-10-01,112055.0
2025-10-08,110547.0
2025-10-15,112660.0
2025-10-22,112670.0
