date,ARBALESBW
2020-09-09,73896.0
2020-09-16,77850.0
2020-09-23,71237.0
2020-09-30,66005.0
2020-10-07,72879.0
2020-10-14,71563.0
2020-10-21,62343.0
2020-10-28,67708.0
2020-11-04,63841.0
2020-11-11,71991.0
2020-11-18,88043.0
2020-11-25,81153.0
2020-12-02,86106.0
2020-12-09,91953.0
2020-12-16,110763.0
2020-12-23,111652.0
2020-12-30,111943.0
2021-01-06,113095.0
2021-01-13,136619.0
2021-01-20,143199.0
2021-01-27,137067.0
2021-02-03,159273.0
2021-02-10,165823.0
2021-02-17,166649.0
2021-02-24,162515.0
2021-03-03,182060.0
2021-03-10,191842.0
2021-03-17,192674.0
2021-03-24,188029.0
2021-03-31,209236.0
2021-04-07,209590.0
2021-04-14,215831.0
2021-04-21,200370.0
2021-04-28,209145.0
2021-05-05,207897.0
2021-05-12,217460.0
2021-05-19,241392.0
2021-05-26,251397.0
2021-06-02,254068.0
2021-06-09,275265.0
2021-06-16,286479.0
2021-06-23,298667.0
2021-06-30,341800.0
2021-07-07,351504.0
2021-07-14,359091.0
2021-07-21,354543.0
2021-07-28,366492.0
2021-08-04,369897.0
2021-08-11,380320.0
2021-08-18,384179.0
2021-08-25,378233.0
2021-09-01,369452.0
2021-09-08,378026.0
2021-09-15,382619.0
2021-09-22,380964.0
2021-09-29,393815.0
2021-10-06,391630.0
2021-10-13,402105.0
2021-10-20,398061.0
2021-10-27,401816.0
2021-11-03,404344.0
2021-11-10,406873.0
2021-11-17,406354.0
2021-11-24,404597.0
2021-12-01,386511.0
2021-12-08,392659.0
2021-12-15,411687.0
2021-12-22,422392.0
2021-12-29,428741.0
2022-01-05,425751.0
2022-01-12,434522.0
2022-01-19,446020.0
2022-01-26,442974.0
2022-02-02,443415.0
2022-02-09,444675.0
2022-02-16,452896.0
2022-02-23,442566.0
2022-03-02,442668.0
2022-03-09,437967.0
2022-03-16,442737.0
2022-03-23,421467.0
2022-03-30,436252.0
2022-04-06,436483.0
2022-04-13,441143.0
2022-04-20,431189.0
2022-04-27,426998.0
2022-05-04,428389.0
2022-05-11,436049.0
2022-05-18,438668.0
2022-05-25,424206.0
2022-06-01,414306.0
2022-06-08,415302.0
2022-06-15,421218.0
2022-06-22,409950.0
2022-06-29,419514.0
2022-07-06,420575.0
2022-07-13,437735.0
2022-07-20,457406.0
2022-07-27,456231.0
2022-08-03,458688.0
2022-08-10,465038.0
2022-08-17,469338.0
2022-08-24,451280.0
2022-08-31,448456.0
2022-09-07,447861.0
2022-09-14,452194.0
2022-09-21,441269.0
