date,ARBALESBW
2022-09-28,448702.0
2022-10-05,445527.0
2022-10-12,463700.0
2022-10-19,462385.0
2022-10-26,457496.0
2022-11-02,459067.0
2022-11-09,461975.0
2022-11-16,454878.0
2022-11-23,461747.0
2022-11-30,453229.0
2022-12-07,453314.0
2022-12-14,457925.0
2022-12-21,456061.0
2022-12-28,457268.0
2023-01-04,453498.0
2023-01-11,471077.0
2023-01-18,470514.0
2023-01-25,462362.0
2023-02-01,469685.0
2023-02-08,469196.0
2023-02-15,473090.0
2023-02-22,457872.0
2023-03-01,446045.0
2023-03-08,449244.0
2023-03-15,451941.0
2023-03-22,441185.0
2023-03-29,448330.0
2023-04-05,445159.0
2023-04-12,446200.0
2023-04-19,442572.0
2023-04-26,433731.0
2023-05-03,434497.0
2023-05-10,434152.0
2023-05-17,432619.0
2023-05-24,420709.0
2023-05-31,412162.0
2023-06-07,401822.0
2023-06-14,404643.0
2023-06-21,394024.0
2023-06-28,405124.0
2023-07-05,413187.0
2023-07-12,423540.0
2023-07-19,418527.0
2023-07-26,411395.0
2023-08-02,411746.0
2023-08-09,414517.0
2023-08-16,415339.0
2023-08-23,396155.0
2023-08-30,391768.0
2023-09-06,379858.0
2023-09-13,383496.0
2023-09-20,375089.0
2023-09-27,358276.0
2023-10-04,352746.0
2023-10-11,362587.0
2023-10-18,366297.0
2023-10-25,349607.0
2023-11-01,362566.0
2023-11-08,365722.0
2023-11-15,367788.0
2023-11-22,352487.0
2023-11-29,347953.0
2023-12-06,340438.0
2023-12-13,347527.0
2023-12-20,351262.0
2023-12-27,349963.0
2024-01-03,348364.0
2024-01-10,365990.0
2024-01-17,365289.0
2024-01-24,358520.0
2024-01-31,356620.0
2024-02-07,362787.0
2024-02-14,364725.0
2024-02-21,352293.0
2024-02-28,338091.0
2024-03-06,334174.0
2024-03-13,338748.0
2024-03-20,332759.0
2024-03-27,330298.0
2024-04-03,327819.0
2024-04-10,330347.0
2024-04-17,334370.0
2024-04-24,336119.0
2024-05-01,335211.0
2024-05-08,334755.0
2024-05-15,332138.0
2024-05-22,315200.0
2024-05-29,297228.0
2024-06-05,275605.0
2024-06-12,275673.0
2024-06-19,256688.0
2024-06-26,220838.0
2024-07-03,227829.0
2024-07-10,238078.0
2024-07-17,245219.0
2024-07-24,237930.0
2024-07-31,234322.0
2024-08-07,244526.0
2024-08-14,249654.0
2024-08-21,235261.0
2024-08-28,226021.0
2024-09-04,220739.0
2024-09-11,224698.0
2024-09-18,231594.0
2024-09-25,226909.0
2024-10-02,235145.0
2024-10-09,242303.0
2024-10-16,246394.0
2024-10-23,232097.0
2024-10-30,230451.0
2024-11-06,233803.0
2024-11-13,242157.0
2024-11-20,234903.0
2024-11-27,249342.0
2024-12-04,238077.0
2024-12-11,241838.0
2024-12-18,249595.0
2024-12-25,247951.0
2025-01-01,246245.0
2025-01-08,261829.0
2025-01-15,265128.0
2025-01-22,255645.0
2025-01-29,255497.0
2025-02-05,265690.0
2025-02-12,252390.0
2025-02-19,249555.0
2025-02-26,231666.0
2025-03-05,223822.0
2025-03-12,226542.0
2025-03-19,225342.0
2025-03-26,216809.0
2025-04-02,215095.0
2025-04-09,219810.0
2025-04-16,222446.0
2025-04-23,229413.0
2025-04-30,222866.0
2025-05-07,223764.0
2025-05-14,227717.0
2025-05-21,216707.0
2025-05-28,212702.0
2025-06-04,204243.0
2025-06-11,209339.0
2025-06-18,211893.0
2025-06-25,201986.0
2025-07-02,216689.0
2025-07-09,226993.0
2025-07-16,227321.0
2025-07-23,210757.0
2025-07-30,199756.0
2025-08-06,200598.0
2025-08-13,212255.0
2025-08-20,203185.0
2025-08-27,194316.0
2025-09-03,192868.0
2025-09-10,196590.0
2025-09-17,206094.0
2025-09-24,201886.0
2025-10-01,204050.0
2025-10-08,215549.0
2025-10-15,219394.0
2025-10-22,208135.0
2025-10-29,212878.0
2025-11-05,212773.0
2025-11-12,219777.0
2025-11-19,214521.0
2025-11-26,206768.0
2025-12-03,194410.0
2025-12-10,200429.0
2025-12-17,204478.0
2025-12-24,204116.0
2025-12-31,202540.0
2026-01-07,213483.0
2026-01-14,219671.0
2026-01-21,202813.0
2026-01-28,199410.0
2026-02-04,191170.0
2026-02-11,193304.0
2026-02-18,198989.0
2026-02-25,182889.0
2026-03-04,172440.0
2026-03-11,174557.0
2026-03-18,181670.0
2026-03-25,171797.0
2026-04-01,174802.0
2026-04-08,176292.0
2026-04-15,183669.0
2026-04-22,187871.0
2026-04-29,184122.0
2026-05-06,181615.0
2026-05-13,191780.0
2026-05-20,181251.0
2026-05-27,168364.0
2026-06-03,160349.0
2026-06-10,166469.0
2026-06-17,172889.0
2026-06-24,165154.0
2026-07-01,184590.0
2026-07-08,199451.0
2026-07-15,204967.0
2026-07-22,190667.0
2026-07-29,199071.0
2026-08-05,201479.0
2026-08-12,210226.0
2026-08-19,205733.0
2026-08-26,173657.0
2026-09-02,169961.0
