date,ARBAMPNORR
2020-11-04,0.35
2022-05-04,0.6
2022-06-08,1.1
2022-07-06,1.6
2022-08-03,2.1
2022-09-07,2.6
2022-10-05,2.85
2022-11-02,3.1
2022-12-07,3.35
2023-02-08,3.6
2023-03-08,3.85
2023-05-03,4.1
2023-06-07,4.35
2023-11-08,4.6
2025-02-19,4.35
2025-05-21,4.1
2025-08-13,3.85
2026-02-04,4.1
2026-03-18,4.35
2026-05-06,4.6
