date,maturity,coupon,face
2003-06-30,2003-07-15,5.25,47.408
2003-06-30,2003-07-15,6.5,2.904
2003-06-30,2003-07-15,5.25,-74.091
2003-06-30,2003-07-15,6.5,-4.422
2003-06-30,2003-08-15,9.5,5289.518
2003-06-30,2004-02-15,5.25,66.57
2003-06-30,2004-02-15,5.25,-53.849
2003-06-30,2004-05-15,5.4,18.532
2003-06-30,2004-05-15,5.4,-33.131
2003-06-30,2004-09-15,9.0,4951.649
2003-06-30,2005-07-15,6.0,-97.062
2003-06-30,2005-07-15,7.0,-28.819
2003-06-30,2005-07-15,6.0,49.373
2003-06-30,2005-07-15,7.0,17.866
2003-06-30,2005-07-15,7.5,5502.387
2003-06-30,2006-02-15,10.0,1143.171
2003-06-30,2006-11-15,6.75,6102.852
2003-06-30,2007-10-15,10.0,2906.302
2003-06-30,2008-08-15,8.75,4494.005
2003-06-30,2009-09-15,7.5,5709.049
2003-06-30,2011-06-15,5.75,5796.687
2003-06-30,2013-05-15,6.5,4800.4
2003-06-30,2015-04-15,6.25,3200.0
2003-07-31,2003-08-15,9.5,5289.518
2003-07-31,2004-02-15,5.25,66.57
2003-07-31,2004-02-15,5.25,-53.849
2003-07-31,2004-05-15,5.4,18.532
2003-07-31,2004-05-15,5.4,-33.131
2003-07-31,2004-09-15,9.0,4951.649
2003-07-31,2005-07-15,6.0,-97.062
2003-07-31,2005-07-15,7.0,-28.819
2003-07-31,2005-07-15,6.0,49.373
2003-07-31,2005-07-15,7.0,17.866
2003-07-31,2005-07-15,7.5,5502.387
2003-07-31,2006-02-15,10.0,1143.171
2003-07-31,2006-11-15,6.75,6102.852
2003-07-31,2007-10-15,10.0,2906.302
2003-07-31,2008-08-15,8.75,4494.005
2003-07-31,2009-09-15,7.5,5709.049
2003-07-31,2011-06-15,5.75,5796.687
2003-07-31,2013-05-15,6.5,4800.4
2003-07-31,2015-04-15,6.25,3499.0
2003-08-31,2004-02-15,5.25,66.57
2003-08-31,2004-02-15,5.25,-53.849
2003-08-31,2004-05-15,5.4,18.532
2003-08-31,2004-05-15,5.4,-33.131
2003-08-31,2004-09-15,9.0,4951.649
2003-08-31,2005-07-15,6.0,-97.062
2003-08-31,2005-07-15,7.0,-28.819
2003-08-31,2005-07-15,6.0,49.367
2003-08-31,2005-07-15,7.0,17.852
2003-08-31,2005-07-15,7.5,5502.387
2003-08-31,2006-02-15,10.0,1143.171
2003-08-31,2006-11-15,6.75,6102.852
2003-08-31,2007-10-15,10.0,2906.302
2003-08-31,2008-08-15,8.75,4494.005
2003-08-31,2009-09-15,7.5,5709.049
2003-08-31,2011-06-15,5.75,5796.687
2003-08-31,2013-05-15,6.5,4800.4
2003-08-31,2015-04-15,6.25,3499.0
2003-09-30,2004-02-15,5.25,66.57
2003-09-30,2004-02-15,5.25,-53.849
2003-09-30,2004-05-15,5.4,18.532
2003-09-30,2004-05-15,5.4,-33.131
2003-09-30,2004-09-15,9.0,4951.649
2003-09-30,2005-07-15,6.0,-97.062
2003-09-30,2005-07-15,7.0,-28.819
2003-09-30,2005-07-15,6.0,49.367
2003-09-30,2005-07-15,7.0,17.852
2003-09-30,2005-07-15,7.5,5502.387
2003-09-30,2006-02-15,10.0,1143.171
2003-09-30,2006-11-15,6.75,6102.852
2003-09-30,2007-10-15,10.0,2906.302
2003-09-30,2008-08-15,8.75,4494.005
