 ,,PEPP PUBLIC SECURITIES ,,PEPP CORPORATE SECURITIES*,,PEPP COVERED BONDS,,PEPP ABS,
,,Realised redemptions,Estimated redemptions,Realised redemptions,Estimated redemptions,Realised redemptions,Estimated redemptions,Realised redemptions,Estimated redemptions
2020,Mar-20,0,,0,,0,,0,
,Apr-20,0,,0,,0,,0,
,May-20,0,,352,,0,,0,
,Jun-20,1352,,1330,,0,,0,
,Jul-20,3291,,1844,,0,,0,
,Aug-20,3694,,1036,,0,,0,
,Sep-20,4441,,2541,,0,,0,
,Oct-20,4449,,5233,,22,,0,
,Nov-20,6229,,3741,,7,,0,
,Dec-20,4376,,3295,,0,,0,
2021,Jan-21,10262,,5379,,30,,0,
,Feb-21,10452,,2816,,3,,0,
,Mar-21,13612,,1794,,11,,0,
,Apr-21,21292,,5482,,17,,0,
,May-21,15455,,4072,,14,,0,
,Jun-21,14116,,768,,8,,0,
,Jul-21,15131,,767,,1,,0,
,Aug-21,12595,,410,,38,,0,
,Sep-21,15559,,344,,2,,0,
,Oct-21,16171,,379,,10,,0,
,Nov-21,18096,,703,,5,,0,
,Dec-21,11064,,159,,5,,0,
2022,Jan-22,14801,,820,,90,,0,
,Feb-22,14683,,506,,17,,0,
,Mar-22,17208,,266,,38,,0,
,Apr-22,26760,,965,,28,,0,
,May-22,21372,,665,,12,,0,
,Jun-22,17759,,558,,30,,0,
,Jul-22,21875,,635,,9,,0,
,Aug-22,15249,,135,,52,,0,
,Sep-22,25723,,367,,24,,0,
,Oct-22,14957,,782,,25,,0,
,Nov-22,17169,,41,,15,,0,
,Dec-22,9940,,569,,34,,0,
2023,Jan-23,17676,,493,,21,,0,
,Feb-23,15833,,1130,,31,,0,
,Mar-23,26030,,365,,2,,0,
,Apr-23,14294,,292,,15,,0,
,May-23,18650,,237,,12,,0,
,Jun-23,12097,,191,,21,,0,
,Jul-23,15104,,95,,18,,0,
,Aug-23,13505,,21,,0,,0,
,Sep-23,10276,,73,,17,,0,
,Oct-23,22824,,132,,33,,0,
,Nov-23,10646,,168,,36,,0,
,Dec-23,6529,,150,,0,,0,
2024,Jan-24,21641,,140,,40,,0,
,Feb-24,19133,,207,,20,,0,
,Mar-24,19462,,139,,34,,0,
,Apr-24,20996,,488,,26,,0,
,May-24,24204,,428,,34,,0,
,Jun-24,12141,,251,,10,,0,
,Jul-24,18989,,136,,21,,0,
,Aug-24,10960,,27,,0,,0,
,Sep-24,10718,,233,,14,,0,
,Oct-24,18414,,570,,8,,0,
,Nov-24,14461,,203,,0,,0,
,Dec-24,9961,,291,,18,,0,
2025,Jan-25,12352,,133,,66,,0,
,Feb-25,20409,,79,,116,,0,
,Mar-25,23970,,479,,14,,0,
,Apr-25,16277,,1084,,355,,0,
,May-25,13797,,389,,122,,0,
,Jun-25,15533,,292,,45,,0,
,Jul-25,15186,,85,,17,,0,
,Aug-25,8994,,79,,0,,0,
,Sep-25,7864,,480,,26,,0,
,Oct-25,17496,,149,,51,,0,
,Nov-25,12906,,158,,13,,0,
,Dec-25,5583,,280,,7,,0,
2026,Jan-26,,6632,,251,,42,,0
,Feb-26,,23660,,348,,78,,0
,Mar-26,,16136,,602,,17,,0
,Apr-26,,25938,,287,,10,,0
,May-26,,12446,,1120,,4,,0
,Jun-26,,10933,,652,,20,,0
,Jul-26,,24415,,246,,54,,0
,Aug-26,,9220,,437,,56,,0
,Sep-26,,6723,,529,,24,,0
,Oct-26,,10557,,379,,32,,0
,Nov-26,,15543,,267,,8,,0
,Dec-26,,5670,,90,,0,,0
2027,Jan-27,,7513,,477,,60,,0
,Feb-27,,18171,,118,,33,,0
,Mar-27,,4014,,390,,116,,0
,Apr-27,,20061,,594,,164,,0
,May-27,,12210,,774,,14,,0
,Jun-27,,8933,,651,,74,,0
,Jul-27,,14791,,399,,48,,0
,Aug-27,,10142,,531,,16,,0
,Sep-27,,8962,,538,,65,,0
,Oct-27,,19364,,212,,15,,0
,Nov-27,,13390,,321,,78,,0
,Dec-27,,4158,,215,,1,,0
,,,,,,,,,
Figures may not add up due to rounding.,,,,,,,,,
In EUR millions,,,,,,,,,
Realised redemptions may differ from forecasted redemptions due to early or late repayments,,,,,,,,,
Forecasted estimate based on end of month data,,,,,,,,,
Figures may be subject to revision,,,,,,,,,
*Corporate securities include both corporate bonds and commercial paper,,,,,,,,,

