"nid","list_date","title","plazo","denominacion","auction","maturity","settlement","nominal_bid","nominal_alloc","nominal_2nd","cash_alloc","cash_2nd","btc","avg_yield","marginal_yield"
"32802","2022-09-01","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2022-09-01","2033-11-30","2022-09-06","965.05","415.05","81.37","481.92","94.43","2.33","0.607","0.616"
"32867","2022-09-06","Subasta de Letras a 6 meses","6 MESES","","2022-09-06","2023-03-10","2022-09-09","2159.50","784.50","14.13","781.06","14.06","2.75","0.868","0.880"
"32868","2022-09-06","Subasta de Letras a 12 meses","12 MESES","","2022-09-06","2023-09-08","2022-09-09","6266.02","3866.02","276.22","3811.57","272.30","1.62","1.408","1.423"
"32892","2022-11-17","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-11-17","2025-05-31","2022-11-22","3323.56","1400.00","243.91","1320.15","229.96","2.37","2.351","2.359"
"32894","2022-11-03","Subasta de Obligaciones €i a 10 años","","O€i 1,00% (VR 8a 1m)","2022-11-03","2030-11-30","2022-11-08","859.05","454.05","85.69","555.73","104.77","1.89","0.583","0.601"
"32896","2022-11-15","Subasta de Letras a 3 meses","3 MESES","","2022-11-15","2023-02-10","2022-11-18","1747.92","462.85","19.78","461.37","19.72","3.78","1.369","1.387"
"32897","2022-11-15","Subasta de Letras a 9 meses","9 MESES","","2022-11-15","2023-08-11","2022-11-18","3142.05","1500.00","210.07","1474.17","206.43","2.09","2.363","2.387"
"32900","2022-11-17","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,70% (VR 9a 11m)","2022-11-17","2032-04-30","2022-11-22","2922.22","1662.08","1.00","1369.97","0.82","1.76","2.901","2.909"
"32901","2022-11-17","Subasta de Obligaciones a 15 años","15 AÑOS","O 5,15% (VR 21a 11m)","2022-11-17","2044-10-31","2022-11-22","1683.82","873.82","173.14","1125.43","222.90","1.93","3.301","3.307"
"33179","2022-10-20","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-10-20","2025-05-31","2022-10-25","3620.37","348.34","[1]","1634.11","325.17","2.07","2.663","2.679"
"33180","2022-10-20","Subasta de Bonos a 3 años","3 AÑOS","O 1,95% (VR 3a 6m)","2022-10-20","2026-04-30","2022-10-25","2333.27","1218.27","246.45","1200.41","242.65","1.92","2.669","2.700"
"33181","2022-10-20","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2022-10-20","2029-07-30","2022-10-25","4563.50","2458.50","524.88","2102.37","448.66","1.86","3.247","3.258"
"33185","2022-11-03","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2022-11-03","2027-01-31","2022-11-08","3288.38","1498.38","0.00","1340.14","0.00","2.19","2.667","2.677"
"33187","2022-10-06","Subasta de Obligaciones €i a 10 años","","O€i 1,00% (VR 8a 2m)","2022-10-06","2030-11-30","2022-10-11","1270.32","505.32","0.00","608.97","0.00","2.51","0.688","0.702"
"33189","2022-10-04","Subasta de Letras a 6 meses","6 MESES","","2022-10-04","2023-04-14","2022-10-07","3950.92","780.91","[1]","774.59","[1]","5.06","1.553","1.559"
"33190","2022-10-04","Subasta de Letras a 12 meses","12 MESES","","2022-10-04","2023-10-06","2022-10-07","6674.48","3499.44","[1]","3431.05","[1]","1.91","1.962","1.980"
"33193","2022-10-11","Subasta de Letras a 3 meses","3 MESES","","2022-10-11","2023-01-13","2022-10-14","1951.20","451.09","0.00","450.11","0.00","4.33","0.853","0.880"
"33194","2022-10-11","Subasta de Letras a 9 meses","9 MESES","","2022-10-11","2023-07-07","2022-10-14","2713.67","1513.65","36.62","1491.67","36.09","1.79","1.983","2.014"
"33197","2022-11-08","Subasta de Letras a 6 meses","6 MESES","","2022-11-08","2023-05-12","2022-11-11","2204.32","674.31","59.18","667.53","58.58","3.27","2.003","2.040"
"33198","2022-11-08","Subasta de Letras a 12 meses","12 MESES","","2022-11-08","2023-11-10","2022-11-11","5564.32","3659.29","632.71","3567.50","616.72","1.52","2.537","2.565"
"33201","2022-10-06","Subasta de Obligaciones a 10 años","10 AÑOS","O 2,55%","2022-10-06","2032-10-31","2022-10-11","3108.32","2183.16","0.00","2075.61","0.00","1.42","3.225","3.236"
"33202","2022-10-06","Subasta de Obligaciones a 30 años","30 AÑOS","O 1,00% (VR 28a 1m)","2022-10-06","2050-10-31","2022-10-11","2443.21","1568.21","0.00","876.02","0.00","1.56","3.565","3.578"
"33205","2022-11-03","Subasta de Obligaciones a 10 años","10 AÑOS","O 2,55%","2022-11-03","2032-10-31","2022-11-08","3032.70","1432.00","109.19","1341.38","102.25","2.12","3.306","3.313"
"33206","2022-11-03","Subasta de Obligaciones a 15 años","15 AÑOS","O 1,00% BV (VR 19a 9m)","2022-11-03","2042-07-30","2022-11-08","1368.21","823.21","147.70","527.71","94.51","1.66","3.586","3.601"
"33435","2022-09-13","Subasta de Letras a 3 meses","3 MESES","","2022-09-13","2022-12-09","2022-09-16","2355.01","376.00","9.31","375.36","9.29","6.26","0.707","0.735"
"33437","2022-09-13","Subasta de Letras a 9 meses","9 MESES","","2022-09-13","2023-06-09","2022-09-16","2212.36","1562.36","3.00","1547.23","2.97","1.42","1.308","1.350"
"33442","2022-09-15","Subasta de Bonos a 5 años","5 AÑOS","O 0,50% (VR 7a 7m)","2022-09-15","2030-04-30","2022-09-20","2719.21","1246.21","0.00","1076.39","0.00","2.18","2.510","2.527"
"33443","2022-09-15","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2022-09-15","2027-01-31","2022-09-20","3824.94","2064.92","0.00","1875.08","0.00","1.85","2.228","2.242"
"33444","2022-09-15","Subasta de Bonos a 3 años","3 AÑOS","O 2,15% (VR 3a 1m)","2022-09-15","2025-10-31","2022-09-20","2414.05","863.04","0.00","886.43","0.00","2.80","1.875","1.888"
"33445","2022-10-06","Subasta de Bonos a 5 años","5 AÑOS","O 6,00% (VR 6a 4m)","2022-10-06","2029-01-31","2022-10-11","2791.62","1151.24","0.00","1421.02","0.00","2.42","2.632","2.643"
"33447","2022-09-15","Subasta de Bonos a 3 años","3 AÑOS","O 2,15% (VR 3a 1m)","2022-09-15","2025-10-31","2022-09-20","2414.05","863.04","0.00","886.43","0.00","2.80","1.875","1.888"
"33578","2022-12-01","Subasta de Bonos a 5 años","5 AÑOS","O 1,45% (VR 4a 11m)","2022-12-01","2027-10-31","2022-12-06","2087.05","1056.80","215.18","1012.06","205.94","1.97","2.396","2.418"
"33580","2022-12-01","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,10% (VR 8a 5m)","2022-12-01","2031-04-30","2022-12-06","2383.01","1065.90","170.76","863.32","138.25","2.24","2.660","2.669"
"33581","2022-12-01","Subasta de Obligaciones a 15 años","15 AÑOS","O 0,85%","2022-12-01","2037-07-30","2022-12-06","2110.61","1369.58","269.59","1010.03","198.50","1.54","3.132","3.151"
"33647","2022-12-07","Subasta de Letras a 6 meses","6 MESES","","2022-12-07","2023-06-09","2022-12-09","2349.31","778.92","23.05","770.92","22.81","3.02","2.041","2.092"
"33648","2022-12-07","Subasta de Letras a 12 meses","12 MESES","","2022-12-07","2023-12-08","2022-12-09","4539.78","2997.40","510.72","2924.79","498.26","1.51","2.449","2.474"
"33664","2022-12-13","Subasta de Letras a 3 meses","3 MESES","","2022-12-13","2023-03-10","2022-12-16","1157.88","138.81","0.00","138.29","0.00","8.34","1.617","1.645"
"33665","2022-12-13","Subasta de Letras a 9 meses","9 MESES","","2022-12-13","2023-09-08","2022-12-16","2458.23","1040.00","66.24","1022.09","65.10","2.36","2.366","2.380"
"33746","2023-01-10","Subasta de Letras a 6 meses","6 MESES","","2023-01-10","2023-07-07","2023-01-13","2715.59","970.49","153.31","958.44","151.40","2.80","2.584","2.599"
"33747","2023-01-10","Subasta de Letras a 12 meses","12 MESES","","2023-01-10","2024-01-12","2023-01-13","7077.80","3923.35","797.35","3808.25","773.90","1.80","2.983","2.998"
"33750","2023-01-17","Subasta de Letras a 3 meses","3 MESES","","2023-01-17","2023-04-14","2023-01-20","2025.34","520.11","32.75","517.47","32.58","3.89","2.182","2.198"
"33751","2023-01-17","Subasta de Letras a 9 meses","9 MESES","","2023-01-17","2023-10-06","2023-01-20","5797.86","1532.69","305.88","1502.05","299.75","3.78","2.830","2.839"
"33832","2023-01-12","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2023-01-12","2033-11-30","2023-01-17","1064.31","507.30","0.00","581.13","0.00","2.10","1.018","1.032"
"33834","2023-01-12","Subasta de Obligaciones a 30 años","30 AÑOS","O 2,90% (VR 23a 9m)","2023-01-12","2046-10-31","2023-01-17","2330.32","1475.31","0.00","1358.24","0.00","1.58","3.426","3.439"
"33837","2023-01-12","Subasta de Bonos a 5 años","5 AÑOS","0,80%(7A)","2023-01-12","2029-07-30","2023-01-17","4563.54","2088.34","0.00","1839.39","0.00","2.19","2.889","2.897"
"33841","2023-01-19","Subasta de Bonos a 5 años","5 AÑOS","O 0,00%(VR 5a)","2023-01-19","2028-01-31","2023-01-24","4362.16","2345.50","0.00","2059.21","0.00","1.86","2.623","2.633"
"33842","2023-01-19","Subasta de Bonos a 5 años","5 AÑOS","O 0,50%(VR 7a 3m)","2023-01-19","2030-04-30","2023-01-24","2705.55","1590.52","0.00","1367.75","0.00","1.70","2.701","2.723"
"33845","2023-01-19","Subasta de Obligaciones a 15 años","15 AÑOS","O 4,90% (VR 17a 6m)","2023-01-19","2040-07-30","2023-01-24","2121.38","1401.36","0.00","1748.72","0.00","1.51","3.203","3.220"
"34059","2023-02-02","Subasta de Obligaciones €i a 10 años","","O€i 1,00% (VR 7a 10m)","2023-02-02","2030-11-30","2023-02-07","1080.39","505.38","106.331","614.06","129.140","2.14","0.876","0.886"
"34061","2023-02-02","Subasta de Bonos a 3 años","3 AÑOS","B 2,80%","2023-02-02","2026-05-31","2023-02-07","5580.03","2400.00","526.928","2394.66","525.663","2.33","2.919","2.928"
"34062","2023-02-02","Subasta de Bonos a 5 años","5 AÑOS","O 1,40% (VR 5a 3m)","2023-02-02","2028-04-30","2023-02-07","3376.24","1611.20","354.955","1513.50","333.338","2.10","2.887","2.896"
"34065","2023-02-02","Subasta de Obligaciones a 15 años","15 AÑOS","O 3,45% (20A)","2023-02-02","2043-07-30","2023-02-07","3657.80","1982.78","31.288","1950.59","30.769","1.84","3.649","3.654"
"34131","2023-02-07","Subasta de Letras a 6 meses","6 MESES","","2023-02-07","2023-08-11","2023-02-10","2327.09","1062.76","0.00","1048.54","0.00","2.19","2.675","2.693"
"34132","2023-02-07","Subasta de Letras a 12 meses","12 MESES","","2023-02-07","2024-02-09","2023-02-10","7863.71","4000.00","0.00","3888.95","0.00","1.97","2.813","2.839"
"34149","2023-02-14","Subasta de Letras a 3 meses","3 MESES","","2023-02-14","2023-05-12","2023-02-17","2204.13","508.96","0.00","506.00","0.00","4.33","2.494","2.520"
"34150","2023-02-14","Subasta de Letras a 9 meses","9 MESES","","2023-02-14","2023-11-10","2023-02-17","4161.11","1450.22","0.00","1419.23","0.00","2.87","2.938","2.973"
"34153","2023-02-16","Subasta de Obligaciones a 10 años","10 AÑOS","O 2,55% (VR 9a 8m)","2023-02-16","2032-10-31","2023-02-21","3719.51","2031.16","390.47","1906.09","366.26","1.83","3.399","3.407"
"34155","2023-02-16","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (VR 4a 5m)","2023-02-16","2027-07-30","2023-02-21","2666.37","1351.32","27.44","1231.71","24.96","1.97","3.069","3.087"
"34156","2023-02-16","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2023-02-16","2029-07-30","2023-02-21","4580.46","2600.43","55.64","2253.02","48.19","1.76","3.206","3.212"
"34305","2023-03-02","Subasta de Bonos a 3 años","3 AÑOS","O 2,80%","2023-03-02","2026-05-31","2023-03-07","4329.32","2139.27","437.31","2106.28","430.49","2.02","3.433","3.441"
"34306","2023-03-02","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2023-03-02","2029-07-30","2023-03-07","2770.05","1475.05","294.99","1255.59","251.04","1.88","3.520","3.527"
"34378","2023-03-07","Subasta de Letras a 6 meses","6 MESES","","2023-03-07","2023-09-08","2023-03-10","2720.31","903.75","0.00","889.64","0.00","3.01","3.114","3.164"
