# ILM.W.U2.C.L050200.U2.EUR UNIT=EUR UNIT_MULT=6 n=37
TIME_PERIOD,OBS_VALUE
2025-W45,106973
2026-W01,105570
2026-W02,101706
2026-W03,98306
2026-W04,96107
2026-W05,95777
2026-W06,89773
2026-W07,90555
2026-W08,87196
2026-W09,88909
2026-W10,93904
2026-W11,94531
2026-W12,107384
2026-W13,101592
2026-W14,106993
2026-W15,103582
2026-W16,100731
2026-W17,98244
2026-W18,104867
2026-W19,102847
2026-W20,103205
2026-W21,99340
2026-W22,103108
2026-W23,96328
2026-W24,102100
2026-W25,98553
2026-W26,95976
2026-W27,91733
2026-W28,89630
2026-W29,92869
2026-W30,93599
2026-W31,95226
2026-W32,90119
2026-W33,91019
2026-W34,92020
2026-W35,93345
2026-W36,92546
