Breakdown of cumulative net purchases under the PEPP,,,,,,,,,,,,,,,,,,
In euro millions,,Net purchases for the period at book value ,,,,,,Quarter-end amortisation adjustment and redemptions of coupon STRIPS,,,,,Holdings*,,,,,
,,Asset Backed Securities,Covered Bonds,Corporate Bonds,Commercial Paper,Public Sector Securities,Total,Asset Backed Securities,Covered Bonds,Corporate Bonds,Commercial Paper,Public Sector Securities,Asset Backed Securities,Covered Bonds,Corporate Bonds,Commercial Paper,Public Sector Securities,Total
2020,March,0,477,512,1475,12980,15444,0,0,0,0,0,0,477,512,1475,12980,15444
,April,0,1621,4373,21296,76073,103363,0,0,0,0,0,0,2098,4885,22770,89053,118807
,May,0,1,5694,12614,97549,115858,0,0,0,0,0,0,2099,10579,35384,186603,234665
,June,0,1031,3785,401,115104,120321,0,-2,-2,6,-353,0,3128,14362,35791,301354,354634
,July,0,0,3258,-946,83111,85423,0,0,0,0,0,0,3128,17621,34845,384464,440057
,August,0,0,1170,-509,58806,59466,0,0,0,0,0,0,3128,18790,34336,443270,499523
,September,0,0,1537,-2256,68026,67308,0,-5,-10,8,-1184,0,3123,20318,32088,510112,565641
,October,0,0,42,-4678,66621,61985,0,0,0,0,0,0,3123,20360,27410,576733,627626
,November,0,0,400,-3104,73539,70835,0,0,0,0,0,0,3123,20760,24306,650272,698461
,December,0,0,1015,-2919,59067,57163,0,-5,-15,7,-1900,0,3118,21759,21394,707439,753710
2021,January,0,2,556,-4784,57272,53046,0,0,0,0,0,0,3120,22315,16611,764710,806756
,February,0,417,2752,-2340,59085,59914,0,0,0,0,0,0,3537,25067,14271,823795,866670
,March,0,523,2011,-1510,72498,73521,0,-4,-19,5,-2450,0,4055,27058,12766,893844,937723
,April,0,0,1445,-5082,83755,80118,0,0,0,0,0,0,4055,28503,7684,977599,1017841
,May,0,0,2511,-3094,81283,80700,0,0,0,0,0,0,4055,31014,4590,1058882,1098541
,June,0,828,2466,-530,77403,80168,0,-5,-26,0,-2887,0,4879,33454,4061,1133398,1175791
,July,0,500,229,-200,87027,87557,0,0,0,0,0,0,5379,33684,3861,1220424,1263348
,August,0,0,312,-335,65074,65050,0,0,0,0,0,0,5379,33996,3526,1285498,1328398
,September,0,707,3177,-210,71377,75051,0,-6,-33,-1,-3799,0,6079,37139,3314,1353076,1399609
,October,0,0,544,1407,65903,67855,0,0,0,0,0,0,6079,37683,4722,1418979,1467464
,November,0,0,2188,-690,66547,68045,0,0,0,0,0,0,6079,39871,4032,1485526,1535508
,December,0,0,17,-99,49457,49375,0,-7,-37,-2,-4172,0,6073,39851,3931,1530811,1580665
2022,January,0,0,451,-74,49736,50113,0,0,0,0,0,0,6073,40301,3857,1580547,1630779
,February,0,0,59,502,39623,40184,0,0,0,0,0,0,6073,40361,4359,1620170,1670963
,March,0,0,-11,1505,28720,30214,0,-6,-37,-2,-4643,0,6067,40313,5862,1644247,1696489
,April,0,0,875,-880,0,-4,0,0,0,0,0,0,6067,41188,4982,1644247,1696484
,May,0,0,637,-630,-17,-10,0,0,0,0,0,0,6067,41825,4352,1644230,1696474
,June,0,0,427,-429,14,12,0,-5,-36,-2,-3751,0,6061,42216,3922,1640493,1692692
,July,0,0,598,-600,-719,-722,0,0,0,0,0,0,6062,42814,3322,1639774,1691971
,August,0,0,138,-135,-2816,-2813,0,0,0,0,0,0,6062,42952,3187,1636958,1689158
,September,0,0,315,-315,-1504,-1505,0,-5,-34,-1,-4278,0,6056,43233,2871,1631176,1683336
,October,0,0,746,-750,-142,-146,0,0,0,0,0,0,6056,43979,2121,1631034,1683190
,November,0,0,34,-30,-139,-136,0,0,0,0,0,0,6056,44012,2091,1630895,1683054
,December,0,0,526,-525,1117,1118,0,-5,-29,-1,-3472,0,6052,44509,1565,1628540,1680666
2023,January,0,0,399,-400,-225,-226,0,0,0,0,0,0,6052,44908,1165,1628315,1680440
,February,0,0,955,-955,-18,-19,0,0,0,0,0,0,6052,45863,210,1628296,1680421
,March,0,0,210,-210,-109,-108,0,-4,-22,0,-4480,0,6048,46051,0,1623708,1675807
,April,0,0,1,0,-98,-97,0,0,0,0,0,0,6048,46052,0,1623610,1675710
,May,0,0,-48,0,-345,-393,0,0,0,0,0,0,6048,46005,0,1623265,1675317
,June,0,0,48,0,-115,-66,0,-4,-22,0,-3113,0,6043,46031,0,1620037,1672111
,July,0,0,2,0,-212,-210,0,0,0,0,0,0,6044,46032,0,1619825,1671901
,August,0,0,0,0,-237,-236,0,0,0,0,0,0,6044,46032,0,1619589,1671665
,September,0,0,21,0,-102,-81,0,-4,-20,0,-3721,0,6040,46034,0,1615766,1667839
,October,0,0,-22,0,-655,-677,0,0,0,0,0,0,6040,46012,0,1615111,1667162
,November,0,0,0,0,814,814,0,0,0,0,0,0,6040,46011,0,1615926,1667976
,December,0,0,-3,0,1284,1281,0,-4,-18,0,-3211,0,6036,45989,0,1613999,1666024
2024,January,0,0,-69,0,-34,-103,0,0,0,0,0,0,6036,45920,0,1613965,1665921
,February,0,0,73,0,-11,62,0,0,0,0,0,0,6036,45993,0,1613953,1665983
,March,0,0,-74,0,-30,-105,0,-3,-73,0,-3639,0,6033,45846,0,1610284,1662164
