record_date,catg,close
2005-10-03,D,4599132
2005-10-03,I,3371392
2005-10-04,D,4598977
2005-10-04,I,3379026
2005-10-05,D,4599795
2005-10-05,I,3379194
2005-10-06,D,4611340
2005-10-06,I,3382942
2005-10-07,D,4610908
2005-10-07,I,3379735
2005-10-11,D,4611365
2005-10-11,I,3379750
2005-10-12,D,4612151
2005-10-12,I,3378480
2005-10-13,D,4616372
2005-10-13,I,3379091
2005-10-14,D,4616591
2005-10-14,I,3370086
2005-10-17,D,4624110
2005-10-17,I,3372548
2005-10-18,D,4625430
2005-10-18,I,3378467
2005-10-19,D,4625903
2005-10-19,I,3373941
2005-10-20,D,4633681
2005-10-20,I,3375954
2005-10-21,D,4633775
2005-10-21,I,3375356
2005-10-24,D,4633574
2005-10-24,I,3376485
2005-10-25,D,4634445
2005-10-25,I,3379287
2005-10-26,D,4634890
2005-10-26,I,3376243
2005-10-27,D,4648387
2005-10-27,I,3377643
2005-10-28,D,4656128
2005-10-28,I,3373929
2005-10-31,D,4650516
2005-10-31,I,3376607
2005-11-01,D,4649009
2005-11-01,I,3366263
2005-11-02,D,4649869
2005-11-02,I,3371612
2005-11-03,D,4663907
2005-11-03,I,3364297
2005-11-04,D,4664024
2005-11-04,I,3364425
2005-11-07,D,4664479
2005-11-07,I,3367111
2005-11-08,D,4664905
2005-11-08,I,3371759
2005-11-09,D,4669335
2005-11-09,I,3365276
2005-11-10,D,4683255
2005-11-10,I,3367485
2005-11-14,D,4683685
2005-11-14,I,3368645
2005-11-15,D,4688458
2005-11-15,I,3377685
2005-11-16,D,4689819
2005-11-16,I,3373773
2005-11-17,D,4705406
2005-11-17,I,3377969
2005-11-18,D,4705320
2005-11-18,I,3377528
2005-11-21,D,4705452
2005-11-21,I,3379407
2005-11-22,D,4705947
2005-11-22,I,3383058
2005-11-23,D,4706117
2005-11-23,I,3378799
2005-11-25,D,4713344
2005-11-25,I,3382601
2005-11-28,D,4713769
2005-11-28,I,3385092
2005-11-29,D,4714389
2005-11-29,I,3383316
2005-11-30,D,4709403
2005-11-30,I,3382919
2005-12-01,D,4736203
2005-12-01,I,3371749
2005-12-02,D,4754352
2005-12-02,I,3363967
2005-12-05,D,4754240
2005-12-05,I,3365256
2005-12-06,D,4754600
2005-12-06,I,3368111
2005-12-07,D,4754960
2005-12-07,I,3366692
2005-12-08,D,4762506
2005-12-08,I,3368528
2005-12-09,D,4762583
2005-12-09,I,3368708
2005-12-12,D,4762567
2005-12-12,I,3369407
2005-12-13,D,4762953
2005-12-13,I,3373113
2005-12-14,D,4764355
2005-12-14,I,3367631
2005-12-15,D,4729594
2005-12-15,I,3369694
2005-12-16,D,4729674
2005-12-16,I,3371229
2005-12-19,D,4729588
2005-12-19,I,3373460
2005-12-20,D,4730099
2005-12-20,I,3377067
2005-12-21,D,4729829
2005-12-21,I,3370199
2005-12-22,D,4721741
2005-12-22,I,3373134
2005-12-23,D,4721737
2005-12-23,I,3375496
2005-12-27,D,4721873
2005-12-27,I,3378404
2005-12-28,D,4722776
2005-12-28,I,3376981
2005-12-29,D,4714163
2005-12-29,I,3373194
2005-12-30,D,4714821
2005-12-30,I,3455603
2006-01-03,D,4716789
2006-01-03,I,3437093
2006-01-04,D,4717388
2006-01-04,I,3448471
2006-01-05,D,4710794
2006-01-05,I,3449526
2006-01-06,D,4710728
2006-01-06,I,3450780
2006-01-09,D,4710443
2006-01-09,I,3449814
2006-01-10,D,4710167
2006-01-10,I,3455480
2006-01-11,D,4710220
2006-01-11,I,3451714
2006-01-12,D,4705428
2006-01-12,I,3453657
2006-01-13,D,4705500
2006-01-13,I,3453173
2006-01-17,D,4714120
2006-01-17,I,3456404
2006-01-18,D,4714064
2006-01-18,I,3459788
2006-01-19,D,4714656
2006-01-19,I,3462292
2006-01-20,D,4714505
2006-01-20,I,3461238
2006-01-23,D,4714137
2006-01-23,I,3460134
2006-01-24,D,4714171
2006-01-24,I,3471145
2006-01-25,D,4714533
2006-01-25,I,3467374
2006-01-26,D,4718753
2006-01-26,I,3471814
2006-01-27,D,4718767
2006-01-27,I,3471608
2006-01-30,D,4718581
2006-01-30,I,3468130
2006-01-31,D,4724637
2006-01-31,I,3471433
2006-02-01,D,4722324
2006-02-01,I,3460815
2006-02-02,D,4734860
2006-02-02,I,3463767
2006-02-03,D,4734747
2006-02-03,I,3460797
2006-02-06,D,4734561
2006-02-06,I,3463030
2006-02-07,D,4734804
2006-02-07,I,3466804
2006-02-08,D,4736136
2006-02-08,I,3461899
2006-02-09,D,4745086
2006-02-09,I,3460633
2006-02-10,D,4745432
2006-02-10,I,3459804
2006-02-13,D,4745305
2006-02-13,I,3460072
2006-02-14,D,4745515
2006-02-14,I,3464071
2006-02-15,D,4774864
2006-02-15,I,3462752
2006-02-16,D,4782168
2006-02-16,I,3466443
2006-02-17,D,4778137
2006-02-17,I,3470359
2006-02-21,D,4776809
2006-02-21,I,3471228
2006-02-22,D,4777323
2006-02-22,I,3470600
2006-02-23,D,4778274
2006-02-23,I,3470490
2006-02-24,D,4774536
2006-02-24,I,3474111
2006-02-27,D,4777368
2006-02-27,I,3470928
2006-02-28,D,4771117
2006-02-28,I,3498768
2006-03-01,D,4782692
2006-03-01,I,3487076
2006-03-02,D,4776142
2006-03-02,I,3494510
2006-03-03,D,4799802
2006-03-03,I,3470767
2006-03-06,D,4806339
2006-03-06,I,3463921
2006-03-07,D,4802112
2006-03-07,I,3468026
2006-03-08,D,4807228
2006-03-08,I,3462793
2006-03-09,D,4809044
2006-03-09,I,3461845
2006-03-10,D,4810928
2006-03-10,I,3459835
2006-03-13,D,4810252
2006-03-13,I,3460134
2006-03-14,D,4801430
2006-03-14,I,3468830
2006-03-15,D,4805555
2006-03-15,I,3464579
2006-03-16,D,4803245
2006-03-16,I,3467760
2006-03-17,D,4798791
2006-03-17,I,3472090
2006-03-20,D,4849675
2006-03-20,I,3498550
2006-03-21,D,4849970
2006-03-21,I,3501753
2006-03-22,D,4850195
2006-03-22,I,3497291
2006-03-23,D,4861936
2006-03-23,I,3501601
2006-03-24,D,4862197
2006-03-24,I,3501881
2006-03-27,D,4862291
2006-03-27,I,3502529
2006-03-28,D,4862491
2006-03-28,I,3505907
2006-03-29,D,4862592
2006-03-29,I,3505069
2006-03-30,D,4863090
2006-03-30,I,3502324
2006-03-31,D,4872485
2006-03-31,I,3498672
2006-04-03,D,4890769
2006-04-03,I,3486702
2006-04-04,D,4891634
2006-04-04,I,3496562
2006-04-05,D,4891937
2006-04-05,I,3496940
2006-04-06,D,4895395
2006-04-06,I,3498348
2006-04-07,D,4903633
2006-04-07,I,3495169
2006-04-10,D,4903617
2006-04-10,I,3498457
2006-04-11,D,4903798
2006-04-11,I,3502762
2006-04-12,D,4903909
2006-04-12,I,3498968
2006-04-13,D,4904230
2006-04-13,I,3501913
2006-04-14,D,4904205
2006-04-14,I,3502852
2006-04-17,D,4854176
2006-04-17,I,3512687
2006-04-18,D,4854214
2006-04-18,I,3519389
2006-04-19,D,4854630
2006-04-19,I,3517203
2006-04-20,D,4828395
2006-04-20,I,3520882
2006-04-21,D,4828603
2006-04-21,I,3521368
2006-04-24,D,4828669
2006-04-24,I,3524760
2006-04-25,D,4830058
2006-04-25,I,3532245
2006-04-26,D,4830490
2006-04-26,I,3531438
2006-04-27,D,4808978
2006-04-27,I,3530761
2006-04-28,D,4819949
2006-04-28,I,3535769
2006-05-01,D,4826896
2006-05-01,I,3524672
2006-05-02,D,4827396
2006-05-02,I,3537969
2006-05-03,D,4827667
2006-05-03,I,3531751
2006-05-04,D,4818382
2006-05-04,I,3536787
2006-05-05,D,4818424
2006-05-05,I,3538580
2006-05-08,D,4818423
2006-05-08,I,3542666
2006-05-09,D,4818710
2006-05-09,I,3545578
2006-05-10,D,4818673
2006-05-10,I,3541507
2006-05-11,D,4813462
2006-05-11,I,3544527
