record_date,type,today,mtd,fytd
2022-04-18,D,284332,1147394,13235796
2022-04-18,W,21553,957664,12609702
2022-04-19,D,196259,1343654,13432055
2022-04-19,W,144162,1101826,12753864
2022-04-20,D,62733,1406387,13494788
2022-04-20,W,48558,1150384,12802422
2022-04-21,D,186374,1592760,13681162
2022-04-21,W,175023,1325407,12977445
2022-04-22,D,37033,1629794,13718195
2022-04-22,W,21672,1347079,12999117
2022-04-25,D,44296,1674089,13762491
2022-04-25,W,20243,1367321,13019359
2022-04-26,D,148016,1822106,13910507
2022-04-26,W,133314,1500635,13152673
2022-04-27,D,36829,1858934,13947392
2022-04-27,W,52404,1553038,13205132
2022-04-28,D,135610,1994544,14083002
2022-04-28,W,139096,1692134,13344228
2022-04-29,D,55353,2049897,14138354
2022-04-29,W,86046,1778179,13430274
2022-05-02,D,272896,272896,14411250
2022-05-02,W,221118,221118,13651392
2022-05-03,D,138540,411437,14549791
2022-05-03,W,158297,379415,13809689
2022-05-04,D,31087,442523,14580878
2022-05-04,W,21937,401352,13831626
2022-05-05,D,120903,563426,14701780
2022-05-05,W,141833,543185,13973459
2022-05-06,D,20257,583683,14722037
2022-05-06,W,13037,556223,13986497
2022-05-09,D,30207,613890,14752244
2022-05-09,W,17980,574203,14004476
2022-05-10,D,114618,728508,14866862
2022-05-10,W,135780,709983,14140256
2022-05-11,D,23358,751866,14890221
2022-05-11,W,45793,755776,14186049
2022-05-12,D,111351,863218,15001572
2022-05-12,W,136879,892655,14322928
2022-05-13,D,19828,883046,15021400
2022-05-13,W,32840,925494,14355768
2022-05-16,D,219419,1110866,15339349
2022-05-16,W,185640,1119536,14639938
2022-05-17,D,112781,1223647,15452130
2022-05-17,W,136080,1255616,14776018
2022-05-18,D,20920,1244567,15473049
2022-05-18,W,45465,1301081,14821484
2022-05-19,D,147528,1392094,15620577
2022-05-19,W,189072,1490153,15010555
2022-05-20,D,14147,1406242,15634725
2022-05-20,W,16990,1507143,15027545
2022-05-23,D,31390,1437631,15666114
2022-05-23,W,15588,1522731,15043134
2022-05-24,D,110393,1548024,15776507
2022-05-24,W,129845,1652576,15172979
2022-05-25,D,20748,1568772,15797255
2022-05-25,W,37723,1690299,15210701
2022-05-26,D,106577,1675349,15903832
2022-05-26,W,145616,1835915,15356318
2022-05-27,D,37763,1713112,15941595
2022-05-27,W,18128,1854043,15374445
2022-05-31,W,254279,2108321,15628724
2022-05-31,D,326209,2039321,16267804
2022-06-01,D,28750,28750,16296554
2022-06-01,W,102415,102415,15731138
2022-06-02,D,121396,150146,16417950
2022-06-02,W,144412,246826,15875550
2022-06-03,D,14533,164679,16432483
2022-06-03,W,40311,287138,15915861
2022-06-06,D,23242,187921,16455725
2022-06-06,W,30470,317608,15946331
2022-06-07,D,109023,296944,16564748
2022-06-07,W,131240,448848,16077572
2022-06-08,D,20381,317325,16585129
2022-06-08,W,38825,487673,16116397
2022-06-09,D,108297,425622,16693426
2022-06-09,W,161163,648836,16277560
2022-06-10,D,16670,442292,16710096
2022-06-10,W,20303,669139,16297863
2022-06-13,D,42939,485231,16753035
2022-06-13,W,16614,685753,16314477
2022-06-14,D,136670,621901,16889705
2022-06-14,W,129161,814914,16443638
2022-06-15,D,196101,818002,17085806
2022-06-15,W,87391,902305,16531029
2022-06-16,D,164027,982029,17249833
2022-06-16,W,178076,1080381,16709105
2022-06-17,D,20121,1002150,17269955
2022-06-17,W,13683,1094064,16722788
2022-06-21,D,133307,1135458,17403262
2022-06-21,W,137901,1231965,16860689
2022-06-22,D,30310,1165768,17433572
2022-06-22,W,42992,1274956,16903680
2022-06-23,D,123026,1288794,17556598
2022-06-23,W,132939,1407895,17036619
2022-06-24,D,42172,1330966,17598770
2022-06-24,W,18806,1426701,17055425
2022-06-27,D,28534,1359500,17627304
2022-06-27,W,18386,1445088,17073811
2022-06-28,D,111747,1471247,17739051
2022-06-28,W,123158,1568245,17196969
2022-06-29,D,18944,1490191,17757995
2022-06-29,W,16341,1584586,17213310
2022-06-30,D,295369,1785560,18053364
2022-06-30,W,272808,1857395,17486118
2022-07-01,D,31344,31344,18084708
2022-07-01,W,127907,127907,17614026
2022-07-05,D,128677,160021,18213385
2022-07-05,W,125037,252944,17739063
2022-07-06,D,12371,172392,18225756
2022-07-06,W,13910,266854,17752973
2022-07-07,D,118454,290846,18344210
2022-07-07,W,140353,407208,17893326
2022-07-08,D,12497,303343,18356707
2022-07-08,W,20445,427653,17913771
2022-07-11,D,24950,328292,18381657
2022-07-11,W,17254,444906,17931025
2022-07-12,D,108994,437287,18490651
2022-07-12,W,131645,576551,18062670
2022-07-13,D,16730,454016,18507380
2022-07-13,W,41131,617682,18103800
2022-07-14,D,153084,607101,18660465
2022-07-14,W,176552,794234,18280352
2022-07-15,D,127291,734392,18787756
2022-07-15,W,115729,909963,18396082
2022-07-18,D,35216,769608,18822972
2022-07-18,W,13391,923354,18409472
2022-07-19,D,127443,897051,18950415
2022-07-19,W,119741,1043094,18529213
2022-07-20,D,21827,918878,18972242
2022-07-20,W,41840,1084935,18571053
2022-07-21,D,118205,1037082,19090446
2022-07-21,W,140519,1225453,18711572
2022-07-22,D,11374,1048456,19101820
2022-07-22,W,16086,1241540,18727658
2022-07-25,D,32784,1081240,19134604
2022-07-25,W,16234,1257774,18743892
2022-07-26,D,149322,1230562,19283927
2022-07-26,W,117966,1375739,18861858
2022-07-27,D,16889,1247451,19300815
2022-07-27,W,38603,1414342,18900460
2022-07-28,D,117342,1364793,19418157
2022-07-28,W,135839,1550181,19036300
2022-07-29,D,35938,1400731,19454095
2022-07-29,W,13682,1563863,19049982
2022-08-01,D,227913,227913,19682008
2022-08-01,W,296163,296163,19346145
2022-08-02,D,152505,380418,19834513
2022-08-02,W,117158,413321,19463303
2022-08-03,D,18219,398637,19852732
2022-08-03,W,38012,451333,19501315
2022-08-04,D,117059,515696,19969791
2022-08-04,W,129233,580567,19630549
2022-08-05,D,11583,527279,19981374
2022-08-05,W,17136,597703,19647685
2022-08-08,D,25967,553246,20007341
2022-08-08,W,19303,617006,19666988
2022-08-09,D,147943,701189,20155284
2022-08-09,W,120201,737207,19787188
2022-08-10,D,15554,716743,20170838
2022-08-10,W,37669,774876,19824858
2022-08-11,D,152089,868831,20322926
2022-08-11,W,166250,941126,19991108
2022-08-12,D,12788,881619,20335714
2022-08-12,W,11352,952478,20002460
2022-08-15,D,187164,1068784,20522879
2022-08-15,W,209658,1162136,20212117
2022-08-16,D,158461,1227245,20681340
2022-08-16,W,124555,1286691,20336672
2022-08-17,D,16689,1243934,20698029
2022-08-17,W,37238,1323929,20373910
2022-08-18,D,116544,1360478,20814573
2022-08-18,W,125324,1449252,20499234
2022-08-19,D,15856,1376333,20830428
2022-08-19,W,17073,1466325,20516307
2022-08-22,D,33367,1409700,20863795
2022-08-22,W,19454,1485779,20535761
2022-08-23,D,148584,1558284,21012379
2022-08-23,W,136639,1622418,20672400
2022-08-24,D,14613,1572898,21026992
2022-08-24,W,39556,1661974,20711956
2022-08-25,D,174520,1747418,21201513
2022-08-25,W,124684,1786658,20836640
2022-08-26,D,34783,1782201,21236296
2022-08-26,W,14706,1801364,20851346
2022-08-29,D,25667,1807867,21261962
2022-08-29,W,15377,1816741,20866723
2022-08-30,D,154527,1962394,21416489
2022-08-30,W,137844,1954586,21004567
2022-08-31,D,186306,2148700,21602795
2022-08-31,W,143476,2098062,21148044
2022-09-01,D,133881,133881,21736676
2022-09-01,W,204934,204934,21352978
2022-09-02,D,16324,150205,21753000
2022-09-02,W,40760,245694,21393737
2022-09-06,D,157516,307721,21910516
2022-09-06,W,142342,388036,21536080
2022-09-07,D,13574,321295,21924090
2022-09-07,W,20249,408285,21556328
2022-09-08,D,163103,484398,22087193
2022-09-08,W,164240,572524,21720568
2022-09-09,D,17044,501442,22104237
2022-09-09,W,13829,586353,21734397
2022-09-12,D,31784,533226,22136021
2022-09-12,W,14840,601193,21749237
2022-09-13,D,152642,685868,22288663
2022-09-13,W,154654,755847,21903891
2022-09-14,D,54780,740648,22343443
2022-09-14,W,36715,792562,21940606
2022-09-15,W,230532,1023094,22171138
2022-09-15,D,289987,1030636,22633431
2022-09-16,D,32964,1063600,22666395
2022-09-16,W,17446,1040540,22188584
2022-09-19,D,31029,1094629,22697424
2022-09-19,W,19002,1059542,22207586
2022-09-20,D,149149,1243778,22846573
2022-09-20,W,158324,1217867,22365910
2022-09-21,D,31342,1275120,22877915
2022-09-21,W,36878,1254745,22402788
2022-09-22,D,119241,1394361,22997156
2022-09-22,W,127501,1382246,22530289
2022-09-23,D,29920,1424281,23027076
2022-09-23,W,14220,1396466,22544510
2022-09-26,D,24217,1448498,23051293
2022-09-26,W,16025,1412491,22560535
2022-09-27,D,138738,1587242,23190037
2022-09-27,W,160713,1573211,22721254
2022-09-28,D,19339,1606581,23209376
2022-09-28,W,41362,1614572,22762616
2022-09-29,D,120424,1727005,23329800
2022-09-29,W,123709,1738282,22886325
2022-09-30,D,194662,1921667,23524462
2022-09-30,W,217303,1955585,23103628
2022-10-03,D,47251,47251,47251
2022-10-03,W,52270,52270,52270
2022-10-04,D,139359,186610,186610
2022-10-04,W,152484,204754,204754
2022-10-05,D,19124,205735,205735
2022-10-05,W,14843,219597,219597
2022-10-06,D,152539,358273,358273
2022-10-06,W,162270,381867,381867
2022-10-07,D,13414,371687,371687
2022-10-07,W,13959,395826,395826
2022-10-11,D,156384,528071,528071
2022-10-11,W,153458,549284,549284
2022-10-12,D,11489,539560,539560
2022-10-12,W,42757,592041,592041
2022-10-13,D,127989,667549,667549
2022-10-13,W,133219,725260,725260
2022-10-14,D,19062,686611,686611
2022-10-14,W,22363,747623,747623
2022-10-17,D,135435,822046,822046
2022-10-17,W,59099,806722,806722
2022-10-18,D,161090,983136,983136
2022-10-18,W,157178,963900,963900
2022-10-19,D,23326,1006462,1006462
2022-10-19,W,37943,1001842,1001842
2022-10-20,D,126322,1132784,1132784
2022-10-20,W,131443,1133285,1133285
2022-10-21,D,13093,1145877,1145877
2022-10-21,W,24001,1157287,1157287
2022-10-24,D,27787,1173664,1173664
2022-10-24,W,15586,1172872,1172872
2022-10-25,D,174645,1348309,1348309
2022-10-25,W,151947,1324819,1324819
2022-10-26,D,17895,1366204,1366204
2022-10-26,W,41051,1365871,1365871
2022-10-27,D,122823,1489027,1489027
2022-10-27,W,133788,1499659,1499659
2022-10-28,D,16287,1505313,1505313
2022-10-28,W,20022,1519680,1519680
2022-10-31,D,209059,1714373,1714373
2022-10-31,W,234216,1753897,1753897
2022-11-01,D,184507,184507,1898880
2022-11-01,W,229968,229968,1983864
2022-11-02,D,19033,203541,1917913
2022-11-02,W,17954,247922,2001818
