isin,desc,payment,repayment,outstanding_m
CH1310847012,"SNB Bills (17.08.26)",2025-09-15,2026-08-17,5260.0
CH1310847095,"SNB Bills (14.09.26)",2025-10-13,2026-09-14,5170.0
CH1310847202,"SNB Bills (12.10.26)",2025-11-10,2026-10-12,5300.0
CH1310847285,"SNB Bills (09.11.26)",2025-12-08,2026-11-09,5080.0
CH1478192367,"SNB Bills (07.12.26)",2026-01-05,2026-12-07,5300.0
CH1478192441,"SNB Bills (04.01.27)",2026-02-02,2027-01-04,5500.0
CH1478192482,"SNB Bills (03.08.26)",2026-02-16,2026-08-03,10315.0
CH1478192524,"SNB Bills (01.02.27)",2026-03-02,2027-02-01,45.0
CH1478192565,"SNB Bills (31.08.26)",2026-03-16,2026-08-31,734.0
CH1478192607,"SNB Bills (01.03.27)",2026-03-30,2027-03-01,700.0
CH1478192649,"SNB Bills (28.09.26)",2026-04-13,2026-09-28,125.0
CH1478192680,"SNB Bills (30.03.27)",2026-04-27,2027-03-30,1037.0
CH1478192722,"SNB Bills (26.10.26)",2026-05-11,2026-10-26,410.0
CH1478192748,"SNB Bills (10.08.26)",2026-05-18,2026-08-10,590.0
CH1478192763,"SNB Bills (26.04.27)",2026-05-26,2027-04-26,275.0
CH1478192789,"SNB Bills (24.08.26)",2026-06-01,2026-08-24,1122.0
CH1478192805,"SNB Bills (23.11.26)",2026-06-08,2026-11-23,1280.0
CH1478192821,"SNB Bills (07.09.26)",2026-06-15,2026-09-07,1895.0
CH1478192847,"SNB Bills (24.05.27)",2026-06-22,2027-05-24,205.0
CH1478192862,"SNB Bills (21.09.26)",2026-06-29,2026-09-21,397.0
CH1478192870,"SNB Bills (03.08.26)",2026-07-06,2026-08-03,34674.0
CH1478192888,"SNB Bills (21.12.26)",2026-07-06,2026-12-21,505.0
CH1478192896,"SNB Bills (10.08.26)",2026-07-13,2026-08-10,36761.0
CH1478192904,"SNB Bills (05.10.26)",2026-07-13,2026-10-05,1775.0
CH1478192912,"SNB Bills (17.08.26)",2026-07-20,2026-08-17,35457.0
CH1478192920,"SNB Bills (21.06.27)",2026-07-20,2027-06-21,760.0
CH1478192938,"SNB Bills (24.08.26)",2026-07-27,2026-08-24,40645.0
CH1478192946,"SNB Bills (19.10.26)",2026-07-27,2026-10-19,580.0
