date,key,value
2026-02-11,bond_issued,372.14
2026-02-11,bond_own_share,0.0000
2026-03-11,bond_btc,1.874
2026-03-11,bond_yield,0.4732
2026-03-11,bond_issued,438.44
2026-03-11,bond_own_share,0.0000
2026-04-08,bond_btc,1.250
2026-04-08,bond_yield,0.3050
2026-04-08,bond_issued,489.40
2026-04-08,bond_own_share,0.0000
2026-05-13,bond_btc,1.511
2026-05-13,bond_yield,0.5660
2026-05-13,bond_issued,450.00
2026-05-13,bond_own_share,0.0000
2026-06-10,bond_btc,1.443
2026-06-10,bond_yield,0.6194
2026-06-10,bond_issued,415.17
2026-06-10,bond_own_share,0.4195
2026-07-08,bond_btc,1.618
2026-07-08,bond_yield,0.2775
2026-07-08,bond_issued,359.99
2026-07-08,bond_own_share,0.0000
