date,zirepo:H6,zirepo:H7,zirepo:H2,zirepo:H4,zirepo:H5
2026-05-28,-0.046,-0.047,-0.023,-0.047,-0.045
2026-05-29,-0.047,-0.046,-0.023,-0.068,-0.045
2026-06-01,-0.046,-0.046,-0.02,-0.051,-0.045
2026-06-02,-0.046,-0.046,-0.011,-0.03,-0.045
2026-06-03,-0.046,-0.046,-0.016,-0.043,-0.045
2026-06-04,-0.046,-0.046,-0.01,-0.052,-0.045
2026-06-05,-0.046,-0.046,0.007,-0.047,-0.045
2026-06-08,-0.045,-0.045,-0.024,-0.026,-0.045
2026-06-09,-0.045,-0.044,-0.025,-0.049,-0.045
2026-06-10,-0.045,-0.044,-0.012,-0.026,-0.045
2026-06-11,-0.045,-0.044,0.006,-0.031,-0.045
2026-06-12,-0.044,-0.044,0.011,-0.032,-0.045
2026-06-15,-0.043,-0.044,-0.026,-0.022,-0.072
2026-06-16,-0.043,-0.043,0.014,-0.037,-0.045
2026-06-17,-0.042,-0.043,-0.023,-0.036,-0.045
2026-06-18,-0.042,-0.043,-0.043,-0.047,-0.06
2026-06-19,-0.041,-0.043,0.011,-0.034,-0.04
2026-06-22,-0.041,-0.043,-0.015,-0.02,-0.035
2026-06-23,-0.041,-0.043,-0.01,-0.006,-0.054
2026-06-24,-0.041,-0.043,-0.01,-0.028,-0.051
2026-06-25,-0.04,-0.043,-0.01,-0.031,-0.035
2026-06-26,-0.04,-0.043,-0.007,-0.043,-0.035
2026-06-29,-0.04,-0.043,-0.017,-0.029,-0.035
2026-06-30,-0.038,-0.042,-0.022,-0.03,-0.035
2026-07-01,-0.038,-0.042,-0.028,-0.026,-0.035
2026-07-02,-0.038,-0.042,-0.011,-0.017,-0.035
2026-07-03,-0.038,-0.042,-0.03,-0.022,-0.035
2026-07-06,-0.038,-0.042,-0.03,-0.047,-0.045
2026-07-07,-0.038,-0.042,-0.011,-0.025,-0.045
2026-07-08,-0.038,-0.042,-0.023,-0.034,-0.045
2026-07-09,-0.038,-0.042,-0.009,-0.028,-0.072
2026-07-10,-0.038,-0.042,-0.01,-0.03,-0.045
2026-07-13,-0.038,-0.042,-0.019,-0.038,-0.045
2026-07-14,-0.038,-0.042,-0.016,-0.037,-0.045
2026-07-15,-0.039,-0.042,-0.032,-0.036,-0.045
2026-07-16,-0.039,-0.042,-0.019,-0.039,-0.045
2026-07-17,-0.039,-0.042,-0.016,-0.015,-0.045
2026-07-20,-0.04,-0.042,-0.038,-0.026,-0.045
2026-07-21,-0.04,-0.042,-0.026,-0.016,-0.045
2026-07-22,-0.04,-0.042,-0.035,-0.027,-0.045
2026-07-23,-0.04,-0.042,0.01,-0.027,-0.045
2026-07-24,-0.04,-0.042,-0.016,-0.024,-0.045
2026-07-27,-0.041,-0.042,-0.036,-0.033,-0.045
2026-07-28,-0.041,-0.042,-0.021,-0.034,-0.045
2026-07-29,-0.041,-0.042,-0.041,-0.05,-0.045
2026-07-30,-0.04,-0.042,-0.008,-0.028,-0.045
2026-07-31,-0.041,-0.042,-0.031,-0.031,-0.045
2026-08-03,-0.041,-0.042,-0.01,-0.032,-0.045
2026-08-04,-0.042,-0.042,-0.023,-0.049,-0.045
2026-08-05,-0.044,-0.043,-0.035,-0.044,-0.045
2026-08-06,-0.044,-0.043,-0.009,-0.032,-0.045
2026-08-07,-0.045,-0.043,-0.012,-0.031,-0.045
2026-08-10,-0.046,-0.043,-0.034,-0.044,-0.045
2026-08-11,-0.046,-0.043,-0.032,-0.038,-0.045
2026-08-12,-0.047,-0.043,-0.026,-0.042,-0.045
2026-08-13,-0.047,-0.043,-0.003,-0.02,-0.045
2026-08-14,-0.048,-0.043,-0.022,-0.018,-0.045
