date,snbgwdchfsgw:GI,snbgwdchfsgw:UEB,snbgwdchfsgw:TG
2025-10-24,448652,22847,471499
2025-10-31,446863,23638,470502
2025-11-07,436251,23740,459991
2025-11-14,436891,19627,456517
2025-11-21,439819,20333,460152
2025-11-28,437298,21166,458464
2025-12-05,440519,21351,461870
2025-12-12,444663,18825,463488
2025-12-19,443733,18230,461962
2025-12-26,439594,18704,458298
2026-01-02,426390,25990,452380
2026-01-09,435767,24023,459790
2026-01-16,439895,16348,456242
2026-01-23,433611,15691,449302
2026-01-30,436584,16154,452738
2026-02-06,430596,16764,447359
2026-02-13,437022,15646,452668
2026-02-20,440601,16949,457550
2026-02-27,440458,19292,459750
2026-03-06,428861,25211,454072
2026-03-13,433502,20903,454405
2026-03-20,432785,24221,457006
2026-03-27,433093,27857,460951
2026-04-03,429902,34408,464310
2026-04-10,437497,23753,461250
2026-04-17,433270,20290,453559
2026-04-24,433014,22904,455918
2026-05-01,430703,29002,459704
2026-05-08,435513,31946,467459
2026-05-15,438403,32661,471064
2026-05-22,437900,31032,468932
2026-05-29,433476,35127,468603
2026-06-05,433174,36425,469599
2026-06-12,434025,34473,468497
2026-06-19,437507,34391,471897
2026-06-26,440595,34083,474678
2026-07-03,440922,38232,479154
2026-07-10,444759,26495,471254
2026-07-17,443048,26303,469351
2026-07-24,442663,26603,469266
2026-07-31,435251,29916,465167
2026-08-07,432643,29752,462395
2026-08-14,433521,25233,458754
2026-08-21,437110,26548,463658
2026-08-28,431290,26059,457349
2026-09-04,424977,27616,452593
