date,babilpobm:FMI|T|T|A40,babilpobm:FBA|T|T|A40,babilpobm:FKU|T|T|A40,babilpobm:TOT|T|T|A40,babilpobm:VBA|T|T|A40,babilpobm:VKE|T|T|A40,babilpobm:APF|T|T|A40,babilpobm:TOT1|T|T|A40
2019-01,490647,298307,365431,2689415,496537,1563407,214747,2689415
2019-02,491546,290702,367464,2690842,497839,1564883,214777,2690842
2019-03,487029,280927,370150,2673423,487565,1561201,215263,2673423
2019-04,483832,296518,376034,2709939,497800,1580712,217434,2709939
2019-05,478082,280441,369577,2686420,474358,1574978,218003,2686420
2019-06,479852,271501,374171,2667622,471373,1563870,219720,2667622
2019-07,475469,279597,371982,2684903,475575,1570371,219844,2684903
2019-08,483657,275664,370718,2701928,476302,1567069,224835,2701928
2019-09,488520,283885,378773,2713890,497026,1561457,225892,2713890
2019-10,501139,272709,377892,2713653,503396,1554600,227207,2713653
2019-11,508603,301764,377830,2770855,538810,1559592,230949,2770855
2019-12,513526,286420,376336,2735366,520436,1546399,231960,2735366
2020-01,506227,299319,372636,2756746,539005,1543350,235559,2756746
2020-02,503423,324319,375820,2802970,564633,1552758,236361,2802970
2020-03,530147,329424,390297,2864258,536554,1618685,234274,2864258
2020-04,589109,353078,383635,2949198,601341,1634035,238158,2949198
2020-05,594555,336833,389083,2951450,587776,1651121,239454,2951450
2020-06,600286,327639,387206,2925032,566417,1655791,240912,2925032
2020-07,627051,334821,377701,2966660,570651,1673108,241153,2966660
2020-08,633777,319482,379575,2960428,558800,1680000,244526,2960428
2020-09,638504,326530,383058,2957805,566357,1690707,245380,2957805
2020-10,636888,326708,383048,2964077,546800,1708031,247100,2964077
2020-11,639328,320010,386619,2969272,537970,1716073,249679,2969272
2020-12,630679,304842,387649,2930610,523788,1706319,256865,2930610
2021-01,637720,323178,394651,2989200,545172,1727928,258168,2989200
2021-02,643794,328660,402690,3029986,562253,1751278,256073,3029986
2021-03,629007,348551,415025,3055227,560781,1767409,257699,3055227
2021-04,637053,342178,403501,3028540,554424,1763968,255550,3028540
2021-05,634774,336957,404133,3030141,552907,1762980,258907,3030141
2021-06,637124,339960,414182,3039892,554497,1774286,258312,3039892
2021-07,639457,337963,404937,3029869,541356,1770239,259779,3029869
2021-08,639541,351559,406296,3051758,547493,1783769,261115,3051758
2021-09,638996,353721,411964,3065872,545173,1792709,261857,3065872
2021-10,649258,349540,407431,3065070,540019,1788240,261888,3065070
2021-11,647395,355867,410628,3085858,533755,1797374,267487,3085858
2021-12,654666,345809,413412,3052464,535981,1789232,270369,3052464
2022-01,661238,361794,417728,3108442,557789,1811874,271417,3108442
2022-02,661862,360016,416961,3122982,566528,1812708,268250,3122982
2022-03,666081,363631,412395,3130784,560871,1814432,267640,3130784
2022-04,665473,369736,418085,3194795,582313,1820219,268730,3194795
2022-05,666157,371739,418400,3171565,583579,1805963,270273,3171565
2022-06,643616,357131,418883,3127088,566323,1777568,271574,3127088
2022-07,645429,362327,410785,3130471,583869,1763781,270351,3130471
2022-08,641228,350710,417041,3141735,583208,1763134,266683,3141735
2022-09,540455,342255,418845,3108624,578875,1733749,262503,3108624
2022-10,518289,331063,423245,3098661,598403,1711207,263190,3098661
2022-11,512465,337892,415051,3074674,600974,1684544,261249,3074674
2022-12,467119,343112,397008,2978809,572020,1645552,263345,2978809
2023-01,495883,360248,396180,3026370,601306,1638461,265193,3026370
2023-02,489778,344179,398418,3009451,594312,1627816,265524,3009451
2023-03,484252,379328,393401,3014540,656182,1598472,261475,3014540
2023-04,496647,363979,390791,3007030,646816,1587804,263468,3007030
2023-05,494706,375447,389841,3017556,658673,1584608,265435,3017556
2023-06,463109,340844,388037,2924440,601637,1570198,262287,2924440
2023-07,468977,333771,375809,2903755,597874,1544553,263846,2903755
2023-08,453240,327310,381177,2894334,589884,1541756,265215,2894334
2023-09,461143,330692,388778,2917436,593334,1552247,269635,2917436
2023-10,462106,318730,380521,2907598,580549,1543160,271020,2907598
2023-11,456458,318073,378698,2892207,566952,1539015,272335,2892207
2023-12,452792,294760,366422,2848564,533386,1536639,271047,2848564
2024-01,463162,307343,365837,2877089,569832,1531657,271968,2877089
2024-02,453580,310619,370732,2897425,580621,1540188,272879,2897425
2024-03,441458,327520,380285,2922485,590613,1555877,275233,2922485
2024-04,453909,327739,382521,2949601,633602,1554396,254669,2949601
2024-05,448350,314947,380654,2904404,632995,1540888,255234,2904404
2024-06,435568,310821,378007,2849725,605931,1540656,255405,2849725
2024-07,443467,324045,367907,2864886,619171,1535458,255833,2864886
2024-08,440795,321695,360737,2870569,610763,1529231,258111,2870569
2024-09,444922,313056,363765,2854030,595062,1541458,259695,2854030
2024-10,444047,322372,365803,2907842,622451,1545689,260459,2907842
2024-11,446924,331625,366944,2934366,622397,1558623,261463,2934366
2024-12,422302,315428,371357,2886339,579551,1570737,264298,2886339
