date,snbgwdzid:LZ,snbgwdzid:ENG,snbgwdzid:ZIGBL,snbgwdzid:ZIG,snbgwdzid:ZIABP,snbgwdzid:FREI
2021-01-04,-0.75,0,,-0.75,,30
2022-06-17,-0.25,0.25,,-0.25,,30
2022-07-01,-0.25,0.25,,-0.25,,28
2022-09-23,0.5,1,0.5,0,50,28
2022-12-16,1,1.5,1,0.5,50,28
2023-03-24,1.5,2,1.5,1,50,28
2023-06-23,1.75,2.25,1.75,1.25,50,28
2023-12-01,1.75,2.25,1.75,1.25,50,25
2024-03-22,1.5,2,1.5,1,50,25
2024-06-21,1.25,1.75,1.25,0.75,50,25
2024-09-27,1,1.5,1,0.5,50,25
2024-10-01,1,1.5,1,0.5,50,22
2024-12-13,0.5,1,0.5,0,50,22
2025-02-03,0.5,1,0.5,0,50,20
2025-03-21,0.25,0.75,0.25,0,25,20
2025-06-02,0.25,0.75,0.25,0,25,18
2025-06-20,0,0.5,0,-0.25,25,18
2025-11-03,0,0.5,0,-0.25,25,16.5
2026-03-02,0,0.5,0,-0.25,25,15
2026-07-01,0,0.25,0,-0.25,25,15
2026-08-03,0,0.25,0,-0.25,25,13.5
