date,snbmonagg:B|S0,snbmonagg:B|GM1,snbmonagg:B|GM2,snbmonagg:B|GM3
2019-01,444408,672116,1016265,1070756
2019-02,445673,675990,1020650,1075036
2019-03,448434,679434,1024380,1076180
2019-04,452510,680033,1026007,1077864
2019-05,456252,684210,1030635,1081329
2019-06,452230,680401,1026473,1077241
2019-07,454059,682809,1029083,1079474
2019-08,452977,683920,1030594,1080919
2019-09,471041,679720,1025083,1076189
2019-10,471063,678440,1022484,1074823
2019-11,470207,678065,1020566,1077713
2019-12,467762,675753,1016327,1072273
2020-01,477759,671327,1010892,1071532
2020-02,480333,675258,1013206,1075784
2020-03,499560,692331,1027023,1090838
2020-04,505046,699191,1035712,1100067
2020-05,509455,707115,1044646,1107962
2020-06,511344,710569,1047783,1110218
2020-07,516672,714575,1053410,1120025
2020-08,563383,718805,1058429,1123872
2020-09,563325,718530,1058289,1121938
2020-10,570383,727186,1067778,1134290
2020-11,574797,733209,1073708,1140090
2020-12,573864,736570,1077696,1141681
2021-01,574141,738328,1079973,1146987
2021-02,577181,741276,1082066,1148612
2021-03,583303,749424,1089345,1153523
2021-04,601910,750220,1090311,1154207
2021-05,603717,753566,1091499,1154396
2021-06,603175,753060,1088131,1151494
2021-07,608693,760957,1090501,1156754
2021-08,615584,760393,1090479,1159443
2021-09,618659,763412,1093024,1159481
2021-10,622014,766793,1095563,1163087
2021-11,621989,766898,1094782,1161271
2021-12,628114,769725,1094357,1157754
2022-01,654924,771158,1093386,1159508
2022-02,655616,769749,1091534,1159742
2022-03,663888,780952,1097277,1161858
2022-04,661867,777551,1093922,1155744
2022-05,663765,779183,1094599,1157230
2022-06,661187,775870,1089396,1149669
2022-07,665224,778238,1092057,1154328
2022-08,668957,780505,1093844,1157126
2022-09,671271,776548,1088155,1160617
2022-10,663103,766329,1076830,1161859
2022-11,668532,771043,1079983,1171437
2022-12,648786,752533,1060645,1159243
2023-01,633173,732475,1042739,1158833
2023-02,621234,719999,1033650,1162394
2023-03,608671,705664,1016291,1155293
2023-04,601692,697982,1006485,1153845
2023-05,588008,683095,990723,1142952
2023-06,574323,668191,974939,1133843
2023-07,558591,651660,961694,1136369
2023-08,548333,640788,949904,1131701
2023-09,542734,634909,942276,1128106
2023-10,538712,630200,936231,1132252
2023-11,536645,628296,934727,1135000
2023-12,527974,621192,928131,1136319
2024-01,516818,607756,915635,1135048
2024-02,509845,600072,909670,1131865
2024-03,512584,602524,912962,1138093
2024-04,511717,601715,915430,1143443
2024-05,507254,596583,912885,1135316
2024-06,513301,602622,920586,1135556
2024-07,508145,597255,921083,1139827
2024-08,512034,600729,927282,1144720
2024-09,520621,609075,935471,1147578
2024-10,522539,611103,938918,1147740
2024-11,531644,620897,951672,1155314
2024-12,544325,635568,971323,1157955
2025-01,542123,632465,970040,1154098
2025-02,545071,634649,974914,1159559
2025-03,564012,653881,996307,1169837
2025-04,579696,670321,1014956,1178148
2025-05,584296,674118,1020278,1175170
2025-06,617306,709414,1056844,1183968
2025-07,631714,723526,1072319,1191938
2025-08,640633,731330,1080776,1196272
2025-09,642958,733855,1082514,1192728
2025-10,650621,741713,1090721,1202296
2025-11,660135,751863,1101579,1210928
2025-12,655879,750196,1101387,1209269
2026-01,659410,753088,1104210,1214529
2026-02,663000,756261,1106607,1214794
2026-03,671198,764506,1114043,1222467
2026-04,674471,767065,1116914,1229817
2026-05,677472,769137,1118598,1227770
2026-06,677587,768532,1116788,1226422
2026-07,678908,769708,1117458,1231109
