date,bamire:TB|GA,bamire:TB|T,bamire:TB|GN,bamire:TB|EP
2021-01,21292.5,646190.7,640303.2,3034.8
2021-02,21391.9,640022.1,634270.2,2991.9
2021-03,21383.5,635412.2,629555.6,2971.5
2021-04,21490,639462.9,633276.4,2975.6
2021-05,21712.6,638664.2,632528.4,2941.4
2021-06,21978.6,640613.4,634603.3,2914.7
2021-07,22083.4,643477.6,637487,2913.8
2021-08,22140.4,643016,637109,2904.3
2021-09,22290.6,644439.1,638544.8,2891.1
2021-10,22379.8,650584.4,644749.1,2907
2021-11,22506.9,652287,646473.9,2898.2
2021-12,22515.2,658037.2,652245.8,2922.6
2022-01,22642.4,666452.2,660757.2,2943.4
2022-02,22869.3,664844.7,659099.8,2907.2
2022-03,23098.1,670201,664474.7,2901.5
2022-04,23231.3,671826.6,666141.7,2891.9
2022-05,23201.7,667540.6,661785.7,2877.1
2022-06,23190.4,648188.5,642196.2,2795.1
2022-07,22957.1,646774,640587.3,2817.3
2022-08,22879.7,646223.7,640063.3,2824.4
2022-09,22807,568363.7,562743.3,2492.1
2022-10,23028,537094,531541.6,2332.4
2022-11,23123,519520.8,514045.4,2246.8
2022-12,23312.9,505636.7,500014.6,2168.9
2023-01,23169.7,515653.8,510409.3,2225.6
2023-02,22954.5,507179.7,502076.4,2209.5
2023-03,22606.1,526480.9,521223.3,2328.9
2023-04,22529.1,511499.9,506364.2,2270.4
2023-05,22469.7,507219.6,502168.9,2257.3
2023-06,22361.9,485675,480668.5,2171.9
2023-07,22080.8,479402.1,474496.8,2171.1
2023-08,21708.5,465381.1,460573.1,2143.8
2023-09,21359,474696.2,469895.6,2222.5
2023-10,21213.2,470506.2,465798.5,2218
2023-11,21212.5,464642.6,459856.8,2190.4
2023-12,21258.6,464984.1,459838.9,2187.3
2024-01,21183.7,473528.9,468715.8,2235.3
2024-02,21108.8,470763.7,466024.8,2230.2
2024-03,21001.6,465353.2,460580.6,2215.8
2024-04,21075.6,466319.6,461557.4,2212.6
2024-05,21078,452675.5,447992.5,2147.6
2024-06,21119.2,451671.6,447009,2138.7
2024-07,44608.8,456595.4,451949.7,1023.6
2024-08,44451.7,457223.7,452668.5,1028.6
2024-09,44572.7,463357.5,458837.1,1039.6
2024-10,44876.9,455971.3,451542.1,1016
2024-11,45083.6,454021.2,449521.6,1007.1
2024-12,45264.8,438828.2,434086.8,969.5
2025-01,45353.7,433985.8,429501.3,956.9
2025-02,45521,439814,435399,966.2
2025-03,45599.2,443095.9,438671.6,971.7
2025-04,45922.7,444917.2,440457,968.8
2025-05,46260,434619.3,430152.4,939.5
2025-06,46459.3,437065.3,432657,940.7
2025-07,46563.4,444610.5,440206,954.8
2025-08,46785.4,447377.5,443008.7,956.2
2025-09,47214.6,453050.8,448661.1,959.6
2025-10,47620.5,445486.5,441139.5,935.5
2025-11,47875,445573.3,441173,930.7
2025-12,48145.2,439620.8,434964.6,913.1
2026-01,48410.5,440050.2,435616.2,909
2026-02,48617,438305.1,433966,901.5
2026-03,48632.9,437390.9,433066.7,899.4
2026-04,48669.9,438987.6,434736.6,902
2026-05,48837.3,438595,434418.7,898.1
2026-06,49028.7,446438.3,442293.4,910.6
