date,snbmoba:RF,snbmoba:N0
2019-01,812353,562276
2019-02,815362,570920
2019-03,802023,568415
2019-04,828347,562692
2019-05,832570,561668
2019-06,820844,546472
2019-07,833679,556805
2019-08,835096,553007
2019-09,845032,556618
2019-10,859252,565103
2019-11,855661,583765
2019-12,852565,582185
2020-01,844660,589336
2020-02,846704,584816
2020-03,848892,598423
2020-04,853657,648062
2020-05,881479,676933
2020-06,891508,684039
2020-07,926925,703663
2020-08,928088,717930
2020-09,934829,719313
2020-10,943658,719289
2020-11,951494,728505
2020-12,952939,721260
2021-01,972785,722539
2021-02,984179,729440
2021-03,1010309,718098
2021-04,1003213,720351
2021-05,994002,722412
2021-06,1000765,719539
2021-07,1018896,724532
2021-08,1018056,726414
2021-09,1034353,723908
2021-10,1025444,729760
2021-11,1027783,733482
2021-12,1026499,736944
2022-01,1041336,745985
2022-02,1048547,750673
2022-03,1046178,749981
2022-04,1021376,757190
2022-05,1044774,755419
2022-06,1031555,747697
2022-07,953407,726924
2022-08,929722,730281
2022-09,913569,700385
2022-10,888941,626127
2022-11,876355,605613
2022-12,867812,585605
2023-01,875796,587590
2023-02,867846,588129
2023-03,841958,592946
2023-04,827311,589736
2023-05,831298,582754
2023-06,819284,569283
2023-07,795395,555617
2023-08,790145,542261
2023-09,789125,538361
2023-10,757003,543288
2023-11,747625,540283
2023-12,733559,531229
2024-01,758945,541050
2024-02,770905,544820
2024-03,792008,532777
2024-04,829253,539950
2024-05,831293,529931
2024-06,812112,518258
2024-07,814520,522313
2024-08,799464,526020
2024-09,803049,529130
2024-10,830422,525728
2024-11,834166,524956
2024-12,844365,516945
2025-01,850942,508558
2025-02,857185,500989
2025-03,858808,511778
2025-04,838492,512428
2025-05,836359,509012
2025-06,834881,498169
2025-07,844820,510524
2025-08,848939,511417
2025-09,859840,513730
2025-10,882543,519552
2025-11,884153,508257
2025-12,887484,511648
2026-01,890288,508495
2026-02,876444,508866
2026-03,881111,502514
2026-04,884158,504533
2026-05,879768,506970
2026-06,878897,507312
2026-07,,511424
