DATE,AESAT,AESALRRCRT,AORRLFCRT,AORRLFPR,AORROMO,AORROMOTRI,AOROMO
01-Jun-2026,158875,128041,,,20845,12003,
02-Jun-2026,159539,127417,,,20847,12005,
03-Jun-2026,160349,128229,,,21984,12157,
04-Jun-2026,160077,128106,,,21987,12158,
05-Jun-2026,156641,124494,,,21997,12164,
09-Jun-2026,164266,132780,,,22000,12166,
10-Jun-2026,166469,134229,,,23668,12938,
11-Jun-2026,165461,133399,,,23671,12940,
12-Jun-2026,170350,138457,,,23674,12941,
15-Jun-2026,169500,137754,,,23683,12946,
16-Jun-2026,170985,138488,,,23687,12947,
17-Jun-2026,172889,140755,,,25098,13690,
18-Jun-2026,172795,141632,,,25101,13691,
19-Jun-2026,169312,138860,,,25104,13693,
22-Jun-2026,165680,139108,,,25114,13698,
23-Jun-2026,162385,129861,,,25118,13700,
24-Jun-2026,165154,132803,,,28046,14600,
25-Jun-2026,165824,133622,,,28049,14602,
26-Jun-2026,171854,139062,,,28052,14604,
29-Jun-2026,173286,140921,,,28063,14609,
30-Jun-2026,183300,150899,,,28066,14611,
01-Jul-2026,184590,152487,,,28465,15957,
02-Jul-2026,191620,158606,,,28469,15959,
03-Jul-2026,189947,157059,,,28472,15961,
06-Jul-2026,189702,157010,,,28484,15967,
07-Jul-2026,199341,166576,,,28486,15969,
08-Jul-2026,199451,166884,,,28085,15366,
09-Jul-2026,198789,166206,,,28088,15368,
10-Jul-2026,202690,169623,,,28092,15370,
13-Jul-2026,201566,168912,,,28102,15376,
14-Jul-2026,205154,172477,,,28106,15378,
15-Jul-2026,204967,172352,,,27364,15293,
16-Jul-2026,207971,175661,,,27368,15295,
17-Jul-2026,204832,173578,,,27370,15297,
20-Jul-2026,198586,168275,,,27380,15302,
21-Jul-2026,190236,164446,,,27384,15304,
22-Jul-2026,190667,158725,,,27887,15563,
23-Jul-2026,189771,157886,,,27891,15565,
24-Jul-2026,196280,163832,,,27894,15567,
27-Jul-2026,195500,164065,,,27905,15572,
28-Jul-2026,195137,163337,,,27908,15574,
29-Jul-2026,199071,166582,,,31408,16386,
30-Jul-2026,199715,167122,,,31411,16388,
31-Jul-2026,198827,166027,,,31415,16390,
03-Aug-2026,198700,166035,,,31427,16396,
04-Aug-2026,202449,169651,,,31431,16398,
05-Aug-2026,201479,168820,,,30564,16136,
06-Aug-2026,201480,168975,,,30568,16138,
07-Aug-2026,206895,174001,,,30571,16140,
10-Aug-2026,206725,174083,,,30582,16146,
11-Aug-2026,209647,176635,,,30586,16148,
12-Aug-2026,210226,177469,,,30090,16919,
13-Aug-2026,212827,180407,,,30092,16921,
14-Aug-2026,210741,178366,,,30096,16923,
17-Aug-2026,209809,177812,,,30107,16929,
18-Aug-2026,209549,177470,,,30111,16931,
19-Aug-2026,205733,174969,,,28737,16083,
20-Aug-2026,199113,170127,,,28741,16085,
21-Aug-2026,194842,169699,,,28744,16087,
24-Aug-2026,190365,161613,,,28754,16093,
25-Aug-2026,174200,145618,,,28758,16095,
26-Aug-2026,173657,142215,,,27992,16505,
27-Aug-2026,174907,142750,,,27997,16507,
28-Aug-2026,169481,136944,,,27999,16509,
31-Aug-2026,168193,135993,,,28009,16515,
01-Sep-2026,168181,135383,,,28012,16517,
02-Sep-2026,169961,137319,,,27663,15547,
03-Sep-2026,169767,137222,,,27666,15549,
04-Sep-2026,166211,133199,,,27669,15550,
07-Sep-2026,168149,135369,,,27679,15556,
