DATE,FIRMMCRTD,FIRMMCRID,FIRMMCRIH,FIRMMCRIL,FIRMMCRIV,FIRMMBAB30D,FIRMMBAB90D
01-Jun-2026,4.35,4.35,4.36,4.35,2684,4.30,4.46
02-Jun-2026,4.35,4.35,4.36,4.35,1616,4.31,4.47
03-Jun-2026,4.35,4.35,4.35,4.35,842,4.30,4.47
04-Jun-2026,4.35,4.35,4.35,4.35,568,4.31,4.47
05-Jun-2026,4.35,4.35,4.35,4.35,1222,4.30,4.49
09-Jun-2026,4.35,4.35,4.35,4.35,2378,4.26,4.43
10-Jun-2026,4.35,4.35,4.35,4.35,1315,4.30,4.45
11-Jun-2026,4.35,4.35,4.35,4.35,2196,4.29,4.45
12-Jun-2026,4.35,4.35,4.35,4.35,1562,4.28,4.45
15-Jun-2026,4.35,4.35,4.35,4.35,1962,4.32,4.49
16-Jun-2026,4.35,4.35,4.35,4.35,2165,4.28,4.45
17-Jun-2026,4.35,4.35,4.35,4.35,1439,4.30,4.47
18-Jun-2026,4.35,4.35,4.35,4.35,1123,4.30,4.46
19-Jun-2026,4.35,4.35,4.35,4.35,2153,4.31,4.47
22-Jun-2026,4.35,4.35,4.35,4.35,2480,4.30,4.47
23-Jun-2026,4.35,4.35,4.36,4.35,2020,4.29,4.46
24-Jun-2026,4.35,4.35,4.36,4.35,1293,4.30,4.48
25-Jun-2026,4.35,4.35,4.35,4.35,1875,4.29,4.45
26-Jun-2026,4.35,4.35,4.35,4.35,1872,4.29,4.44
29-Jun-2026,4.35,4.35,4.35,4.35,2380,4.29,4.46
30-Jun-2026,4.35,4.35,4.35,4.35,1955,4.31,4.46
01-Jul-2026,4.35,4.35,4.35,4.35,2216,4.32,4.48
02-Jul-2026,4.35,4.35,4.35,4.35,1952,4.31,4.46
03-Jul-2026,4.35,4.35,4.35,4.35,1414,4.30,4.45
06-Jul-2026,4.35,4.35,4.35,4.35,1458,4.30,4.46
07-Jul-2026,4.35,4.35,4.35,4.35,1703,4.32,4.47
08-Jul-2026,4.35,4.35,4.35,4.35,1430,4.30,4.46
09-Jul-2026,4.35,4.35,4.35,4.35,1220,4.29,4.45
10-Jul-2026,4.35,4.35,4.35,4.35,1522,4.30,4.45
13-Jul-2026,4.35,4.35,4.35,4.35,1816,4.31,4.46
14-Jul-2026,4.35,4.35,4.35,4.35,1233,4.31,4.47
15-Jul-2026,4.35,4.35,4.36,4.35,1320,4.32,4.47
16-Jul-2026,4.35,4.35,4.35,4.35,1952,4.33,4.47
17-Jul-2026,4.35,4.35,4.35,4.35,1616,4.31,4.47
20-Jul-2026,4.35,4.35,4.35,4.35,3095,4.32,4.47
21-Jul-2026,4.35,4.35,4.35,4.35,1848,4.30,4.47
22-Jul-2026,4.35,4.35,4.35,4.35,2155,4.32,4.49
23-Jul-2026,4.35,4.35,4.35,4.35,2320,4.36,4.54
24-Jul-2026,4.35,4.35,4.35,4.35,2379,4.36,4.55
27-Jul-2026,4.35,4.35,4.35,4.35,2369,4.35,4.54
28-Jul-2026,4.35,4.35,4.35,4.35,2604,4.32,4.52
29-Jul-2026,4.35,4.35,4.35,4.35,1700,4.29,4.49
30-Jul-2026,4.35,4.35,4.35,4.35,1926,4.33,4.51
31-Jul-2026,4.35,4.35,4.35,4.35,387,4.32,4.50
03-Aug-2026,4.35,4.35,4.35,4.35,940,,
04-Aug-2026,4.35,4.35,4.35,4.35,1499,4.33,4.52
05-Aug-2026,4.35,4.35,4.35,4.35,1149,4.31,4.49
06-Aug-2026,4.35,4.35,4.35,4.35,868,4.32,4.50
07-Aug-2026,4.35,4.35,4.35,4.35,1412,4.32,4.51
10-Aug-2026,4.35,4.35,4.35,4.35,1160,4.32,4.51
11-Aug-2026,4.35,4.35,4.35,4.35,719,4.32,4.52
12-Aug-2026,4.35,4.35,4.35,4.35,970,4.32,4.51
13-Aug-2026,4.35,4.35,4.35,4.35,1213,4.32,4.51
14-Aug-2026,4.35,4.35,4.35,4.35,1033,4.32,4.51
17-Aug-2026,4.35,4.35,4.35,4.35,1239,4.31,4.51
18-Aug-2026,4.35,4.35,4.35,4.35,1311,4.31,4.50
19-Aug-2026,4.35,4.35,4.35,4.35,1648,4.31,4.50
20-Aug-2026,4.35,4.35,4.36,4.35,2786,4.30,4.49
21-Aug-2026,4.35,4.35,4.35,4.35,2218,4.31,4.49
24-Aug-2026,4.35,4.35,4.35,4.35,871,4.31,4.49
25-Aug-2026,4.35,4.35,4.35,4.35,1050,4.32,4.50
26-Aug-2026,4.35,4.35,4.35,4.35,794,4.37,4.55
27-Aug-2026,4.35,4.35,4.35,4.35,1020,4.32,4.55
28-Aug-2026,4.35,4.35,4.35,4.35,1325,4.30,4.54
31-Aug-2026,4.35,4.35,4.35,4.35,2153,4.30,4.55
01-Sep-2026,4.35,4.35,4.35,4.35,1747,4.31,4.55
02-Sep-2026,4.35,4.35,4.35,4.35,1611,4.35,4.60
03-Sep-2026,4.35,4.35,4.36,4.35,1833,4.32,4.60
04-Sep-2026,4.35,4.35,4.35,4.35,2130,4.34,4.59
07-Sep-2026,4.35,4.35,4.35,4.35,1859,4.36,4.62
