DATE,ARBAMPCNCRT,ARBAMPNRPESB,ARBAMPNORR
07-Dec-2022,3.10,3.00,3.35
08-Feb-2023,3.35,3.25,3.60
08-Mar-2023,3.60,3.50,3.85
03-May-2023,3.85,3.75,4.10
07-Jun-2023,4.10,4.00,4.35
08-Nov-2023,4.35,4.25,4.60
19-Feb-2025,4.10,4.00,4.35
21-May-2025,3.85,3.75,4.10
13-Aug-2025,3.60,3.50,3.85
04-Feb-2026,3.85,3.75,4.10
18-Mar-2026,4.10,4.00,4.35
06-May-2026,4.35,4.25,4.60
