DATE,FCMYGBAG2D,FCMYGBAG3D,FCMYGBAG5D,FCMYGBAG10D
27-May-2026,4.539,4.498,4.536,4.863
28-May-2026,4.566,4.527,4.569,4.904
29-May-2026,4.520,4.477,4.514,4.838
01-Jun-2026,4.558,4.522,4.561,4.889
02-Jun-2026,4.571,4.532,4.568,4.889
03-Jun-2026,4.598,4.560,4.597,4.919
04-Jun-2026,4.598,4.561,4.600,4.925
05-Jun-2026,4.595,4.556,4.594,4.916
09-Jun-2026,4.579,4.545,4.589,4.927
10-Jun-2026,4.539,4.506,4.553,4.897
11-Jun-2026,4.531,4.494,4.547,4.903
12-Jun-2026,4.467,4.422,4.471,4.820
15-Jun-2026,4.476,4.428,4.474,4.815
16-Jun-2026,4.472,4.425,4.481,4.835
17-Jun-2026,4.437,4.382,4.425,4.776
18-Jun-2026,4.467,4.417,4.451,4.780
19-Jun-2026,4.501,4.457,4.491,4.820
22-Jun-2026,4.491,4.446,4.484,4.821
23-Jun-2026,4.442,4.395,4.434,4.782
24-Jun-2026,4.444,4.400,4.433,4.772
25-Jun-2026,4.413,4.364,4.397,4.739
26-Jun-2026,4.406,4.356,4.389,4.729
29-Jun-2026,4.430,4.384,4.420,4.759
30-Jun-2026,4.413,4.363,4.397,4.734
01-Jul-2026,4.458,4.415,4.452,4.798
02-Jul-2026,4.470,4.433,4.473,4.832
03-Jul-2026,4.444,4.406,4.444,4.808
06-Jul-2026,4.428,4.390,4.431,4.798
07-Jul-2026,4.442,4.412,4.458,4.833
08-Jul-2026,4.487,4.461,4.512,4.893
09-Jul-2026,4.483,4.464,4.516,4.887
10-Jul-2026,4.443,4.420,4.475,4.848
13-Jul-2026,4.468,4.450,4.504,4.873
14-Jul-2026,4.514,4.502,4.557,4.923
15-Jul-2026,4.501,4.487,4.546,4.913
16-Jul-2026,4.487,4.473,4.534,4.909
17-Jul-2026,4.500,4.487,4.546,4.914
20-Jul-2026,4.566,4.558,4.616,4.974
21-Jul-2026,4.539,4.530,4.588,4.955
22-Jul-2026,4.561,4.554,4.615,4.989
23-Jul-2026,4.607,4.603,4.656,5.004
24-Jul-2026,4.715,4.716,4.765,5.100
27-Jul-2026,4.625,4.614,4.666,5.012
28-Jul-2026,4.574,4.564,4.620,4.977
29-Jul-2026,4.506,4.491,4.554,4.933
30-Jul-2026,4.559,4.545,4.618,5.011
31-Jul-2026,4.509,4.491,4.559,4.943
03-Aug-2026,4.517,4.504,4.576,4.964
04-Aug-2026,4.542,4.526,4.598,4.988
05-Aug-2026,4.489,4.468,4.535,4.924
06-Aug-2026,4.505,4.483,4.550,4.939
07-Aug-2026,4.551,4.535,4.604,4.999
10-Aug-2026,4.556,4.540,4.605,4.984
11-Aug-2026,4.581,4.564,4.634,5.024
12-Aug-2026,4.568,4.549,4.620,5.013
13-Aug-2026,4.529,4.505,4.579,4.980
14-Aug-2026,4.543,4.520,4.593,4.995
17-Aug-2026,4.564,4.545,4.623,5.031
18-Aug-2026,4.608,4.590,4.670,5.087
19-Aug-2026,4.584,4.565,4.642,5.047
20-Aug-2026,4.544,4.526,4.600,4.997
21-Aug-2026,4.583,4.565,4.642,5.048
24-Aug-2026,4.548,4.531,4.607,5.008
25-Aug-2026,4.568,4.550,4.622,5.013
26-Aug-2026,4.619,4.598,4.656,5.023
27-Aug-2026,4.684,4.664,4.723,5.083
28-Aug-2026,4.673,4.653,4.716,5.088
31-Aug-2026,4.677,4.659,4.718,5.084
01-Sep-2026,4.734,4.718,4.784,5.169
02-Sep-2026,4.831,4.819,4.871,5.220
