DATE,DMAM3S,DMABMS,DMAMMB,DMAM1S
30/04/2023,2869.2,2882.4,548.5,1625.3
31/05/2023,2880.9,2897.0,532.8,1632.2
30/06/2023,2871.0,2887.2,507.1,1619.2
31/07/2023,2879.6,2895.5,521.8,1606.2
31/08/2023,2898.5,2915.7,510.8,1618.6
30/09/2023,2915.8,2930.1,479.2,1621.8
31/10/2023,2917.4,2930.0,462.9,1627.1
30/11/2023,2940.7,2956.5,461.2,1635.8
31/12/2023,2963.3,2976.6,454.1,1637.4
31/01/2024,2976.5,2990.7,465.2,1645.0
29/02/2024,2993.9,3007.5,460.1,1656.8
31/03/2024,3003.7,3018.3,439.7,1661.4
30/04/2024,3018.7,3032.1,438.2,1667.2
31/05/2024,3027.2,3042.1,428.5,1674.4
30/06/2024,3025.7,3040.2,362.4,1675.5
31/07/2024,3052.2,3065.8,341.7,1699.9
31/08/2024,3063.3,3075.7,343.8,1701.0
30/09/2024,3074.4,3086.9,331.0,1708.2
31/10/2024,3102.1,3112.7,342.9,1730.4
30/11/2024,3112.5,3123.1,346.6,1738.6
31/12/2024,3126.5,3136.3,352.5,1757.7
31/01/2025,3138.4,3149.0,365.0,1767.9
28/02/2025,3155.0,3164.4,357.7,1776.9
31/03/2025,3159.5,3170.2,330.7,1790.9
30/04/2025,3188.8,3197.0,330.2,1814.4
31/05/2025,3207.8,3217.0,328.4,1829.0
30/06/2025,3230.4,3239.7,315.1,1850.6
31/07/2025,3251.6,3262.0,324.7,1868.6
31/08/2025,3273.2,3283.3,311.6,1888.4
30/09/2025,3298.7,3308.9,308.8,1901.1
31/10/2025,3323.1,3331.5,322.9,1916.2
30/11/2025,3333.4,3343.9,325.4,1933.0
31/12/2025,3350.5,3361.8,315.0,1944.1
31/01/2026,3369.5,3382.2,321.9,1957.6
28/02/2026,3397.2,3409.0,303.6,1975.4
31/03/2026,3422.6,3433.3,286.6,1981.9
30/04/2026,3445.3,3460.4,293.2,1987.7
31/05/2026,3456.9,3469.9,292.6,1995.7
30/06/2026,3482.7,3497.5,278.1,2011.5
31/07/2026,3497.2,3511.4,308.0,2013.8
