DATE,DGFACHM,DGFACOPM,DGFAM3M,DGFABM12,DGFACNFM,DGFACBNFM
30/04/2023,0.3,0.2,0.3,6.4,0.5,1.0
31/05/2023,0.3,0.3,0.3,5.9,0.4,0.6
30/06/2023,0.3,0.0,-0.1,4.4,0.2,0.0
31/07/2023,0.3,0.3,0.1,4.2,0.4,0.5
31/08/2023,0.3,0.6,0.7,4.6,0.5,0.7
30/09/2023,0.3,0.4,0.6,5.1,0.5,0.9
31/10/2023,0.4,0.2,0.1,4.5,0.3,0.2
30/11/2023,0.4,0.2,0.8,4.7,0.4,0.5
31/12/2023,0.3,-0.2,0.7,4.9,0.4,0.5
31/01/2024,0.4,0.6,0.5,4.6,0.5,0.8
29/02/2024,0.4,0.4,0.6,5.2,0.5,0.6
31/03/2024,0.4,0.2,0.4,5.0,0.5,0.8
30/04/2024,0.4,0.3,0.3,5.0,0.5,0.6
31/05/2024,0.5,-0.2,0.4,5.0,0.4,0.4
30/06/2024,0.4,0.0,0.2,5.3,0.6,0.9
31/07/2024,0.5,0.5,0.7,5.9,0.4,0.4
31/08/2024,0.5,0.1,0.4,5.5,0.5,0.8
30/09/2024,0.5,0.3,0.4,5.4,0.6,0.8
31/10/2024,0.5,0.1,0.8,6.2,0.6,0.9
30/11/2024,0.5,-0.1,0.4,5.6,0.6,0.8
31/12/2024,0.5,0.5,0.4,5.3,0.6,0.7
31/01/2025,0.4,0.2,0.4,5.2,0.5,0.8
28/02/2025,0.5,0.2,0.5,5.2,0.6,0.8
31/03/2025,0.5,0.5,0.1,4.8,0.5,0.5
30/04/2025,0.5,0.4,1.0,5.6,0.7,1.0
31/05/2025,0.5,0.5,0.6,5.8,0.6,0.7
30/06/2025,0.6,0.6,0.8,6.5,0.5,0.4
31/07/2025,0.6,0.3,0.5,6.4,0.8,1.3
31/08/2025,0.6,0.5,0.7,6.8,0.6,0.7
30/09/2025,0.6,0.6,0.7,7.2,0.6,0.5
31/10/2025,0.7,0.1,0.7,7.1,0.7,0.8
30/11/2025,0.6,-0.5,0.4,7.1,0.7,0.9
31/12/2025,0.7,0.5,0.5,7.2,0.8,1.0
31/01/2026,0.6,0.3,0.6,7.4,0.5,0.5
28/02/2026,0.6,0.4,0.8,7.7,0.6,0.9
31/03/2026,0.7,0.6,0.7,8.4,0.8,0.9
30/04/2026,0.6,0.2,0.7,8.2,0.7,0.7
31/05/2026,0.5,0.6,0.4,7.9,0.8,1.2
30/06/2026,0.6,0.9,0.7,7.9,0.8,1.1
31/07/2026,0.5,0.3,0.4,7.7,0.6,0.9
