tr_id,TR_OPERATION_DATE,TR_SETTLEMENT_DATE,TR_TERM_DAYS,TR_MATURITY_DATE,TR_OFFERED_AMOUNT,TR_ALLOCATED_AMOUNT,TR_LOW_RATE,TR_AVERAGE_RATE,TR_HIGH_RATE,TR_TYPE
TR_HIST_1,2015-10-13,2015-10-15,28,2015-11-12,500,500,0.530,0.568,0.650,Regular
TR_HIST_2,2015-10-27,2015-10-29,28,2015-11-26,500,500,0.530,0.534,0.540,Regular
TR_HIST_3,2015-10-27,2015-10-29,85,2016-01-22,500,500,0.540,0.545,0.550,Regular
TR_HIST_4,2015-11-10,2015-11-12,28,2015-12-10,800,800,0.530,0.539,0.540,Regular
TR_HIST_5,2015-11-24,2015-11-26,27,2015-12-23,800,800,0.530,0.533,0.540,Regular
TR_HIST_6,2015-11-24,2015-11-26,84,2016-02-18,500,500,0.550,0.558,0.560,Regular
TR_HIST_7,2015-12-08,2015-12-10,28,2016-01-07,800,800,0.530,0.550,0.570,Regular
TR_HIST_8,2015-12-11,2015-12-15,22,2016-01-06,1200,1200,0.540,0.547,0.550,Regular
TR_HIST_9,2015-12-22,2015-12-23,30,2016-01-22,1100,1100,0.550,0.565,0.580,Regular
TR_HIST_10,2015-12-22,2015-12-23,85,2016-03-17,1000,1000,0.550,0.556,0.570,Regular
TR_HIST_11,2016-01-05,2016-01-07,28,2016-02-04,1100,1100,0.530,0.553,0.560,Regular
TR_HIST_12,2016-01-21,2016-01-22,27,2016-02-18,1400,1400,0.540,0.542,0.550,Regular
TR_HIST_13,2016-01-21,2016-01-22,84,2016-04-15,1000,1000,0.520,0.540,0.560,Regular
TR_HIST_14,2016-02-02,2016-02-04,28,2016-03-03,1400,1400,0.540,0.546,0.550,Regular
TR_HIST_15,2016-02-16,2016-02-18,28,2016-03-17,1700,1700,0.500,0.533,0.550,Regular
TR_HIST_16,2016-02-16,2016-02-18,84,2016-05-12,1000,1000,0.530,0.530,0.530,Regular
TR_HIST_17,2016-03-01,2016-03-03,28,2016-03-31,1700,1700,0.520,0.525,0.530,Regular
TR_HIST_18,2016-03-15,2016-03-17,29,2016-04-15,2000,2000,0.520,0.529,0.540,Regular
TR_HIST_19,2016-03-15,2016-03-17,84,2016-06-09,1000,1000,0.510,0.524,0.530,Regular
TR_HIST_20,2016-03-29,2016-03-31,28,2016-04-28,2000,2000,0.530,0.530,0.530,Regular
TR_HIST_21,2016-04-14,2016-04-15,27,2016-05-12,2000,2000,0.540,0.540,0.540,Regular
TR_HIST_22,2016-04-14,2016-04-15,83,2016-07-07,1000,1000,0.520,0.537,0.540,Regular
TR_HIST_23,2016-04-26,2016-04-28,29,2016-05-27,2000,2000,0.540,0.547,0.550,Regular
TR_HIST_24,2016-05-10,2016-05-12,28,2016-06-09,2000,2000,0.520,0.536,0.550,Regular
TR_HIST_25,2016-05-10,2016-05-12,84,2016-08-04,1000,1000,0.530,0.539,0.540,Regular
TR_HIST_26,2016-05-26,2016-05-27,27,2016-06-23,2000,2000,0.530,0.533,0.540,Regular
TR_HIST_27,2016-06-07,2016-06-09,28,2016-07-07,2000,2000,0.530,0.537,0.540,Regular
TR_HIST_28,2016-06-07,2016-06-09,84,2016-09-01,1000,1000,0.540,0.540,0.540,Regular
TR_HIST_29,2016-06-21,2016-06-23,28,2016-07-21,2000,2000,0.540,0.540,0.540,Regular
TR_HIST_30,2016-07-05,2016-07-07,28,2016-08-04,2000,2000,0.520,0.539,0.540,Regular
TR_HIST_31,2016-07-05,2016-07-07,84,2016-09-29,1000,1000,0.540,0.543,0.550,Regular
TR_HIST_32,2016-07-19,2016-07-21,28,2016-08-18,2000,2000,0.540,0.546,0.550,Regular
TR_HIST_33,2016-08-02,2016-08-04,28,2016-09-01,2000,2000,0.540,0.549,0.560,Regular
TR_HIST_34,2016-08-02,2016-08-04,84,2016-10-27,1000,1000,0.550,0.550,0.550,Regular
TR_HIST_35,2016-08-16,2016-08-18,28,2016-09-15,2000,2000,0.540,0.544,0.550,Regular
TR_HIST_36,2016-08-30,2016-09-01,28,2016-09-29,2000,2000,0.520,0.534,0.550,Regular
TR_HIST_37,2016-08-30,2016-09-01,84,2016-11-24,1000,1000,0.530,0.544,0.550,Regular
TR_HIST_38,2016-09-13,2016-09-15,28,2016-10-13,2000,2000,0.540,0.546,0.550,Regular
TR_HIST_39,2016-09-27,2016-09-29,28,2016-10-27,2000,2000,0.540,0.542,0.550,Regular
TR_HIST_40,2016-09-27,2016-09-29,84,2016-12-22,1000,1000,0.530,0.536,0.540,Regular
TR_HIST_41,2016-10-11,2016-10-13,28,2016-11-10,2000,2000,0.550,0.550,0.550,Regular
TR_HIST_42,2016-10-25,2016-10-27,28,2016-11-24,2000,2000,0.510,0.528,0.550,Regular
TR_HIST_43,2016-10-25,2016-10-27,85,2017-01-20,1000,1000,0.540,0.543,0.550,Regular
TR_HIST_44,2016-11-08,2016-11-10,29,2016-12-09,2000,2000,0.540,0.545,0.550,Regular
TR_HIST_45,2016-11-22,2016-11-24,28,2016-12-22,2000,2000,0.500,0.526,0.550,Regular
TR_HIST_46,2016-11-22,2016-11-24,84,2017-02-16,1000,1000,0.540,0.543,0.550,Regular
TR_HIST_47,2016-12-08,2016-12-09,27,2017-01-05,2000,2000,0.530,0.546,0.550,Regular
TR_HIST_48,2016-12-15,2016-12-19,18,2017-01-06,1300,1300,0.530,0.548,0.600,Regular
TR_HIST_49,2016-12-20,2016-12-22,29,2017-01-20,2000,2000,0.520,0.532,0.550,Regular
TR_HIST_50,2016-12-20,2016-12-22,84,2017-03-16,1000,1000,0.530,0.545,0.550,Regular
TR_HIST_51,2017-01-04,2017-01-05,28,2017-02-02,2000,2000,0.530,0.545,0.550,Regular
TR_HIST_52,2017-01-19,2017-01-20,27,2017-02-16,2000,2000,0.520,0.532,0.540,Regular
TR_HIST_53,2017-01-19,2017-01-20,87,2017-04-17,1000,1000,0.530,0.542,0.550,Regular
TR_HIST_54,2017-01-31,2017-02-02,29,2017-03-03,2000,2000,0.520,0.539,0.550,Regular
TR_HIST_55,2017-02-14,2017-02-16,28,2017-03-16,2000,2000,0.500,0.527,0.540,Regular
TR_HIST_56,2017-02-14,2017-02-16,84,2017-05-11,1000,1000,0.530,0.541,0.550,Regular
TR_HIST_57,2017-03-02,2017-03-03,27,2017-03-30,2000,2000,0.520,0.534,0.540,Regular
TR_HIST_58,2017-03-14,2017-03-16,32,2017-04-17,2000,2000,0.510,0.519,0.540,Regular
TR_HIST_59,2017-03-14,2017-03-16,84,2017-06-08,1000,1000,0.530,0.532,0.550,Regular
TR_HIST_60,2017-03-28,2017-03-30,28,2017-04-27,2000,2000,0.520,0.536,0.540,Regular
TR_HIST_61,2017-04-13,2017-04-17,24,2017-05-11,2000,2000,0.530,0.535,0.540,Regular
TR_HIST_62,2017-04-13,2017-04-17,80,2017-07-06,1000,1000,0.520,0.539,0.550,Regular
TR_HIST_63,2017-04-25,2017-04-27,29,2017-05-26,2000,2000,0.530,0.536,0.540,Regular
TR_HIST_64,2017-05-09,2017-05-11,28,2017-06-08,2000,2000,0.520,0.530,0.540,Regular
TR_HIST_65,2017-05-09,2017-05-11,84,2017-08-03,1000,1000,0.540,0.543,0.550,Regular
TR_HIST_66,2017-05-25,2017-05-26,27,2017-06-22,2000,2000,0.530,0.536,0.540,Regular
TR_HIST_67,2017-06-06,2017-06-08,28,2017-07-06,2000,2000,0.520,0.529,0.540,Regular
TR_HIST_68,2017-06-06,2017-06-08,84,2017-08-31,1000,1000,0.530,0.539,0.550,Regular
TR_HIST_69,2017-06-20,2017-06-22,28,2017-07-20,2000,2000,0.550,0.555,0.560,Regular
TR_HIST_70,2017-07-04,2017-07-06,28,2017-08-03,2000,2000,0.680,0.686,0.710,Regular
TR_HIST_71,2017-07-04,2017-07-06,84,2017-09-28,1000,1000,0.720,0.731,0.740,Regular
TR_HIST_72,2017-07-18,2017-07-20,28,2017-08-17,2500,2500,0.770,0.781,0.790,Regular
TR_HIST_73,2017-08-01,2017-08-03,28,2017-08-31,2000,2000,0.760,0.776,0.790,Regular
TR_HIST_74,2017-08-01,2017-08-03,85,2017-10-27,1000,1000,0.820,0.828,0.850,Regular
TR_HIST_75,2017-08-15,2017-08-17,28,2017-09-14,2000,2000,0.780,0.789,0.800,Regular
TR_HIST_76,2017-08-29,2017-08-31,28,2017-09-28,2000,2000,0.790,0.796,0.820,Regular
TR_HIST_77,2017-08-29,2017-08-31,84,2017-11-23,1000,1000,0.860,0.870,0.890,Regular
TR_HIST_78,2017-09-12,2017-09-14,28,2017-10-12,2000,2000,1.020,1.035,1.040,Regular
TR_HIST_79,2017-09-26,2017-09-28,29,2017-10-27,2000,2000,1.020,1.030,1.040,Regular
TR_HIST_80,2017-09-26,2017-09-28,84,2017-12-21,1000,1000,1.100,1.100,1.100,Regular
TR_HIST_81,2017-10-10,2017-10-12,28,2017-11-09,2000,2000,1.040,1.041,1.050,Regular
TR_HIST_82,2017-10-26,2017-10-27,27,2017-11-23,2300,2300,1.020,1.028,1.040,Regular
TR_HIST_83,2017-10-26,2017-10-27,84,2018-01-19,1100,1100,1.050,1.056,1.060,Regular
TR_HIST_84,2017-11-07,2017-11-09,29,2017-12-08,2300,2300,1.010,1.024,1.040,Regular
TR_HIST_85,2017-11-21,2017-11-23,28,2017-12-21,2300,2300,1.020,1.027,1.040,Regular
TR_HIST_86,2017-11-21,2017-11-23,84,2018-02-15,1100,1100,1.060,1.060,1.070,Regular
TR_HIST_87,2017-12-07,2017-12-08,27,2018-01-04,2300,2300,1.020,1.031,1.040,Regular
TR_HIST_88,2017-12-15,2017-12-19,17,2018-01-05,1600,1600,1.010,1.024,1.040,Regular
TR_HIST_89,2017-12-19,2017-12-21,29,2018-01-19,2300,2300,1.020,1.028,1.040,Regular
TR_HIST_90,2017-12-19,2017-12-21,84,2018-03-15,1100,1100,1.080,1.093,1.100,Regular
TR_HIST_91,2018-01-03,2018-01-04,28,2018-02-01,2300,2300,1.080,1.081,1.090,Regular
TR_HIST_92,2018-01-18,2018-01-19,27,2018-02-15,3200,3200,1.260,1.272,1.290,Regular
TR_HIST_93,2018-01-18,2018-01-19,83,2018-04-12,1100,1100,1.300,1.324,1.350,Regular
TR_HIST_94,2018-01-30,2018-02-01,28,2018-03-01,2300,2300,1.270,1.273,1.280,Regular
TR_HIST_95,2018-02-13,2018-02-15,28,2018-03-15,2700,2700,1.260,1.272,1.280,Regular
TR_HIST_96,2018-02-13,2018-02-15,84,2018-05-10,1100,1100,1.300,1.307,1.310,Regular
TR_HIST_97,2018-02-27,2018-03-01,28,2018-03-29,2800,2800,1.250,1.265,1.280,Regular
TR_HIST_98,2018-03-13,2018-03-15,28,2018-04-12,2300,2300,1.260,1.278,1.290,Regular
TR_HIST_99,2018-03-13,2018-03-15,84,2018-06-07,1100,1100,1.320,1.340,1.350,Regular
TR_HIST_100,2018-03-27,2018-03-29,28,2018-04-26,2300,2300,1.270,1.279,1.290,Regular
TR_HIST_101,2018-04-10,2018-04-12,28,2018-05-10,2700,2700,1.280,1.285,1.290,Regular
TR_HIST_102,2018-04-10,2018-04-12,84,2018-07-05,1100,1100,1.330,1.335,1.340,Regular
TR_HIST_103,2018-04-24,2018-04-26,28,2018-05-24,2300,2300,1.270,1.287,1.300,Regular
TR_HIST_104,2018-05-08,2018-05-10,28,2018-06-07,2300,2300,1.280,1.296,1.320,Regular
TR_HIST_105,2018-05-08,2018-05-10,84,2018-08-02,1100,1100,1.360,1.389,1.410,Regular
TR_HIST_106,2018-05-22,2018-05-24,28,2018-06-21,2700,2700,1.280,1.286,1.300,Regular
TR_HIST_107,2018-06-05,2018-06-07,28,2018-07-05,2300,2300,1.260,1.274,1.290,Regular
TR_HIST_108,2018-06-05,2018-06-07,84,2018-08-30,1100,1100,1.380,1.388,1.390,Regular
TR_HIST_109,2018-06-19,2018-06-21,28,2018-07-19,2300,2300,1.310,1.322,1.330,Regular
TR_HIST_110,2018-07-03,2018-07-05,28,2018-08-02,2300,2300,1.430,1.434,1.440,Regular
TR_HIST_111,2018-07-03,2018-07-05,84,2018-09-27,1100,1100,1.480,1.480,1.490,Regular
TR_HIST_112,2018-07-17,2018-07-19,28,2018-08-16,3300,3300,1.520,1.525,1.540,Regular
TR_HIST_113,2018-07-31,2018-08-02,28,2018-08-30,2300,2300,1.520,1.527,1.530,Regular
TR_HIST_114,2018-07-31,2018-08-02,85,2018-10-26,1100,1100,1.560,1.568,1.570,Regular
