bond_id,AUC_BOND_S_AUCTION_DATE,AUC_BOND_S_ISIN,AUC_BOND_S_MATURITY_DATE,AUC_BOND_S_COUPON_RATE,AUC_BOND_S_BID_DEADLINE,AUC_BOND_S_SETTLEMENT_DATE,AUC_BOND_S_CUTOFF_SPREAD,AUC_BOND_S_CONVERSION_RATIO,AUC_BOND_S_AMOUNT_REPURCHASED
HIST_BOND_S_1,2002-02-27,CA135087XG49,2033-06-01,5.750,12:30,,,,
HIST_BOND_S_122,2002-02-27,CA135087TH77,2014-03-15,10.250,12:30,2002-03-04,0.0,0.7467,
HIST_BOND_S_121,2002-02-27,CA135087TU88,2015-06-01,11.250,12:30,2002-03-04,0.0,0.7467,
HIST_BOND_S_120,2002-02-27,CA135087TZ75,2021-03-15,10.500,12:30,2002-03-04,0.0,0.7467,
HIST_BOND_S_119,2002-02-27,CA135087UE28,2021-06-01,9.750,12:30,2002-03-04,0.0,0.7467,
HIST_BOND_S_118,2002-02-27,CA135087UM44,2022-06-01,9.250,12:30,2002-03-04,11.2,0.7467,386.922
HIST_BOND_S_2,2002-05-01,CA135087XG49,2033-06-01,5.750,12:30,,,,
HIST_BOND_S_127,2002-05-01,CA135087TZ75,2021-03-15,10.500,12:30,2002-05-06,7.8,1.0793,60.000
HIST_BOND_S_126,2002-05-01,CA135087UE28,2021-06-01,9.750,12:30,2002-05-06,5.3,1.0793,171.645
HIST_BOND_S_125,2002-05-01,CA135087UM44,2022-06-01,9.250,12:30,2002-05-06,8.1,1.0793,101.818
HIST_BOND_S_124,2002-05-01,CA135087UT96,2023-06-01,8.000,12:30,2002-05-06,10.0,1.0793,92.000
HIST_BOND_S_123,2002-05-01,CA135087VH40,2025-06-01,9.000,12:30,2002-05-06,12.3,1.0793,52.000
HIST_BOND_S_3,2002-06-19,CA135087XH22,2012-06-01,5.250,12:30,,,,
HIST_BOND_S_137,2002-06-19,CA135087QL17,2008-10-01,11.750,12:30,2002-06-25,-30.0,0.8494,6.000
HIST_BOND_S_136,2002-06-19,CA135087QQ04,2009-03-01,11.500,12:30,2002-06-25,0.0,0.8494,
HIST_BOND_S_134,2002-06-19,CA135087WR13,2009-06-01,5.500,12:30,2002-06-25,0.0,0.8494,
HIST_BOND_S_135,2002-06-19,CA135087RD81,2009-06-01,11.000,12:30,2002-06-25,0.0,0.8494,
HIST_BOND_S_133,2002-06-19,CA135087QV98,2009-10-01,10.750,12:30,2002-06-25,-21.0,0.8494,26.500
HIST_BOND_S_132,2002-06-19,CA135087RQ94,2010-03-01,9.750,12:30,2002-06-25,-14.0,0.8494,29.361
HIST_BOND_S_131,2002-06-19,CA135087RW62,2010-10-01,8.750,12:30,2002-06-25,-6.5,0.8494,7.612
HIST_BOND_S_130,2002-06-19,CA135087RY29,2011-03-01,9.000,12:30,2002-06-25,-2.8,0.8494,57.736
HIST_BOND_S_129,2002-06-19,CA135087TH77,2014-03-15,10.250,12:30,2002-06-25,0.0,0.8494,
HIST_BOND_S_128,2002-06-19,CA135087TU88,2015-06-01,11.250,12:30,2002-06-25,5.0,0.8494,229.585
HIST_BOND_S_4,2002-07-17,CA135087XJ87,2007-09-01,4.500,12:30,,,,
HIST_BOND_S_150,2002-07-17,CA135087NZ30,2005-03-01,12.000,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_149,2002-07-17,CA135087VL51,2005-12-01,8.750,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_148,2002-07-17,CA135087PG31,2006-03-01,12.500,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_147,2002-07-17,CA135087PQ13,2006-10-01,14.000,12:30,2002-07-22,-26.5,0.0000,9.350
HIST_BOND_S_146,2002-07-17,CA135087VU50,2006-12-01,7.000,12:30,2002-07-22,-17.1,0.0000,637.273
HIST_BOND_S_145,2002-07-17,CA135087PT51,2007-03-01,13.750,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_144,2002-07-17,CA135087WB60,2007-06-01,7.250,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_143,2002-07-17,CA135087PW80,2007-10-01,13.000,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_142,2002-07-17,CA135087QB35,2008-03-01,12.750,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_140,2002-07-17,CA135087WH31,2008-06-01,6.000,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_141,2002-07-17,CA135087RK25,2008-06-01,10.000,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_139,2002-07-17,CA135087QL17,2008-10-01,11.750,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_138,2002-07-17,CA135087QQ04,2009-03-01,11.500,12:30,2002-07-22,0.0,0.0000,
HIST_BOND_S_5,2002-09-25,CA135087XH22,2012-06-01,5.250,10:30,,,,
HIST_BOND_S_162,2002-09-25,CA135087QQ04,2009-03-01,11.500,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_160,2002-09-25,CA135087WR13,2009-06-01,5.500,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_161,2002-09-25,CA135087RD81,2009-06-01,11.000,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_159,2002-09-25,CA135087QV98,2009-10-01,10.750,10:30,2002-09-30,-33.0,0.0000,3.799
HIST_BOND_S_158,2002-09-25,CA135087RQ94,2010-03-01,9.750,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_157,2002-09-25,CA135087RW62,2010-10-01,8.750,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_156,2002-09-25,CA135087RY29,2011-03-01,9.000,10:30,2002-09-30,-5.0,0.0000,10.000
HIST_BOND_S_155,2002-09-25,CA135087TH77,2014-03-15,10.250,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_154,2002-09-25,CA135087TU88,2015-06-01,11.250,10:30,2002-09-30,9.5,0.0000,358.433
HIST_BOND_S_153,2002-09-25,CA135087TZ75,2021-03-15,10.500,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_152,2002-09-25,CA135087UE28,2021-06-01,9.750,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_151,2002-09-25,CA135087UM44,2022-06-01,9.250,10:30,2002-09-30,0.0,0.0000,
HIST_BOND_S_6,2002-10-09,CA135087XH22,2012-06-01,5.250,10:30,,,,
