Ministero dell'Economia e delle Finanze;;;;;;;;;;;;
Direzione Debito Pubblico;;;;;;;;;;;;
Scadenze suddivise per anno;;;;;;;;;;;;
(Aggiornato al 31/12/2023);;;;;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;;;;;;
IT0005480345;BOT 12m;14/01/2022;13/01/2023;-;EUR;7.150.000.000,00;;;;;;
IT0005500035;BOT 6m;29/07/2022;31/01/2023;-;EUR;6.600.000.000,00;;;;;;
IT0005482929;BOT 12m;14/02/2022;14/02/2023;-;EUR;7.150.000.000,00;;;;;;
IT0005505083;BOT 6m;31/08/2022;28/02/2023;-;EUR;6.000.000.000,00;;;;;;
IT0005486748;BOT 12m;14/03/2022;14/03/2023;-;EUR;6.000.000.000,00;;;;;;
IT0005508244;BOT 6m;30/09/2022;31/03/2023;-;EUR;5.500.000.000,00;;;;;;
IT0005492415;BOT 12m;14/04/2022;14/04/2023;-;EUR;7.150.000.000,00;;;;;;
IT0005512857;BOT 6m;31/10/2022;28/04/2023;-;EUR;6.037.950.000,00;;;;;;
IT0005494502;BOT 12m;13/05/2022;12/05/2023;-;EUR;6.796.153.000,00;;;;;;
IT0005518524;BOT 6m;30/11/2022;31/05/2023;-;EUR;5.423.000.000,00;;;;;;
IT0005497323;BOT 12m;14/06/2022;14/06/2023;-;EUR;6.500.000.000,00;;;;;;
IT0005500027;BOT 12m;14/07/2022;14/07/2023;-;EUR;9.006.000.000,00;;;;;;
IT0005531295;BOT 6m;31/01/2023;31/07/2023;-;EUR;8.290.000.000,00;;;;;;
IT0005505075;BOT 12m;12/08/2022;14/08/2023;-;EUR;9.756.452.000,00;;;;;;
IT0005508236;BOT 12m;14/09/2022;14/09/2023;-;EUR;7.700.000.000,00;;;;;;
IT0005541278;BOT 6m;31/03/2023;29/09/2023;-;EUR;8.570.275.000,00;;;;;;
IT0005512030;BOT 12m;14/10/2022;13/10/2023;-;EUR;6.000.000.000,00;;;;;;
IT0005518516;BOT 12m;14/11/2022;14/11/2023;-;EUR;6.050.000.000,00;;;;;;
IT0005547887;BOT 6m;31/05/2023;30/11/2023;-;EUR;9.180.532.000,00;;;;;;
IT0005523854;BOT 12m;14/12/2022;14/12/2023;-;EUR;10.423.750.000,00;;;;;;
IT0005384497;BTP 3;16/09/2019;15/01/2023;0,050;EUR;15.217.000.000,00;;;;;;
IT0005325946;BTP 5;01/03/2018;01/03/2023;0,950;EUR;15.523.500.000,00;;;;;;
IT0005172322;BTP 7;15/03/2016;15/03/2023;0,950;EUR;14.960.555.000,00;;;;;;
IT0004898034;BTP 10;01/03/2013;01/05/2023;4,500;EUR;17.136.139.000,00;;;;;;
IT0005405318;BTP 3;16/03/2020;15/06/2023;0,600;EUR;12.278.046.000,00;;;;;;
IT0004356843;BTP 15;01/02/2008;01/08/2023;4,750;EUR;20.500.164.000,00;;;;;;
IT0005413684;BTP 3;15/06/2020;15/08/2023;0,300;EUR;16.031.291.000,00;;;;;;
IT0005344335;BTP 5;01/08/2018;01/10/2023;2,450;EUR;15.038.845.000,00;;;;;;
IT0005215246;BTP 7;15/09/2016;15/10/2023;0,650;EUR;15.550.567.000,00;;;;;;
IT0000366655;BTP 30;01/11/1993;01/11/2023;9,000;EUR;11.976.155.008,68;;;;;;
IT0005482309;BTP Short 2;28/01/2022;29/11/2023;0,000;EUR;13.108.117.000,00;;;;;;
IT0000366721;BTP 30;22/12/1993;22/12/2023;8,500;EUR;3.098.736.000,00;;;;;;
IT0005105835;BTP Italia 8;20/04/2015;20/04/2023; 0,500  Cedola reale;EUR;9.778.383.707,40;;;;;;
IT0005253668;BTP Italia 6;22/05/2017;22/05/2023; 0,450  Cedola reale;EUR;8.824.304.025,24;;;;;;
IT0005312134;BTP Italia 6;20/11/2017;20/11/2023; 0,250  Cedola reale;EUR;5.565.782.465,66;;;;;;
IT0005329344;BTP€i 5;28/03/2018;15/05/2023; 0,100  Cedola reale;EUR;11.992.349.391,78;;;;;;
IT0004243512;BTP€i 15;15/03/2007;15/09/2023; 2,600  Cedola reale;EUR;24.748.081.039,11;;;;;;
IT0005185456;CCTeu;15/01/2016;15/07/2023;0,700;EUR;11.764.111.000,00;;;;;;
IT0005399230;CCTeu;15/12/2019;15/12/2023;0,550;EUR;7.664.912.000,00;;;;;;
XS1971572596;EMTN;29/03/2019;29/03/2023;0,885;JPY;200.100.000,00;;;;;;
XF0000B49730;EUROBOND;06/09/2010;01/11/2023;4,100;EUR;125.000.000,00;;;;;;
US465410AH18;GLOBAL;27/09/1993;27/09/2023;6,010;USD;3.233.690.821,77;;;;;;
IT0005529752;BOT 12m;13/01/2023;12/01/2024;-;EUR;9.266.622.000,00;;;;;;
IT0005557365;BOT 6m;31/07/2023;31/01/2024;-;EUR;9.286.656.000,00;;;;;;
IT0005532988;BOT 12m;14/02/2023;14/02/2024;-;EUR;9.500.000.000,00;;;;;;
IT0005537094;BOT 12m;14/03/2023;14/03/2024;-;EUR;7.150.000.000,00;;;;;;
IT0005566184;BOT 6m;29/09/2023;28/03/2024;-;EUR;9.800.000.000,00;;;;;;
IT0005542516;BOT 12m;14/04/2023;12/04/2024;-;EUR;9.020.381.000,00;;;;;;
IT0005545469;BOT 12m;12/05/2023;14/05/2024;-;EUR;7.700.000.000,00;;;;;;
IT0005571960;BOT 6m;30/11/2023;31/05/2024;-;EUR;8.250.000.000,00;;;;;;
IT0005549388;BOT 12m;14/06/2023;14/06/2024;-;EUR;7.150.000.000,00;;;;;;
IT0005555963;BOT 12m;14/07/2023;12/07/2024;-;EUR;8.800.000.000,00;;;;;;
IT0005559817;BOT 12m;14/08/2023;14/08/2024;-;EUR;8.459.232.000,00;;;;;;
IT0005561458;BOT 12m;14/09/2023;13/09/2024;-;EUR;7.000.000.000,00;;;;;;
IT0005567778;BOT 12m;13/10/2023;14/10/2024;-;EUR;6.573.280.000,00;;;;;;
