Ministero dell'Economia e delle Finanze;;;;;;;;;
Direzione Debito Pubblico;;;;;;;;;
Scadenze suddivise per anno;;;;;;;;;
(Aggiornamento al 31 maggio 2025);;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro (rivalutato);Circolante Euro (nominale);;
IT0005332827;BTP Italia 8;21/05/2018;21/05/2026; 0,550  Cedola reale;EUR;7.174.970.388,00;7.112.169.927,54;;
IT0005415416;BTP�i 5;29/06/2020;15/05/2026; 0,650  Cedola reale;EUR;11.512.551.162,98;9.549.625.617,34;;
IT0004735152;BTP�i 15;15/03/2011;15/09/2026; 3,100  Cedola reale;EUR;16.951.003.220,58;12.646.699.161,10;;
IT0005428617;CCTeu;15/10/2020;15/04/2026;0,500;EUR;17.469.930.000,00;17.469.930.000,00;;
US465410CA47;GLOBAL;24/11/2020;17/02/2026;1,250;USD;2.530.085.618,00;2.530.085.618,00;;
XS0253994809;EMTN;11/05/2006;11/05/2026;Variabile;EUR;215.000.000,00;215.000.000,00;;
ITSSD1603026;EUROBOND;16/03/2009;16/03/2026;5,260;EUR;258.000.000,00;258.000.000,00;;
SURE;7^ tranche;30/03/2021;04/03/2026;0,000;EUR;670.000.000,00;670.000.000,00;;
IT0005390874;BTP 7;15/11/2019;15/01/2027;0,850;EUR;18.841.928.000,00;18.841.928.000,00;;
IT0005580045;BTP 3;15/01/2024;15/02/2027;2,950;EUR;17.300.000.000,00;17.300.000.000,00;;
IT0005633794;BTP Short;30/01/2025;25/02/2027;2,550;EUR;17.150.000.000,00;17.150.000.000,00;;
IT0005484552;BTP 5;01/03/2022;01/04/2027;1,100;EUR;17.100.000.000,00;17.100.000.000,00;;
IT0005240830;BTP 10;01/02/2017;01/06/2027;2,200;EUR;18.869.551.000,00;18.869.551.000,00;;
IT0005599904;BTP 3;17/06/2024;15/07/2027;3,200;EUR;14.121.391.000,00;14.121.391.000,00;;
IT0005274805;BTP 10;04/07/2017;01/08/2027;2,050;EUR;19.196.628.000,00;19.196.628.000,00;;
IT0005416570;BTP 7;16/07/2020;15/09/2027;0,950;EUR;21.532.697.000,00;21.532.697.000,00;;
IT0005622128;BTP 3;15/11/2024;15/10/2027;2,700;EUR;15.400.000.000,00;15.400.000.000,00;;
IT0001174611;BTP 30;01/11/1997;01/11/2027;6,500;EUR;26.763.132.147,48;26.763.132.147,48;;
IT0005500068;BTP 5;04/07/2022;01/12/2027;2,650;EUR;19.600.000.000,00;19.600.000.000,00;;
IT0005388167;BTP Italia 8;28/10/2019;28/10/2027; 0,650  Cedola reale;EUR;6.724.169.920,00;6.723.430.342,66;;
IT0005547390;BTP Valore;13/06/2023;13/06/2027;"3,250 ""step up""";EUR;18.191.090.000,00;18.191.090.000,00;;
XS1505666815;EMTN;17/10/2016;17/04/2027;1,448;EUR;900.000.000,00;900.000.000,00;;
XS1236858657;EMTN;22/05/2015;22/05/2027;2,127;EUR;700.000.000,00;700.000.000,00;;
XS0644776683;EMTN;01/07/2011;31/12/2027;5,970;EUR;376.727.790,00;376.727.790,00;;
IT0005323032;BTP 10;01/02/2018;01/02/2028;2,000;EUR;23.077.136.000,00;23.077.136.000,00;;
IT0005433690;BTP 7;18/01/2021;15/03/2028;0,250;EUR;19.300.378.000,00;19.300.378.000,00;;
IT0005521981;BTP 5;30/11/2022;01/04/2028;3,400;EUR;18.300.000.000,00;18.300.000.000,00;;
IT0005641029;BTP 3;17/03/2025;15/06/2028;2,650; EUR;13.440.686.000,00;13.440.686.000,00;;
IT0005445306;BTP 7a;17/05/2021;15/07/2028;0,500;EUR;15.494.896.000,00;15.494.896.000,00;;
IT0005548315;BTP 5;01/06/2023;01/08/2028;3,800;EUR;17.606.000.000,00;17.606.000.000,00;;
IT0004889033;BTP 15;22/01/2023;01/09/2028;4,750;EUR;25.576.154.000,00;25.576.154.000,00;;
IT0005340929;BTP 10;01/08/2018;01/12/2028;2,800;EUR;21.368.192.000,00;21.368.192.000,00;;
IT0005532715;BTP Italia 5;14/03/2023;14/03/2028;2,000 Cedola reale;EUR;9.990.643.453,28;9.941.136.593,05;;
IT0005517187;BTP Italia 6;22/11/2022;22/11/2028;1,600 Cedola reale ;EUR;12.003.153.052,24;11.897.739.083,96;;
IT0005246134;BTP�i 10;15/11/2016;15/05/2028; 1,300  Cedola reale;EUR;20.156.527.116,90;15.969.360.732,77;;
IT0005425753;BTP Futura 8;17/11/2020;17/11/2028;"0,350  ""step-up""";EUR;5.711.308.000,00;5.711.308.000,00;;
IT0005565392;BTP Valore;10/10/2023;10/10/2028;"4,100  ""step-up""";EUR;17.190.004.000,00;17.190.004.000,00;;
IT0005534984;CCTeu;15/10/2022;15/10/2028;0,800;EUR;13.130.155.000,00;13.130.155.000,00;;
XS1180157544;EMTN;02/02/2015;02/02/2028;1,862;EUR;1.000.000.000,00;1.000.000.000,00;;
XS1227831382;EMTN;06/05/2015;06/05/2028;1,666;EUR;500.000.000,00;500.000.000,00;;
XS0089572316;EMTN;04/08/1998;04/08/2028;6,000;GBP;2.234.043.931,50;2.234.043.931,50;;
XS1121804279;EMTN;15/10/2014;15/09/2028; 1,510  Cedola reale;EUR;1.276.060.000,00;1.006.110.493,49;;
SURE;5^ tranche;02/02/2021;02/06/2028;0,000;EUR;4.450.000.000,00;4.450.000.000,00;;
IT0005566408;BTP 5;02/10/2023;01/02/2029;4,100;EUR;17.601.644.000,00;17.601.644.000,00;;
IT0005467482;BTP 7;15/11/2021;15/02/2029;0,450;EUR;16.150.000.000,00;16.150.000.000,00;;
IT0005495731;BTP 7;16/05/2022;15/06/2029;2,800;EUR;15.800.000.000,00;15.800.000.000,00;;
IT0005584849;BTP 5;01/03/2024;01/07/2029;3,350;EUR;19.100.000.000,00;19.100.000.000,00;;
IT0005365165;BTP 10;01/02/2019;01/08/2029;3,000;EUR;22.966.500.000,00;22.966.500.000,00;;
IT0005611055;BTP 5;02/09/2024;01/10/2029;3,000;EUR;16.200.000.000,00;16.200.000.000,00;;
IT0001278511;BTP 30;01/11/1998;01/11/2029;5,250;EUR;29.819.999.208,67;29.819.999.208,67;;
IT0005519787;BTP 7;15/11/2022;15/12/2029;3,850;EUR;23.346.000.000,00;23.346.000.000,00;;
IT0005543803;BTP�i 5;26/04/2023;15/05/2029;1,500 Cedola reale;EUR;19.066.731.310,56;18.185.116.845,87;;
IT0005451361;CCTeu 7;15/04/2021;15/04/2029;0,650;EUR;20.890.848.000,00;20.890.848.000,00;;
XS1199014306;EMTN;05/03/2015;05/03/2029;1,771;EUR;500.000.000,00;500.000.000,00;;
XS1413812881;EMTN;18/05/2016;18/05/2029;1,913;EUR;800.000.000,00;800.000.000,00;;
