Ministero dell'Economia e delle Finanze;;;;;;;
Debito Pubblico;;;;;;;
Scadenze Titoli di Stato suddivise per anno;;;;;;;
(Dati aggiornati al 31.12.2020);;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;
 IT0005358152   ; BOT 12M;14-gen-19;14-gen-20;  - ; EUR;7.700.000.000,00;
 IT0005378796   ; BOT 6M;31-lug-19;31-gen-20;  - ; EUR;6.500.000.000,00;
 IT0003644769  ; BTP 15;01-feb-04;01-feb-20;4,5; EUR;22.619.650.000,00;
 IT0005362634   ; BOT 12M;14-feb-19;14-feb-20;  - ; EUR;6.500.000.000,00;
 IT0005381832   ; BOT 6M;30-ago-19;28-feb-20;  - ; EUR;6.600.000.000,00;
 IT0004536949  ; BTP 10;01-set-09;01-mar-20;4,25; EUR;23.347.460.000,00;
 IT0005365454   ; BOT 12M;14-mar-19;13-mar-20;  - ; EUR;6.525.000.000,00;
 IT0005329336  ; CTZ 24;28-mar-18;30-mar-20;  - ; EUR;15.343.081.000,00;
 IT0005383531   ; BOT 6M;30-set-19;31-mar-20;  - ; EUR;7.150.000.000,00;
 IT0005367872   ; BOT 12M;12-apr-19;14-apr-20;  - ; EUR;6.101.500.000,00;
 IT0005012775  ; BTP Italia 6;23-apr-14;23-apr-20; 1,650  Cedola reale; EUR;15.118.875.000,00;
 IT0005387086   ; BOT 6M;31-ott-19;30-apr-20;  - ; EUR;7.150.000.000,00;
 IT0005107708  ; BTP 5;01-mag-15;01-mag-20;0,7; EUR;16.008.150.000,00;
 IT0005371890   ; BOT 12M;14-mag-19;14-mag-20;  - ; EUR;6.500.000.000,00;
 IT0005389587   ; BOT 6M;29-nov-19;29-mag-20;  - ; EUR;6.500.000.000,00;
 XS0220252521   ; EMTN;08-giu-05;08-giu-20;  Variabile; EUR;200.000.000,00;
 IT0005374266   ; BOT 12M;14-giu-19;12-giu-20;  - ; EUR;6.746.559.000,00;
 IT0005250946  ; BTP 3;18-apr-17;15-giu-20;0,35; EUR;15.882.720.000,00;
 XS0222189564   ; EMTN;15-giu-05;15-giu-20;  Variabile; EUR;2.500.000.000,00;
 IT0005394439   ; BOT 6M;02-gen-20;30-giu-20;  - ; EUR;6.500.000.000,00;
 IT0005378788   ; BOT 12M;12-lug-19;14-lug-20;  - ; EUR;7.150.000.000,00;
 IT0005407009   ; BOT 3M;14-apr-20;14-lug-20;  - ; EUR;6.500.000.000,00;
 IT0005397663   ; BOT 6M;31-gen-20;31-lug-20;  - ; EUR;6.500.000.000,00;
 IT0005381824   ; BOT 12M;14-ago-19;14-ago-20;  - ; EUR;7.150.000.000,00;
 XS0595269365   ; EMTN;24-feb-11;24-ago-20;4,45; EUR;450.000.000,00;
 IT0005399578   ; BOT 6M;28-feb-20;31-ago-20;  - ; EUR;6.025.000.000,00;
 IT0004594930  ; BTP 10;01-mar-10;01-set-20;4; EUR;24.547.124.000,00;
 IT0005383523   ; BOT 12M;13-set-19;14-set-20;  - ; EUR;7.150.000.000,00;
 IT0005403594   ; BOT 6M;31-mar-20;30-set-20;  - ; EUR;7.000.000.000,00;
 IT0005387078   ; BOT 12M;14-ott-19;14-ott-20;  - ; EUR;10.100.000.000,00;
 IT0005285041  ; BTP 3;15-ott-17;15-ott-20;0,2; EUR;14.166.420.000,00;
 IT0005058901  ; BTP Italia 6;27-ott-14;27-ott-20; 1,250  Cedola reale; EUR;7.253.032.000,00;
 IT0005406738   ; BOT 6M;30-apr-20;30-ott-20;  - ; EUR;7.700.000.000,00;
 IT0005142143  ; BTP 5;01-nov-15;01-nov-20;0,65; EUR;13.535.385.000,00;
 IT0005389561   ; BOT 12M;14-nov-19;13-nov-20;  - ; EUR;5.833.647.000,00;
 IT0005350514  ; CTZ 24;30-ott-18;27-nov-20;  - ; EUR;15.967.646.000,00;
 IT0005410938   ; BOT 6M;29-mag-20;30-nov-20;  - ; EUR;7.150.000.000,00;
 IT0005394421   ; BOT 12M;13-dic-19;14-dic-20;  - ; EUR;8.572.198.000,00;
 IT0005056541  ; CCTeu;15-giu-14;15-dic-20;0,8; EUR;12.859.426.000,00;
 IT0005412587   ; BOT 6M;30-giu-20;31-dic-20;  - ; EUR;7.157.139.000,00;
 IT0005397655   ; BOT 12M;14-gen-20;14-gen-21;  - ; EUR;7.000.000.000,00;
 IT0005415952   ; BOT 6M;31-lug-20;29-gen-21;  - ; EUR;7.700.000.000,00;
 IT0005399560   ; BOT 12M;14-feb-20;12-feb-21;  - ; EUR;9.500.000.000,00;
 IT0005419046   ; BOT 6M;31-ago-20;26-feb-21;  - ; EUR;7.460.349.000,00;
 IT0004634132   ; BTP 10;01-set-10;01-mar-21;3,75; EUR;23.859.660.000,00;
 IT0005403586   ; BOT 12M;13-mar-20;12-mar-21;  - ; EUR;6.500.000.000,00;
 XS0244425194   ; EMTN;17-mar-06;17-mar-21;  Variabile; EUR;900.000.000,00;
 XS2166502125   ; EMTN;22-apr-20;24-mar-21;  - ; EUR;2.000.000.000,00;
 IT0005419863; BOT 6M;30-set-20;31-mar-21;  - ; EUR;6.500.000.000,00;
 IT0005406720   ; BOT 12M;14-apr-20;14-apr-21;  - ; EUR;7.150.000.000,00;
 IT0005330961  ; BTP 3;15-apr-18;15-apr-21;0,05; EUR;15.241.478.000,00;
 XS2172852324   ; EMTN;05-mag-20;28-apr-21;  - ; EUR;2.000.000.000,00;
 IT0005423154; BOT 6m;30-ott-20;30-apr-21;  - ; EUR;6.500.000.000,00;
 IT0004966401  ; BTP 7;16-ott-13;01-mag-21;3,75; EUR;15.832.547.000,00;
 XS2166502398   ; EMTN;22-apr-20;05-mag-21;  - ; EUR;2.000.000.000,00;
 IT0005410920   ; BOT 12M;14-mag-20;14-mag-21;  - ; EUR;7.700.000.000,00;
 IT0005426512; BOT 6m;30-nov-20;31-mag-21;  - ; EUR;6.000.000.000,00;
 IT0005175598  ; BTP 5;01-apr-16;01-giu-21;0,45; EUR;15.733.767.000,00;
 XS2181364436   ; EMTN;22-mag-20;09-giu-21;  - ; EUR;2.000.000.000,00;
 IT0005412579   ; BOT 12M;12-giu-20;14-giu-21;  - ; EUR;7.430.801.000,00;
 XS0222737529   ; EMTN;28-giu-05;28-giu-21;  Variabile; EUR;300.000.000,00;
 IT0005371247  ; CTZ 24;29-apr-19;29-giu-21;  - ; EUR;12.987.858.000,00;
 IT0005415945   ; BOT 12M;14-lug-20;14-lug-21;  - ; EUR;7.773.922.000,00;
 IT0004009673   ; BTP 15;01-feb-06;01-ago-21;3,75; EUR;24.833.913.000,00;
 IT0005419038   ; BOT 12M;14-ago-20;13-ago-21;  - ; EUR;7.035.000.000,00;
