基準割引率および基準貸付利率（従来「公定歩合」として掲載されていたもの）,
単位　年％,基準割引率および基準貸付利率
実施年月日,
,
The Basic Discount Rate and Basic Loan Rate (formerly referred to as the Official Discount Rate),
Percent per annum,The Basic Discount Rate and Basic Loan Rate
Effective Date,
2001.01.04,0.5
2001.02.13,0.35
2001.03.01,0.25
2001.09.19,0.1
2006.07.14,0.4
2007.02.21,0.75
2008.10.31,0.5
2008.12.19,0.3
2024.08.01,0.5
2025.01.27,0.75
2025.12.22,1
2026.06.17,1.25
