date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2026-04-29,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-05-06,0.5,DRAIN,1.0,INJECTION,NEUTRAL_CONFLICT
2026-05-13,1.17,INJECTION,1.0,INJECTION,LIQUIDITY_INJECTION
2026-05-20,0.5,INJECTION,1.0,INJECTION,LIQUIDITY_INJECTION
2026-05-27,1.17,INJECTION,1.0,INJECTION,LIQUIDITY_INJECTION
2026-06-03,-0.17,INJECTION,0.0,INJECTION,LIQUIDITY_INJECTION
2026-06-10,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-06-17,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-06-24,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-07-01,1.17,INJECTION,-1.0,DRAIN,NEUTRAL_CONFLICT
2026-07-08,0.5,INJECTION,-1.0,DRAIN,NEUTRAL_CONFLICT
2026-07-15,0.5,INJECTION,-1.0,DRAIN,NEUTRAL_CONFLICT
2026-07-22,-0.17,NEUTRAL,-1.0,DRAIN,NEUTRAL_PARTIAL
2026-07-29,0.5,NEUTRAL,-1.0,DRAIN,NEUTRAL_PARTIAL
2026-08-05,-0.17,NEUTRAL,0.0,DRAIN,NEUTRAL_PARTIAL
2026-08-12,1.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-08-19,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-08-26,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-09-02,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
