KEY,FREQ,REF_AREA,ADJUSTMENT,BS_REP_SECTOR,BS_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,CURRENCY_TRANS,BS_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2014-10,5543758,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2014-11,5543168,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2014-12,5551884,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-01,5569501,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-02,5570013,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-03,5574485,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-04,5579307,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-05,5582569,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-06,5590443,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-07,5596792,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-08,5607770,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-09,5613334,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-10,5632399,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-11,5639976,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2015-12,5643826,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-01,5646928,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-02,5655599,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-03,5659542,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-04,5667247,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-05,5675777,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-06,5682952,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-07,5691474,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-08,5700252,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-09,5702481,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-10,5713863,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-11,5723240,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.U.A20T.A.1.U2.2250.Z01.E,M,U2,Y,U,A20T,A,1,U2,2250,Z01,E,2016-12,5728686,A,F,,,P1M,,E,,,,,,,,,2,,,"Adjusted loans to euro area households granted by MFIs, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), Monetary Financial Institutions (MFIs) reporting sector - Adjusted loans, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
