KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,COUNT_AREA,CURRENCY_TRANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,AGG_EQUN,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-09-27,2984052,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-09-28,2984052,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-09-29,2984052,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-09-30,2971776,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-01,2987443,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-02,2986126,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-03,2980065,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-04,2986335,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-05,2986335,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-06,2986335,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-07,2985591,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-08,2990010,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-09,2996969,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-10,2993272,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-11,3000579,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-12,3000579,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-13,3000579,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-14,2997051,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-15,2979014,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.EXLIQ.U2.EUR,D,U2,C,EXLIQ,U2,EUR,2024-10-16,2980561,A,F,,,P1D,,E,,,,,,,,,0,,Excess liquidity - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Excess liquidity, Euro - Euro area (changing composition) counterpart",EUR,6
