KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,COUNT_AREA,CURRENCY_TRANS,TIME_PER_COLLECT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COLLECTION,COMMENT_TS,COMPILING_ORG,COVERAGE,DATA_COMP,DECIMALS,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2016-12,754262.91,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-01,795621.29,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-02,814375.28,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-03,829751.01,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-04,843439.16,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-05,857272.35,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-06,860763.85,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-07,856510.39,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-08,852511.36,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-09,878887.95,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-10,848443.48,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-11,855548.28,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2017-12,906941.42,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-01,882051.84,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-02,913989.05,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-03,923466.08,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-04,902364.26,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-05,956150.39,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-06,976266.42,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-07,913270.21,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-08,912448.14,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-09,956487.58,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-10,927555.16,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-11,941129.69,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2018-12,966190.14,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-01,868142.12,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-02,872697.82,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-03,941310.6,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-04,919696.13,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-05,934640.6,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-06,942319.07,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-07,870903.37,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-08,897900.93,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-09,915341.9,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-10,837376.73,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-11,870519.92,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2019-12,895218.65,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2020-01,811434.9,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2020-02,821562.58,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2020-03,935126.03,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.DE.N.A094T.U2.EUR.E,M,DE,N,A094T,U2,EUR,E,2020-04,918813.83,E,F,,,P1M,,E,Monthly TARGET balances for Germany,,,,2,,,,,TARGET balances (end of month position),,EUR,6
