KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2014-Q4,-2.466650925270227,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2015-Q1,-5.1258701442304035,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2015-Q2,-9.076344495905312,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2015-Q3,-4.220428371115519,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2015-Q4,-3.208702275902039,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2016-Q1,-3.4814501645629887,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2016-Q2,-4.7454584669062205,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2016-Q3,-5.204232548913698,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2016-Q4,0.0989659138245495,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.O.E.Z.B3.ST.S.WFNET,Q,U2,ALL,O,E,Z,B3,ST,S,WFNET,2017-Q1,1.88011366874346,A,F,,,P3M,B,,,0,,Credit standards-Overall-Enterprise,Euro area (changing composition) - All banks - Question on Overall - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
