KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2014-Q4,0.0902,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2015-Q1,0.1029,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2015-Q2,0.1424,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2015-Q3,0.3306,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2015-Q4,0.3268,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2016-Q1,0.4427,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2016-Q2,0.5422,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2016-Q3,0.494,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2016-Q4,0.6596,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9P,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2017-Q1,0.7828,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending/net borrowing excluding interest payable (primary deficit or surplus) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government primary deficit(-) or surplus(+), percent of GDP",,0,
