KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2017-Q2,-1.3257,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2017-Q3,-1.149,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2017-Q4,-1.0027,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2018-Q1,-0.8032,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2018-Q2,-0.4606,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2018-Q3,-0.3439,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2018-Q4,-0.4477,A,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2019-Q1,-0.4952,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2019-Q2,-0.5901,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2019-Q3,-0.7009,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2019-Q4,-0.5386,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2020-Q1,-1.144,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2020-Q2,-3.8434,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2020-Q3,-5.1991,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2020-Q4,-6.9984,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2021-Q1,-8.0085,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2021-Q2,-6.696,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2021-Q3,-6.0292,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2021-Q4,-5.0988,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2022-Q1,-4.0401,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2022-Q2,-3.0178,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2022-Q3,-3.01,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T,Q,N,I9,W0,S13,S1,_Z,B,B9,_Z,_Z,_Z,XDC_R_B1GQ_CY,_Z,S,V,CY,_T,2022-Q4,-3.3855,P,F,,,,,P3M,,"Euro area 20 (fixed composition) as of 1 January 2023 - Net lending(+) / net borrowing (-) - Balance - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy, Current prices, Standard valuation based on SNA/ESA - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to the annual moving sum of gross domestic product, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,3,,,,,,,,,,S,"Government deficit(-) or surplus(+), percent of GDP",,0,
