KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,COUNT_AREA,CURRENCY_TRANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,AGG_EQUN,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-11,240,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-12,47,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-13,40,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-14,74,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-17,93,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-18,119,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-19,30,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-20,30,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-21,21,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-24,563,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-25,8,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-26,48,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-27,29,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-09-28,130,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-01,71,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-02,91,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-03,88,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-04,60,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-05,70,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-08,58,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-09,40,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-10,35,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-11,45,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-12,50,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-15,59,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
ILM.D.U2.C.A050500.U2.EUR,D,U2,C,A050500,U2,EUR,2018-10-16,56,A,F,,,P1D,,E,,,,,,,,,0,,Marginal lending facility - Eurosystem,"Euro area (changing composition), Eurosystem reporting sector - Marginal lending facility, Euro - Euro area (changing composition) counterpart",EUR,6
