date,BUSLOANS
2020-09-01,2760025.6
2020-10-01,2698642.0
2020-11-01,2637993.0
2020-12-01,2590917.5
2021-01-01,2561884.7
2021-02-01,2586802.1
2021-03-01,2586961.3
2021-04-01,2555939.6999999997
2021-05-01,2545303.6999999997
2021-06-01,2476288.3000000003
2021-07-01,2450048.3
2021-08-01,2428144.8
2021-09-01,2416792.1
2021-10-01,2421405.4
2021-11-01,2436257.2
2021-12-01,2474084.8000000003
2022-01-01,2487918.9
2022-02-01,2499337.7
2022-03-01,2538853.7
2022-04-01,2564373.8
2022-05-01,2609330.0
2022-06-01,2665590.8
2022-07-01,2697858.7
2022-08-01,2723405.6
2022-09-01,2747914.6999999997
2022-10-01,2773000.9
2022-11-01,2792537.6
2022-12-01,2800507.9
2023-01-01,2814147.8000000003
2023-02-01,2807350.0
2023-03-01,2797037.6
2023-04-01,2767620.6999999997
2023-05-01,2764332.6
2023-06-01,2752869.9000000004
2023-07-01,2752889.7
2023-08-01,2757513.9
2023-09-01,2761273.8
2023-10-01,2774042.8000000003
2023-11-01,2767800.2
2023-12-01,2764928.8000000003
2024-01-01,2762622.8000000003
2024-02-01,2767061.7
2024-03-01,2749638.9
2024-04-01,2743365.6999999997
2024-05-01,2754794.1999999997
2024-06-01,2761731.6999999997
2024-07-01,2756703.5
2024-08-01,2765348.5999999996
2024-09-01,2778828.7
2024-10-01,2788824.5
2024-11-01,2794746.0
2024-12-01,2771942.9
2025-01-01,2669255.6
2025-02-01,2672444.8000000003
2025-03-01,2672478.9
2025-04-01,2660033.4
2025-05-01,2673266.8
2025-06-01,2680098.8000000003
2025-07-01,2668224.4
2025-08-01,2682146.6
2025-09-01,2693148.6
2025-10-01,2694874.5
2025-11-01,2703586.4000000004
2025-12-01,2711305.5
2026-01-01,2738380.5
2026-02-01,2785576.8
2026-03-01,2823511.1
2026-04-01,2859673.9
2026-05-01,2888448.0
2026-06-01,2905135.0
2026-07-01,2899325.2
