date,DTS:W|HHS - Federal Supple Med Insr Trust Fund|fytd
2025-06-05,400626.0
2025-06-06,401457.0
2025-06-09,402178.0
2025-06-10,402684.0
2025-06-11,403473.0
2025-06-12,404591.0
2025-06-13,405461.0
2025-06-16,406471.0
2025-06-17,407568.0
2025-06-18,408711.0
2025-06-20,410196.0
2025-06-23,411477.0
2025-06-24,412878.0
2025-06-25,414002.0
2025-06-26,414965.0
2025-06-27,415946.0
2025-06-30,416898.0
2025-07-01,450973.0
2025-07-02,452015.0
2025-07-03,452866.0
2025-07-07,453928.0
2025-07-08,455151.0
2025-07-09,456370.0
2025-07-10,457138.0
2025-07-11,458468.0
2025-07-14,459363.0
2025-07-15,460420.0
2025-07-16,461485.0
2025-07-17,462403.0
2025-07-18,463043.0
2025-07-21,463792.0
2025-07-22,464709.0
2025-07-23,465749.0
2025-07-24,467123.0
2025-07-25,468168.0
2025-07-28,469266.0
2025-07-29,470347.0
2025-07-30,471382.0
2025-07-31,472243.0
2025-08-01,499096.0
2025-08-04,500081.0
2025-08-05,501067.0
2025-08-06,501990.0
2025-08-07,502830.0
2025-08-08,503700.0
2025-08-11,504624.0
2025-08-12,505547.0
2025-08-13,506874.0
2025-08-14,507787.0
2025-08-15,508717.0
2025-08-18,509683.0
2025-08-19,510790.0
2025-08-20,511904.0
2025-08-21,512931.0
2025-08-22,514020.0
2025-08-25,515144.0
2025-08-26,516299.0
2025-08-27,517740.0
2025-08-28,518706.0
2025-08-29,545247.0
2025-09-02,546545.0
2025-09-03,547703.0
2025-09-04,548839.0
2025-09-05,549728.0
2025-09-08,550630.0
2025-09-09,551638.0
2025-09-10,552688.0
2025-09-11,553594.0
2025-09-12,554630.0
2025-09-15,555369.0
2025-09-16,556084.0
2025-09-17,557037.0
2025-09-18,558128.0
2025-09-19,559218.0
2025-09-22,560370.0
2025-09-23,561621.0
2025-09-24,562860.0
2025-09-25,563910.0
2025-09-26,567283.0
2025-09-29,568326.0
2025-09-30,569337.0
2025-10-01,26812.0
2025-10-02,27689.0
2025-10-03,28621.0
2025-10-06,29599.0
2025-10-07,30604.0
2025-10-08,31666.0
2025-10-09,32531.0
2025-10-10,33458.0
2025-10-14,34892.0
2025-10-15,36199.0
2025-10-16,37453.0
2025-10-17,38413.0
2025-10-20,39283.0
2025-10-21,40228.0
2025-10-22,41245.0
2025-10-23,42072.0
2025-10-24,43063.0
2025-10-27,43863.0
2025-10-28,44978.0
2025-10-29,45902.0
2025-10-30,46713.0
2025-10-31,73568.0
2025-11-03,74616.0
2025-11-04,75872.0
2025-11-05,77148.0
2025-11-06,78281.0
2025-11-07,79404.0
2025-11-10,80910.0
2025-11-12,82355.0
2025-11-13,83851.0
2025-11-14,85267.0
2025-11-17,86579.0
2025-11-18,87674.0
2025-11-19,88974.0
2025-11-20,90117.0
2025-11-21,91246.0
2025-11-24,92513.0
2025-11-25,93714.0
2025-11-26,94670.0
2025-11-28,95906.0
2025-12-01,123208.0
2025-12-02,124299.0
2025-12-03,125942.0
2025-12-04,126990.0
2025-12-05,127869.0
2025-12-08,128877.0
2025-12-09,129952.0
2025-12-10,131096.0
2025-12-11,132081.0
2025-12-12,132556.0
2025-12-15,133171.0
2025-12-16,134205.0
2025-12-17,135561.0
2025-12-18,136673.0
2025-12-19,137801.0
2025-12-22,138996.0
2025-12-23,140258.0
2025-12-24,141090.0
2025-12-26,141400.0
2025-12-29,143083.0
2025-12-30,144583.0
2025-12-31,146946.0
2026-01-02,176296.0
2026-01-05,177568.0
2026-01-06,178855.0
2026-01-07,179829.0
2026-01-08,180399.0
2026-01-09,181040.0
2026-01-12,181652.0
2026-01-13,182725.0
2026-01-14,183857.0
2026-01-15,184736.0
2026-01-16,185425.0
2026-01-20,186640.0
2026-01-21,187818.0
2026-01-22,189015.0
2026-01-23,190091.0
2026-01-26,190890.0
2026-01-27,191784.0
2026-01-28,192869.0
2026-01-29,193779.0
2026-01-30,223052.0
