date,DPSACBW027SBOG
2022-09-14,17962624.9
2022-09-21,17944933.700000003
2022-09-28,17871775.900000002
2022-10-05,17805352.1
2022-10-12,17793701.2
2022-10-19,17775775.099999998
2022-10-26,17807709.4
2022-11-02,17735923.5
2022-11-09,17748403.4
2022-11-16,17754990.5
2022-11-23,17770738.9
2022-11-30,17698112.6
2022-12-07,17784858.599999998
2022-12-14,17770671.2
2022-12-21,17768405.2
2022-12-28,17739129.799999997
2023-01-04,17775575.700000003
2023-01-11,17687818.8
2023-01-18,17731029.299999997
2023-01-25,17734940.900000002
2023-02-01,17724947.400000002
2023-02-08,17683217.7
2023-02-15,17700373.3
2023-02-22,17670578.5
2023-03-01,17662352.299999997
2023-03-08,17576771.799999997
2023-03-15,17438230.1
2023-03-22,17310822.7
2023-03-29,17242248.5
2023-04-05,17260338.1
2023-04-12,17209864.900000002
2023-04-19,17255173.900000002
2023-04-26,17209361.700000003
2023-05-03,17230468.2
2023-05-10,17212927.3
2023-05-17,17231029.5
2023-05-24,17287296.2
2023-05-31,17327246.200000003
2023-06-07,17257777.099999998
2023-06-14,17272862.099999998
2023-06-21,17304415.9
2023-06-28,17294691.1
2023-07-05,17345892.8
2023-07-12,17280691.4
2023-07-19,17312780.900000002
2023-07-26,17305085.8
2023-08-02,17326034.400000002
2023-08-09,17334598.4
2023-08-16,17292626.400000002
2023-08-23,17337280.1
2023-08-30,17275653.2
2023-09-06,17300279.8
2023-09-13,17295838.1
2023-09-20,17343935.5
2023-09-27,17343749.9
2023-10-04,17346191.299999997
2023-10-11,17358403.900000002
2023-10-18,17281528.099999998
2023-10-25,17333209.8
2023-11-01,17374580.8
2023-11-08,17331295.2
2023-11-15,17370801.8
2023-11-22,17377117.4
2023-11-29,17316911.3
2023-12-06,17363303.3
2023-12-13,17368307.3
2023-12-20,17418504.3
2023-12-27,17436076.099999998
2024-01-03,17453038.2
2024-01-10,17403825.099999998
2024-01-17,17460377.1
2024-01-24,17425087.0
2024-01-31,17525918.900000002
2024-02-07,17480100.299999997
2024-02-14,17508716.5
2024-02-21,17462316.4
2024-02-28,17493500.1
2024-03-06,17522701.0
2024-03-13,17547719.400000002
2024-03-20,17562018.2
2024-03-27,17585719.099999998
2024-04-03,17527969.400000002
2024-04-10,17541049.7
