date,DTS:D|HHS - Medicare Premiums|mtd
2025-06-05,225.0
2025-06-06,569.0
2025-06-09,643.0
2025-06-10,714.0
2025-06-11,1056.0
2025-06-12,1312.0
2025-06-13,1367.0
2025-06-16,1632.0
2025-06-17,2051.0
2025-06-18,2178.0
2025-06-20,3639.0
2025-06-23,4000.0
2025-06-24,4331.0
2025-06-25,4623.0
2025-06-26,4697.0
2025-06-27,4796.0
2025-06-30,4980.0
2025-07-01,308.0
2025-07-02,324.0
2025-07-03,418.0
2025-07-07,438.0
2025-07-08,522.0
2025-07-09,571.0
2025-07-10,1004.0
2025-07-11,1294.0
2025-07-14,1329.0
2025-07-15,1473.0
2025-07-16,1823.0
2025-07-17,1868.0
2025-07-18,2380.0
2025-07-21,3927.0
2025-07-22,4099.0
2025-07-23,4208.0
2025-07-24,4362.0
2025-07-25,4519.0
2025-07-28,4560.0
2025-07-29,4578.0
2025-07-30,4945.0
2025-07-31,5252.0
2025-08-01,232.0
2025-08-04,328.0
2025-08-05,364.0
2025-08-06,388.0
2025-08-07,432.0
2025-08-08,784.0
2025-08-11,1077.0
2025-08-12,1390.0
2025-08-13,1503.0
2025-08-14,1570.0
2025-08-15,2016.0
2025-08-18,2125.0
2025-08-19,2213.0
2025-08-20,2852.0
2025-08-21,3843.0
2025-08-22,4006.0
2025-08-25,4203.0
2025-08-26,4232.0
2025-08-27,4290.0
2025-08-28,4700.0
2025-08-29,4930.0
2025-09-02,214.0
2025-09-03,253.0
2025-09-04,270.0
2025-09-05,555.0
2025-09-08,722.0
2025-09-09,1044.0
2025-09-10,1407.0
2025-09-11,1446.0
2025-09-12,1483.0
2025-09-15,1584.0
2025-09-16,1738.0
2025-09-17,1902.0
2025-09-18,2137.0
2025-09-19,2592.0
2025-09-22,3884.0
2025-09-23,4008.0
2025-09-24,4165.0
2025-09-25,4483.0
2025-09-26,4666.0
2025-09-29,4835.0
2025-09-30,5086.0
2025-10-01,207.0
2025-10-02,251.0
2025-10-03,356.0
2025-10-06,432.0
2025-10-07,477.0
2025-10-08,531.0
2025-10-09,822.0
2025-10-10,1395.0
2025-10-14,1512.0
2025-10-15,1710.0
2025-10-16,1785.0
2025-10-17,2010.0
2025-10-20,2540.0
2025-10-21,2817.0
2025-10-22,3087.0
2025-10-23,3988.0
2025-10-24,4199.0
2025-10-27,4229.0
2025-10-28,4250.0
2025-10-29,4269.0
2025-10-30,4284.0
2025-10-31,4296.0
2025-11-03,342.0
2025-11-04,456.0
2025-11-05,620.0
2025-11-06,741.0
2025-11-07,883.0
2025-11-10,1042.0
2025-11-12,1595.0
