date,DTS:debt_total
2025-06-05,36216390.0
2025-06-06,36215685.0
2025-06-09,36213573.0
2025-06-10,36214281.0
2025-06-11,36213582.0
2025-06-12,36217452.0
2025-06-13,36216757.0
2025-06-16,36214670.0
2025-06-17,36215398.0
2025-06-18,36214707.0
2025-06-20,36215874.0
2025-06-23,36213809.0
2025-06-24,36214553.0
2025-06-25,36213870.0
2025-06-26,36215806.0
2025-06-27,36215125.0
2025-06-30,36211470.0
2025-07-01,36214482.0
2025-07-02,36213798.0
2025-07-03,36215869.0
2025-07-07,36582313.0
2025-07-08,36625815.0
2025-07-09,36600646.0
2025-07-10,36595102.0
2025-07-11,36595800.0
2025-07-14,36598345.0
2025-07-15,36651611.0
2025-07-16,36627855.0
2025-07-17,36655281.0
2025-07-18,36653919.0
2025-07-21,36661694.0
2025-07-22,36711533.0
2025-07-23,36686938.0
2025-07-24,36721531.0
2025-07-25,36732900.0
2025-07-28,36734926.0
2025-07-29,36803837.0
2025-07-30,36802241.0
2025-07-31,36916988.0
2025-08-01,36826903.0
2025-08-04,36838165.0
2025-08-05,36930452.0
2025-08-06,36950460.0
2025-08-07,36996206.0
2025-08-08,36998492.0
2025-08-11,37004818.0
2025-08-12,37070423.0
2025-08-13,37045338.0
2025-08-14,37089430.0
2025-08-15,37137283.0
2025-08-18,37144077.0
2025-08-19,37208856.0
2025-08-20,37180191.0
2025-08-21,37232289.0
2025-08-22,37234066.0
2025-08-25,37254223.0
2025-08-26,37204887.0
2025-08-27,37283969.0
2025-08-28,37310154.0
2025-08-29,37274266.0
2025-09-02,37413538.0
2025-09-03,37412680.0
2025-09-04,37430128.0
2025-09-05,37433589.0
2025-09-08,37440610.0
2025-09-09,37473887.0
2025-09-10,37450744.0
2025-09-11,37470834.0
2025-09-12,37461799.0
2025-09-15,37533982.0
2025-09-16,37502758.0
2025-09-17,37492636.0
2025-09-18,37509824.0
2025-09-19,37505753.0
2025-09-22,37511744.0
2025-09-23,37469696.0
2025-09-24,37454537.0
2025-09-25,37467893.0
2025-09-26,37499704.0
2025-09-29,37506454.0
2025-09-30,37637553.0
2025-10-01,37864060.0
2025-10-02,37881843.0
2025-10-03,37852656.0
2025-10-06,37863241.0
2025-10-07,37889757.0
2025-10-08,37863838.0
2025-10-09,37883931.0
2025-10-10,37885436.0
2025-10-14,37918957.0
2025-10-15,37942636.0
2025-10-16,37966554.0
2025-10-17,37977306.0
2025-10-20,37980274.0
2025-10-21,38019813.0
2025-10-22,37990673.0
2025-10-23,38008137.0
2025-10-24,38009026.0
2025-10-27,38042192.0
2025-10-28,38076934.0
2025-10-29,38078545.0
2025-10-30,38108931.0
2025-10-31,38040093.0
2025-11-03,38004367.0
2025-11-04,38047240.0
2025-11-05,38091526.0
2025-11-06,38118268.0
2025-11-07,38117225.0
2025-11-10,38125732.0
2025-11-12,38121217.0
2025-11-13,38150716.0
2025-11-14,38153732.0
2025-11-17,38181185.0
2025-11-18,38265355.0
2025-11-19,38299373.0
2025-11-20,38326967.0
2025-11-21,38333530.0
2025-11-24,38336291.0
2025-11-25,38360842.0
2025-11-26,38335268.0
2025-11-28,38396211.0
2025-12-01,38425673.0
2025-12-02,38423765.0
2025-12-03,38403532.0
2025-12-04,38389369.0
2025-12-05,38390533.0
2025-12-08,38395957.0
2025-12-09,38377110.0
2025-12-10,38352200.0
2025-12-11,38349795.0
2025-12-12,38339541.0
2025-12-15,38419380.0
2025-12-16,38396180.0
2025-12-17,38378997.0
2025-12-18,38375371.0
2025-12-19,38372870.0
2025-12-22,38378413.0
2025-12-23,38375350.0
2025-12-24,38352847.0
2025-12-26,38380536.0
2025-12-29,38386384.0
2025-12-30,38372154.0
2025-12-31,38514010.0
2026-01-02,38422819.0
2026-01-05,38441088.0
2026-01-06,38430410.0
2026-01-07,38432288.0
2026-01-08,38432587.0
2026-01-09,38433330.0
2026-01-12,38437701.0
2026-01-13,38433853.0
2026-01-14,38396062.0
2026-01-15,38453109.0
2026-01-16,38460240.0
2026-01-20,38484705.0
2026-01-21,38473376.0
2026-01-22,38490798.0
2026-01-23,38491020.0
2026-01-26,38513524.0
2026-01-27,38567114.0
2026-01-28,38542543.0
2026-01-29,38568501.0
2026-01-30,38521368.0
2026-02-02,38515651.0
2026-02-03,38564278.0
2026-02-04,38564513.0
2026-02-05,38587617.0
2026-02-06,38588547.0
2026-02-09,38593207.0
2026-02-10,38645730.0
2026-02-11,38620773.0
