date,DTS:W|SSA - Benefits Payments|fytd
2025-06-05,951816.0
2025-06-06,952095.0
2025-06-09,952272.0
2025-06-10,952399.0
2025-06-11,983226.0
2025-06-12,983381.0
2025-06-13,983527.0
2025-06-16,983672.0
2025-06-17,983796.0
2025-06-18,1013501.0
2025-06-20,1013623.0
2025-06-23,1013731.0
2025-06-24,1013815.0
2025-06-25,1043452.0
2025-06-26,1043591.0
2025-06-27,1043570.0
2025-06-30,1043568.0
2025-07-01,1043984.0
2025-07-02,1044145.0
2025-07-03,1069829.0
2025-07-07,1069937.0
2025-07-08,1070026.0
2025-07-09,1100886.0
2025-07-10,1100985.0
2025-07-11,1101081.0
2025-07-14,1101184.0
2025-07-15,1101283.0
2025-07-16,1131068.0
2025-07-17,1131172.0
2025-07-18,1131256.0
2025-07-21,1131354.0
2025-07-22,1131452.0
2025-07-23,1161194.0
2025-07-24,1161315.0
2025-07-25,1161412.0
2025-07-28,1161402.0
2025-07-29,1161401.0
2025-07-30,1161400.0
2025-07-31,1161396.0
2025-08-01,1187646.0
2025-08-04,1187732.0
2025-08-05,1187798.0
2025-08-06,1188011.0
2025-08-07,1188139.0
2025-08-08,1188256.0
2025-08-11,1188366.0
2025-08-12,1188458.0
2025-08-13,1219478.0
2025-08-14,1219575.0
2025-08-15,1219666.0
2025-08-18,1219772.0
2025-08-19,1219858.0
2025-08-20,1249767.0
2025-08-21,1249865.0
2025-08-22,1249944.0
2025-08-25,1250063.0
2025-08-26,1250158.0
2025-08-27,1279887.0
2025-08-28,1279879.0
2025-08-29,1279865.0
2025-09-02,1280386.0
2025-09-03,1306081.0
2025-09-04,1306194.0
2025-09-05,1306287.0
2025-09-08,1306395.0
2025-09-09,1306495.0
2025-09-10,1337675.0
2025-09-11,1337762.0
2025-09-12,1337847.0
2025-09-15,1337942.0
2025-09-16,1338029.0
2025-09-17,1368092.0
2025-09-18,1368179.0
2025-09-19,1368258.0
2025-09-22,1368351.0
2025-09-23,1368440.0
2025-09-24,1398448.0
2025-09-25,1398537.0
2025-09-26,1398622.0
2025-09-29,1398613.0
2025-09-30,1398610.0
