date,DTS:D|Taxes - Non Withheld Ind/SECA Other|fytd
2025-06-05,332075.0
2025-06-06,332539.0
2025-06-09,333331.0
2025-06-10,334348.0
2025-06-11,337372.0
2025-06-12,339501.0
2025-06-13,340246.0
2025-06-16,341852.0
2025-06-17,344565.0
2025-06-18,353108.0
2025-06-20,361483.0
2025-06-23,365525.0
2025-06-24,377859.0
2025-06-25,384376.0
2025-06-26,387355.0
2025-06-27,387975.0
2025-06-30,388495.0
2025-07-01,389149.0
2025-07-02,390208.0
2025-07-03,390606.0
2025-07-07,390844.0
2025-07-08,391147.0
2025-07-09,392037.0
2025-07-10,392317.0
2025-07-11,392494.0
2025-07-14,392710.0
2025-07-15,393036.0
2025-07-16,393696.0
2025-07-17,393933.0
2025-07-18,394147.0
2025-07-21,394311.0
2025-07-22,394530.0
2025-07-23,394951.0
2025-07-24,395396.0
2025-07-25,395605.0
2025-07-28,395763.0
2025-07-29,396245.0
2025-07-30,396756.0
2025-07-31,396940.0
2025-08-01,397483.0
2025-08-04,397714.0
2025-08-05,397952.0
2025-08-06,398503.0
2025-08-07,398666.0
2025-08-08,398921.0
2025-08-11,399134.0
2025-08-12,399346.0
2025-08-13,399904.0
2025-08-14,400050.0
2025-08-15,400326.0
2025-08-18,400491.0
2025-08-19,400713.0
2025-08-20,401362.0
2025-08-21,401683.0
2025-08-22,401861.0
2025-08-25,402194.0
2025-08-26,402571.0
2025-08-27,403232.0
2025-08-28,403737.0
2025-08-29,403971.0
2025-09-02,404234.0
2025-09-03,404806.0
2025-09-04,406232.0
2025-09-05,406802.0
2025-09-08,407285.0
2025-09-09,408038.0
2025-09-10,410669.0
2025-09-11,412343.0
2025-09-12,414023.0
2025-09-15,415108.0
2025-09-16,418961.0
2025-09-17,425455.0
2025-09-18,431145.0
2025-09-19,436044.0
2025-09-22,443052.0
2025-09-23,450334.0
2025-09-24,457066.0
2025-09-25,460868.0
2025-09-26,462813.0
2025-09-29,464997.0
2025-09-30,466688.0
2025-10-01,1984.0
2025-10-02,2475.0
2025-10-03,2933.0
2025-10-06,3348.0
2025-10-07,4005.0
2025-10-08,5614.0
2025-10-09,6008.0
2025-10-10,6172.0
2025-10-14,6839.0
2025-10-15,8494.0
2025-10-16,9137.0
2025-10-17,9696.0
2025-10-20,10421.0
2025-10-21,11819.0
2025-10-22,16922.0
2025-10-23,19474.0
2025-10-24,20591.0
2025-10-27,23032.0
2025-10-28,23992.0
2025-10-29,25007.0
2025-10-30,25419.0
2025-10-31,25560.0
2025-11-03,25812.0
