date,WLCFLPCL
2022-09-14,6158.0
2022-09-21,6913.0
2022-09-28,6470.0
2022-10-05,7511.0
2022-10-12,7669.0
2022-10-19,5139.0
2022-10-26,5585.0
2022-11-02,4407.0
2022-11-09,3734.0
2022-11-16,7851.0
2022-11-23,9140.0
2022-11-30,10085.0
2022-12-07,7158.0
2022-12-14,5897.0
2022-12-21,4571.0
2022-12-28,4638.0
2023-01-04,3932.0
2023-01-11,3860.0
2023-01-18,4603.0
2023-01-25,5106.0
2023-02-01,4700.0
2023-02-08,4486.0
2023-02-15,4778.0
2023-02-22,4558.0
2023-03-01,4362.0
2023-03-08,4581.0
2023-03-15,152853.0
2023-03-22,110248.0
2023-03-29,88157.0
2023-04-05,69705.0
2023-04-12,67633.0
2023-04-19,69925.0
2023-04-26,73855.0
2023-05-03,5345.0
2023-05-10,9323.0
2023-05-17,9048.0
2023-05-24,4211.0
2023-05-31,3971.0
2023-06-07,3167.0
2023-06-14,3618.0
2023-06-21,3208.0
2023-06-28,3209.0
2023-07-05,3356.0
2023-07-12,2692.0
2023-07-19,2633.0
2023-07-26,2249.0
2023-08-02,1898.0
2023-08-09,1911.0
2023-08-16,1966.0
2023-08-23,2190.0
2023-08-30,2907.0
2023-09-06,2051.0
2023-09-13,2698.0
2023-09-20,3078.0
2023-09-27,3193.0
2023-10-04,2773.0
2023-10-11,2580.0
2023-10-18,2962.0
2023-10-25,3170.0
2023-11-01,2951.0
2023-11-08,2229.0
2023-11-15,2241.0
2023-11-22,2442.0
2023-11-29,2242.0
2023-12-06,1960.0
2023-12-13,2173.0
2023-12-20,2400.0
2023-12-27,2492.0
2024-01-03,2159.0
2024-01-10,2106.0
2024-01-17,2295.0
2024-01-24,2785.0
2024-01-31,3189.0
2024-02-07,2334.0
2024-02-14,2419.0
2024-02-21,2405.0
2024-02-28,2105.0
2024-03-06,1882.0
2024-03-13,1825.0
2024-03-20,2672.0
2024-03-27,6270.0
2024-04-03,5451.0
2024-04-10,5053.0
2024-04-17,8559.0
2024-04-24,7018.0
2024-05-01,6791.0
2024-05-08,6198.0
2024-05-15,6364.0
2024-05-22,6664.0
2024-05-29,6574.0
2024-06-05,6188.0
2024-06-12,6461.0
2024-06-19,6683.0
2024-06-26,7026.0
2024-07-03,6404.0
2024-07-10,6803.0
2024-07-17,6634.0
2024-07-24,6751.0
2024-07-31,6925.0
2024-08-07,2232.0
2024-08-14,2410.0
2024-08-21,2061.0
2024-08-28,1679.0
2024-09-04,1517.0
2024-09-11,1568.0
2024-09-18,1376.0
2024-09-25,1365.0
2024-10-02,1660.0
2024-10-09,1745.0
2024-10-16,1879.0
2024-10-23,1768.0
2024-10-30,1505.0
2024-11-06,1600.0
2024-11-13,2830.0
2024-11-20,2747.0
2024-11-27,2498.0
2024-12-04,2430.0
2024-12-11,2607.0
2024-12-18,2076.0
2024-12-25,2056.0
2025-01-01,3227.0
2025-01-08,2405.0
2025-01-15,2665.0
2025-01-22,3092.0
2025-01-29,3200.0
2025-02-05,3095.0
2025-02-12,3033.0
2025-02-19,3234.0
2025-02-26,3342.0
2025-03-05,3092.0
2025-03-12,2417.0
2025-03-19,2136.0
2025-03-26,2234.0
2025-04-02,2154.0
2025-04-09,2726.0
2025-04-16,2713.0
2025-04-23,3112.0
2025-04-30,3485.0
2025-05-07,2462.0
2025-05-14,2194.0
2025-05-21,1853.0
2025-05-28,2014.0
2025-06-04,2885.0
2025-06-11,3989.0
2025-06-18,5383.0
2025-06-25,6308.0
2025-07-02,6354.0
2025-07-09,6131.0
2025-07-16,5230.0
2025-07-23,5242.0
2025-07-30,5595.0
2025-08-06,4856.0
2025-08-13,4623.0
2025-08-20,4414.0
2025-08-27,4191.0
2025-09-03,4374.0
2025-09-10,5374.0
2025-09-17,5533.0
2025-09-24,7821.0
2025-10-01,7170.0
2025-10-08,6243.0
2025-10-15,6018.0
2025-10-22,7349.0
2025-10-29,7894.0
2025-11-05,7138.0
2025-11-12,5818.0
2025-11-19,6101.0
2025-11-26,7792.0
2025-12-03,7833.0
2025-12-10,8339.0
2025-12-17,8870.0
2025-12-24,9874.0
2025-12-31,9664.0
2026-01-07,7225.0
2026-01-14,5370.0
2026-01-21,3498.0
2026-01-28,4516.0
2026-02-04,4515.0
2026-02-11,4418.0
2026-02-18,4775.0
2026-02-25,4483.0
2026-03-04,4713.0
2026-03-11,4664.0
2026-03-18,4884.0
2026-03-25,5216.0
2026-04-01,6012.0
2026-04-08,5873.0
2026-04-15,5306.0
2026-04-22,6032.0
2026-04-29,6105.0
2026-05-06,5735.0
2026-05-13,6002.0
2026-05-20,5599.0
2026-05-27,6362.0
2026-06-03,6072.0
2026-06-10,6606.0
2026-06-17,7572.0
2026-06-24,7894.0
2026-07-01,7778.0
2026-07-08,5771.0
2026-07-15,4755.0
2026-07-22,4885.0
2026-07-29,6506.0
2026-08-05,5257.0
2026-08-12,5644.0
2026-08-19,5038.0
2026-08-26,4890.0
2026-09-02,5282.0
2026-09-09,5838.0
