date,TOTBKCR
2022-09-14,17342973.900000002
2022-09-21,17359773.3
2022-09-28,17347610.400000002
2022-10-05,17352151.5
2022-10-12,17355841.9
2022-10-19,17355748.0
2022-10-26,17373448.1
2022-11-02,17381123.3
2022-11-09,17388184.099999998
2022-11-16,17413127.1
2022-11-23,17423327.099999998
2022-11-30,17432357.2
2022-12-07,17530550.9
2022-12-14,17526400.0
2022-12-21,17502254.6
2022-12-28,17498519.400000002
2023-01-04,17516426.5
2023-01-11,17530726.1
2023-01-18,17555728.299999997
2023-01-25,17566941.1
2023-02-01,17595228.599999998
2023-02-08,17588181.6
2023-02-15,17594245.5
2023-02-22,17577610.3
2023-03-01,17561504.5
2023-03-08,17540854.4
2023-03-15,17579621.1
2023-03-22,17456517.7
2023-03-29,17325886.6
2023-04-05,17351724.7
2023-04-12,17316983.7
2023-04-19,17332775.6
2023-04-26,17356244.5
2023-05-03,17339324.400000002
2023-05-10,17338791.6
2023-05-17,17312584.5
2023-05-24,17309363.6
2023-05-31,17308763.900000002
2023-06-07,17255520.1
2023-06-14,17270011.8
2023-06-21,17273862.2
2023-06-28,17258172.1
2023-07-05,17241697.5
2023-07-12,17256160.8
2023-07-19,17273669.099999998
2023-07-26,17266826.9
2023-08-02,17258190.6
2023-08-09,17249429.400000002
2023-08-16,17256897.400000002
2023-08-23,17277580.6
2023-08-30,17269770.7
2023-09-06,17262180.3
2023-09-13,17270593.5
2023-09-20,17285134.8
2023-09-27,17270386.299999997
2023-10-04,17267391.0
2023-10-11,17284926.8
2023-10-18,17262890.9
2023-10-25,17283365.0
2023-11-01,17274879.6
2023-11-08,17279599.2
2023-11-15,17269897.2
2023-11-22,17283206.0
2023-11-29,17296397.3
2023-12-06,17320403.8
2023-12-13,17335712.5
2023-12-20,17360673.8
2023-12-27,17375135.6
2024-01-03,17388750.7
2024-01-10,17415453.0
2024-01-17,17421394.7
2024-01-24,17438620.7
2024-01-31,17453304.599999998
2024-02-07,17426944.4
2024-02-14,17462607.3
2024-02-21,17455767.3
2024-02-28,17488291.099999998
2024-03-06,17509813.5
2024-03-13,17577059.099999998
2024-03-20,17575013.4
2024-03-27,17593613.8
2024-04-03,17561236.799999997
2024-04-10,17521436.4
2024-04-17,17513552.8
2024-04-24,17524626.7
2024-05-01,17530973.900000002
2024-05-08,17550055.0
2024-05-15,17590939.0
2024-05-22,17566968.6
2024-05-29,17563248.9
2024-06-05,17609103.299999997
2024-06-12,17614378.799999997
2024-06-19,17661457.1
2024-06-26,17673105.3
2024-07-03,17679277.099999998
2024-07-10,17689505.2
2024-07-17,17704529.1
2024-07-24,17720224.7
2024-07-31,17739011.8
2024-08-07,17747168.8
2024-08-14,17786862.8
2024-08-21,17796427.400000002
2024-08-28,17781682.400000002
2024-09-04,17805395.7
2024-09-11,17826982.7
2024-09-18,17839798.900000002
2024-09-25,17863584.7
2024-10-02,17890826.700000003
2024-10-09,17905285.599999998
2024-10-16,17923268.7
2024-10-23,17935511.2
2024-10-30,17944924.0
2024-11-06,17928775.6
2024-11-13,17951146.400000002
2024-11-20,17936018.599999998
2024-11-27,17961268.400000002
2024-12-04,17959826.6
2024-12-11,17977235.3
2024-12-18,17966593.5
2024-12-25,17974928.0
2025-01-01,17970124.7
2025-01-08,17985705.2
2025-01-15,17982522.6
2025-01-22,18019947.2
2025-01-29,18003123.9
2025-02-05,18020863.3
2025-02-12,18029075.099999998
2025-02-19,18065232.9
2025-02-26,18092782.200000003
2025-03-05,18118103.599999998
2025-03-12,18125093.099999998
2025-03-19,18162169.7
2025-03-26,18180581.5
2025-04-02,18193581.7
2025-04-09,18236749.8
2025-04-16,18304897.799999997
2025-04-23,18319066.4
2025-04-30,18365261.2
2025-05-07,18358833.0
2025-05-14,18370203.6
2025-05-21,18383595.8
2025-05-28,18399314.0
2025-06-04,18406238.3
2025-06-11,18441840.400000002
2025-06-18,18462425.3
2025-06-25,18473621.9
2025-07-02,18517301.3
2025-07-09,18537011.900000002
2025-07-16,18554180.6
2025-07-23,18583108.5
2025-07-30,18600255.5
2025-08-06,18623685.8
2025-08-13,18650759.2
2025-08-20,18648641.2
2025-08-27,18714241.4
2025-09-03,18699261.1
2025-09-10,18724915.400000002
2025-09-17,18735247.7
2025-09-24,18758209.8
2025-10-01,18782287.5
2025-10-08,18790722.8
2025-10-15,18825805.0
2025-10-22,18850280.2
2025-10-29,18839552.8
2025-11-05,18867567.7
2025-11-12,18896328.900000002
2025-11-19,18922619.5
2025-11-26,18937567.1
2025-12-03,18910539.6
2025-12-10,18927917.3
2025-12-17,18943644.799999997
2025-12-24,18968863.099999998
2025-12-31,18963939.2
2026-01-07,19021275.6
2026-01-14,19069828.099999998
2026-01-21,19129947.9
2026-01-28,19144993.2
2026-02-04,19184441.5
2026-02-11,19240889.3
2026-02-18,19265798.0
2026-02-25,19269643.5
2026-03-04,19309766.5
2026-03-11,19343613.0
2026-03-18,19355074.1
2026-03-25,19382156.200000003
2026-04-01,19422823.0
2026-04-08,19449462.9
2026-04-15,19466192.4
2026-04-22,19456869.1
2026-04-29,19462525.900000002
2026-05-06,19495016.1
2026-05-13,19530762.0
2026-05-20,19566390.5
2026-05-27,19587496.8
2026-06-03,19579597.099999998
2026-06-10,19637417.6
2026-06-17,19651662.6
2026-06-24,19675506.4
2026-07-01,19644568.9
2026-07-08,19670678.1
2026-07-15,19764266.400000002
2026-07-22,19739137.0
2026-07-29,19768162.1
2026-08-05,19784004.9
2026-08-12,19794483.2
2026-08-19,19828517.1
2026-08-26,19830701.5
2026-09-02,19835254.5
