date,DTS:debt_redemptions|mtd
2025-06-05,611575.0
2025-06-06,613285.0
2025-06-09,615388.0
2025-06-10,846657.0
2025-06-11,858062.0
2025-06-12,1133244.0
2025-06-13,1136522.0
2025-06-16,1189196.0
2025-06-17,1418429.0
2025-06-18,1421487.0
2025-06-20,1646056.0
2025-06-23,1648092.0
2025-06-24,1875258.0
2025-06-25,1877095.0
2025-06-26,2107048.0
2025-06-27,2109191.0
2025-06-30,2240557.0
2025-07-01,224164.0
2025-07-02,225817.0
2025-07-03,461791.0
2025-07-07,464122.0
2025-07-08,671182.0
2025-07-09,673186.0
2025-07-10,955280.0
2025-07-11,958235.0
2025-07-14,961123.0
2025-07-15,1272852.0
2025-07-16,1274606.0
2025-07-17,1495702.0
2025-07-18,1497424.0
2025-07-21,1499114.0
2025-07-22,1706070.0
2025-07-23,1707794.0
2025-07-24,1926908.0
2025-07-25,1928635.0
2025-07-28,1930414.0
2025-07-29,2122738.0
2025-07-30,2124751.0
2025-07-31,2533894.0
2025-08-01,11101.0
2025-08-04,12926.0
2025-08-05,189969.0
2025-08-06,191764.0
2025-08-07,460806.0
2025-08-08,462576.0
2025-08-11,464384.0
2025-08-12,666285.0
2025-08-13,668170.0
2025-08-14,886654.0
2025-08-15,1026172.0
2025-08-18,1028194.0
2025-08-19,1240401.0
2025-08-20,1246140.0
2025-08-21,1456663.0
2025-08-22,1460061.0
2025-08-25,1461847.0
2025-08-26,1674103.0
2025-08-27,1677350.0
2025-08-28,1905126.0
2025-08-29,1907039.0
2025-09-02,345055.0
2025-09-03,346956.0
2025-09-04,627811.0
2025-09-05,630053.0
2025-09-08,633213.0
2025-09-09,870505.0
2025-09-10,872505.0
2025-09-11,1109870.0
2025-09-12,1111784.0
2025-09-15,1155433.0
2025-09-16,1463326.0
2025-09-17,1465242.0
2025-09-18,1704334.0
2025-09-19,1708345.0
2025-09-22,1710867.0
2025-09-23,2023399.0
2025-09-24,2025433.0
2025-09-25,2268805.0
2025-09-26,2270597.0
2025-09-29,2273201.0
2025-09-30,2664835.0
2025-10-01,6362.0
2025-10-02,310697.0
2025-10-03,314724.0
2025-10-06,317827.0
2025-10-07,571078.0
2025-10-08,575201.0
2025-10-09,826152.0
2025-10-10,828290.0
2025-10-14,1081819.0
2025-10-15,1167511.0
2025-10-16,1414955.0
2025-10-17,1417168.0
2025-10-20,1419982.0
2025-10-21,1672915.0
2025-10-22,1675268.0
2025-10-23,1924476.0
2025-10-24,1927046.0
2025-10-27,1928949.0
2025-10-28,2185072.0
2025-10-29,2188473.0
2025-10-30,2492536.0
2025-10-31,2707137.0
2025-11-03,5867.0
2025-11-04,268331.0
2025-11-05,270566.0
2025-11-06,523132.0
2025-11-07,524869.0
2025-11-10,526771.0
2025-11-12,794218.0
2025-11-13,1049079.0
2025-11-14,1051224.0
2025-11-17,1176874.0
2025-11-18,1444409.0
2025-11-19,1449810.0
2025-11-20,1706669.0
2025-11-21,1708942.0
2025-11-24,1711761.0
2025-11-25,1978935.0
2025-11-26,1981794.0
2025-11-28,2291908.0
2025-12-01,147399.0
2025-12-02,419566.0
2025-12-03,421373.0
2025-12-04,688370.0
2025-12-05,692525.0
2025-12-08,694351.0
2025-12-09,971714.0
2025-12-10,973487.0
2025-12-11,1232025.0
2025-12-12,1246440.0
2025-12-15,1289663.0
2025-12-16,1566792.0
2025-12-17,1568644.0
2025-12-18,1829392.0
2025-12-19,1832873.0
2025-12-22,1835049.0
2025-12-23,2109693.0
2025-12-24,2111547.0
2025-12-26,2421513.0
2025-12-29,2423539.0
2025-12-30,2690944.0
2025-12-31,2848191.0
2026-01-02,270954.0
2026-01-05,273201.0
2026-01-06,530693.0
2026-01-07,532587.0
2026-01-08,790075.0
2026-01-09,793436.0
2026-01-12,795753.0
2026-01-13,1047673.0
2026-01-14,1049484.0
2026-01-15,1428028.0
2026-01-16,1430039.0
2026-01-20,1678190.0
2026-01-21,1680053.0
2026-01-22,1980027.0
2026-01-23,1983397.0
2026-01-26,1985286.0
2026-01-27,2222129.0
2026-01-28,2225211.0
2026-01-29,2473648.0
2026-01-30,2475498.0
2026-02-02,246926.0
2026-02-03,480990.0
2026-02-04,482848.0
2026-02-05,735819.0
2026-02-06,741125.0
2026-02-09,742897.0
2026-02-10,978945.0
2026-02-11,981951.0
2026-02-12,1234210.0
2026-02-13,1236041.0
2026-02-17,1616622.0
2026-02-18,1618557.0
2026-02-19,1917995.0
2026-02-20,1922102.0
2026-02-23,1924324.0
2026-02-24,2185263.0
2026-02-25,2188583.0
2026-02-26,2436284.0
2026-02-27,2438409.0
2026-03-02,168003.0
2026-03-03,429296.0
2026-03-04,431243.0
2026-03-05,688599.0
2026-03-06,691813.0
2026-03-09,693982.0
2026-03-10,955093.0
2026-03-11,971553.0
2026-03-12,1234607.0
2026-03-13,1236533.0
2026-03-16,1277169.0
2026-03-17,1548244.0
2026-03-18,1565179.0
2026-03-19,1875182.0
2026-03-20,1877319.0
2026-03-23,1879289.0
2026-03-24,2155256.0
2026-03-25,2157079.0
2026-03-26,2422013.0
2026-03-27,2425322.0
2026-03-30,2427448.0
2026-03-31,2862988.0
2026-04-01,3528.0
2026-04-02,284458.0
2026-04-03,286394.0
2026-04-06,288262.0
2026-04-07,564464.0
2026-04-08,566278.0
2026-04-09,832101.0
2026-04-10,835421.0
2026-04-13,837586.0
2026-04-14,1109231.0
2026-04-15,1203844.0
2026-04-16,1520832.0
2026-04-17,1537978.0
2026-04-20,1540734.0
2026-04-21,1802042.0
2026-04-22,1803825.0
2026-04-23,2090008.0
2026-04-24,2092299.0
2026-04-27,2094207.0
2026-04-28,2351689.0
2026-04-29,2354788.0
2026-04-30,2886177.0
2026-05-01,3746.0
2026-05-04,5637.0
2026-05-05,256808.0
2026-05-06,258566.0
2026-05-07,521492.0
2026-05-08,527279.0
2026-05-11,530155.0
2026-05-12,777731.0
2026-05-13,779486.0
2026-05-14,1091324.0
2026-05-15,1210619.0
2026-05-18,1212948.0
2026-05-19,1454418.0
2026-05-20,1457914.0
2026-05-21,1710363.0
2026-05-22,1712527.0
2026-05-26,1951304.0
2026-05-27,1952984.0
2026-05-28,2202207.0
2026-05-29,2204411.0
2026-06-01,167836.0
2026-06-02,401046.0
2026-06-03,402967.0
2026-06-04,653977.0
2026-06-05,668321.0
2026-06-08,670071.0
2026-06-09,912135.0
2026-06-10,915507.0
2026-06-11,1218160.0
2026-06-12,1232022.0
2026-06-15,1275748.0
2026-06-16,1530968.0
2026-06-17,1533300.0
2026-06-18,1817147.0
2026-06-22,1819260.0
2026-06-23,2074481.0
2026-06-24,2076182.0
2026-06-25,2339240.0
2026-06-26,2342423.0
2026-06-29,2344834.0
2026-06-30,2762606.0
2026-07-01,10240.0
2026-07-02,280512.0
2026-07-03,282203.0
2026-07-06,283927.0
2026-07-07,524480.0
2026-07-08,526329.0
2026-07-09,847264.0
2026-07-10,851256.0
2026-07-13,854059.0
2026-07-14,1103246.0
2026-07-15,1193807.0
2026-07-16,1449080.0
