date,DTS:W|SSA - Benefits Payments
2025-06-05,133.0
2025-06-06,279.0
2025-06-09,177.0
2025-06-10,127.0
2025-06-11,30827.0
2025-06-12,155.0
2025-06-13,146.0
2025-06-16,145.0
2025-06-17,124.0
2025-06-18,29704.0
2025-06-20,122.0
2025-06-23,108.0
2025-06-24,84.0
2025-06-25,29637.0
2025-06-26,139.0
2025-06-27,-21.0
2025-06-30,-1.0
2025-07-01,416.0
2025-07-02,161.0
2025-07-03,25684.0
2025-07-07,108.0
2025-07-08,88.0
2025-07-09,30861.0
2025-07-10,99.0
2025-07-11,96.0
2025-07-14,103.0
2025-07-15,99.0
2025-07-16,29786.0
2025-07-17,104.0
2025-07-18,84.0
2025-07-21,98.0
2025-07-22,97.0
2025-07-23,29743.0
2025-07-24,120.0
2025-07-25,97.0
2025-07-28,-10.0
2025-07-29,-1.0
2025-07-30,-1.0
2025-07-31,-4.0
2025-08-01,26249.0
2025-08-04,86.0
2025-08-05,66.0
2025-08-06,213.0
2025-08-07,127.0
2025-08-08,117.0
2025-08-11,111.0
2025-08-12,92.0
2025-08-13,31019.0
2025-08-14,97.0
2025-08-15,91.0
2025-08-18,106.0
2025-08-19,86.0
2025-08-20,29909.0
2025-08-21,98.0
2025-08-22,79.0
2025-08-25,118.0
2025-08-26,95.0
2025-08-27,29730.0
2025-08-28,-9.0
2025-08-29,-14.0
2025-09-02,521.0
2025-09-03,25695.0
2025-09-04,113.0
2025-09-05,93.0
2025-09-08,108.0
2025-09-09,100.0
2025-09-10,31181.0
2025-09-11,86.0
2025-09-12,85.0
2025-09-15,95.0
2025-09-16,87.0
2025-09-17,30063.0
2025-09-18,87.0
2025-09-19,79.0
2025-09-22,94.0
2025-09-23,88.0
2025-09-24,30008.0
2025-09-25,90.0
2025-09-26,85.0
2025-09-29,-9.0
2025-09-30,-4.0
2025-10-01,389.0
2025-10-02,102.0
2025-10-03,25739.0
2025-10-06,175.0
2025-10-07,184.0
2025-10-08,31295.0
2025-10-09,180.0
2025-10-10,168.0
2025-10-14,175.0
2025-10-15,30163.0
2025-10-16,163.0
2025-10-17,140.0
2025-10-20,162.0
2025-10-21,149.0
2025-10-22,30165.0
2025-10-23,208.0
2025-10-24,94.0
2025-10-27,92.0
2025-10-28,-8.0
2025-10-29,-1.0
2025-10-30,-1.0
2025-10-31,-3.0
2025-11-03,26532.0
2025-11-04,80.0
2025-11-05,57.0
2025-11-06,111.0
2025-11-07,109.0
2025-11-10,115.0
2025-11-12,31283.0
2025-11-13,62.0
2025-11-14,83.0
2025-11-17,83.0
2025-11-18,96.0
2025-11-19,30222.0
2025-11-20,104.0
2025-11-21,84.0
2025-11-24,109.0
2025-11-25,-13.0
2025-11-26,30041.0
2025-11-28,-5.0
2025-12-01,481.0
2025-12-02,17.0
2025-12-03,25861.0
2025-12-04,74.0
2025-12-05,78.0
2025-12-08,97.0
2025-12-09,90.0
2025-12-10,31418.0
2025-12-11,88.0
2025-12-12,76.0
2025-12-15,94.0
2025-12-16,86.0
2025-12-17,30293.0
2025-12-18,79.0
2025-12-19,70.0
2025-12-22,93.0
2025-12-23,74.0
2025-12-24,30122.0
2025-12-26,-10.0
2025-12-29,-15.0
2025-12-30,-4.0
2025-12-31,-2.0
2026-01-02,26887.0
2026-01-05,62.0
2026-01-06,-4.0
2026-01-07,95.0
2026-01-08,96.0
2026-01-09,106.0
2026-01-12,91.0
2026-01-13,83.0
2026-01-14,32059.0
2026-01-15,88.0
2026-01-16,77.0
2026-01-20,105.0
2026-01-21,30878.0
2026-01-22,110.0
2026-01-23,89.0
2026-01-26,92.0
2026-01-27,95.0
2026-01-28,30737.0
2026-01-29,-16.0
2026-01-30,-12.0
2026-02-02,499.0
2026-02-03,26404.0
2026-02-04,93.0
2026-02-05,70.0
2026-02-06,111.0
2026-02-09,106.0
2026-02-10,91.0
2026-02-11,32251.0
2026-02-12,83.0
2026-02-13,78.0
2026-02-17,100.0
2026-02-18,31059.0
2026-02-19,105.0
2026-02-20,86.0
2026-02-23,87.0
2026-02-24,74.0
2026-02-25,30928.0
2026-02-26,-17.0
2026-02-27,-13.0
2026-03-02,617.0
2026-03-03,26408.0
2026-03-04,136.0
2026-03-05,92.0
2026-03-06,112.0
2026-03-09,112.0
2026-03-10,96.0
2026-03-11,32369.0
2026-03-12,93.0
2026-03-13,91.0
2026-03-16,97.0
2026-03-17,90.0
2026-03-18,31220.0
2026-03-19,122.0
2026-03-20,124.0
2026-03-23,131.0
2026-03-24,116.0
2026-03-25,31213.0
2026-03-26,91.0
2026-03-27,78.0
2026-03-30,-7.0
2026-03-31,-4.0
2026-04-01,343.0
2026-04-02,162.0
2026-04-03,26437.0
2026-04-06,89.0
2026-04-07,73.0
2026-04-08,32528.0
2026-04-09,96.0
2026-04-10,89.0
2026-04-13,100.0
2026-04-14,87.0
2026-04-15,31422.0
2026-04-16,90.0
2026-04-17,100.0
2026-04-20,92.0
2026-04-21,91.0
2026-04-22,31335.0
2026-04-23,87.0
2026-04-24,93.0
2026-04-27,-10.0
2026-04-28,-6.0
2026-04-29,1.0
2026-04-30,-3.0
2026-05-01,27010.0
2026-05-04,79.0
2026-05-05,60.0
2026-05-06,133.0
2026-05-07,109.0
2026-05-08,118.0
2026-05-11,103.0
2026-05-12,78.0
2026-05-13,32636.0
2026-05-14,85.0
2026-05-15,85.0
2026-05-18,104.0
2026-05-19,80.0
2026-05-20,31489.0
2026-05-21,87.0
2026-05-22,95.0
2026-05-26,98.0
2026-05-27,31401.0
2026-05-28,-16.0
2026-05-29,-18.0
2026-06-01,400.0
2026-06-02,101.0
2026-06-03,26499.0
2026-06-04,85.0
2026-06-05,182.0
2026-06-08,104.0
2026-06-09,90.0
2026-06-10,32767.0
2026-06-11,92.0
2026-06-12,87.0
2026-06-15,97.0
2026-06-16,84.0
2026-06-17,31617.0
2026-06-18,89.0
