date,DTS:debt_limit
2025-06-05,36103996.0
2025-06-06,36103996.0
2025-06-09,36103996.0
2025-06-10,36103996.0
2025-06-11,36103996.0
2025-06-12,36103996.0
2025-06-13,36103996.0
2025-06-16,36103996.0
2025-06-17,36103996.0
2025-06-18,36103996.0
2025-06-20,36103996.0
2025-06-23,36103996.0
2025-06-24,36103996.0
2025-06-25,36103996.0
2025-06-26,36103996.0
2025-06-27,36103996.0
2025-06-30,36103996.0
2025-07-01,36103996.0
2025-07-02,36103996.0
2025-07-03,36103996.0
2025-07-07,41103996.0
2025-07-08,41103996.0
2025-07-09,41103996.0
2025-07-10,41103996.0
2025-07-11,41103996.0
2025-07-14,41103996.0
2025-07-15,41103996.0
2025-07-16,41103996.0
2025-07-17,41103996.0
2025-07-18,41103996.0
2025-07-21,41103996.0
2025-07-22,41103996.0
2025-07-23,41103996.0
2025-07-24,41103996.0
2025-07-25,41103996.0
2025-07-28,41103996.0
2025-07-29,41103996.0
2025-07-30,41103996.0
2025-07-31,41103996.0
2025-08-01,41103996.0
2025-08-04,41103996.0
2025-08-05,41103996.0
2025-08-06,41103996.0
2025-08-07,41103996.0
2025-08-08,41103996.0
2025-08-11,41103996.0
2025-08-12,41103996.0
2025-08-13,41103996.0
2025-08-14,41103996.0
2025-08-15,41103996.0
2025-08-18,41103996.0
2025-08-19,41103996.0
2025-08-20,41103996.0
2025-08-21,41103996.0
2025-08-22,41103996.0
2025-08-25,41103996.0
2025-08-26,41103996.0
2025-08-27,41103996.0
2025-08-28,41103996.0
2025-08-29,41103996.0
2025-09-02,41103996.0
2025-09-03,41103996.0
2025-09-04,41103996.0
2025-09-05,41103996.0
2025-09-08,41103996.0
2025-09-09,41103996.0
2025-09-10,41103996.0
2025-09-11,41103996.0
2025-09-12,41103996.0
2025-09-15,41103996.0
2025-09-16,41103996.0
2025-09-17,41103996.0
2025-09-18,41103996.0
2025-09-19,41103996.0
2025-09-22,41103996.0
2025-09-23,41103996.0
2025-09-24,41103996.0
2025-09-25,41103996.0
2025-09-26,41103996.0
2025-09-29,41103996.0
2025-09-30,41103996.0
2025-10-01,41103996.0
2025-10-02,41103996.0
2025-10-03,41103996.0
2025-10-06,41103996.0
2025-10-07,41103996.0
2025-10-08,41103996.0
2025-10-09,41103996.0
2025-10-10,41103996.0
2025-10-14,41103996.0
2025-10-15,41103996.0
2025-10-16,41103996.0
2025-10-17,41103996.0
2025-10-20,41103996.0
2025-10-21,41103996.0
2025-10-22,41103996.0
2025-10-23,41103996.0
2025-10-24,41103996.0
2025-10-27,41103996.0
2025-10-28,41103996.0
2025-10-29,41103996.0
2025-10-30,41103996.0
2025-10-31,41103996.0
2025-11-03,41103996.0
2025-11-04,41103996.0
2025-11-05,41103996.0
2025-11-06,41103996.0
2025-11-07,41103996.0
2025-11-10,41103996.0
2025-11-12,41103996.0
2025-11-13,41103996.0
2025-11-14,41103996.0
2025-11-17,41103996.0
2025-11-18,41103996.0
2025-11-19,41103996.0
2025-11-20,41103996.0
2025-11-21,41103996.0
2025-11-24,41103996.0
2025-11-25,41103996.0
2025-11-26,41103996.0
2025-11-28,41103996.0
2025-12-01,41103996.0
2025-12-02,41103996.0
2025-12-03,41103996.0
2025-12-04,41103996.0
2025-12-05,41103996.0
2025-12-08,41103996.0
2025-12-09,41103996.0
2025-12-10,41103996.0
2025-12-11,41103996.0
2025-12-12,41103996.0
2025-12-15,41103996.0
2025-12-16,41103996.0
2025-12-17,41103996.0
2025-12-18,41103996.0
2025-12-19,41103996.0
2025-12-22,41103996.0
2025-12-23,41103996.0
2025-12-24,41103996.0
2025-12-26,41103996.0
2025-12-29,41103996.0
2025-12-30,41103996.0
2025-12-31,41103996.0
2026-01-02,41103996.0
2026-01-05,41103996.0
2026-01-06,41103996.0
2026-01-07,41103996.0
2026-01-08,41103996.0
2026-01-09,41103996.0
2026-01-12,41103996.0
2026-01-13,41103996.0
2026-01-14,41103996.0
2026-01-15,41103996.0
2026-01-16,41103996.0
2026-01-20,41103996.0
2026-01-21,41103996.0
2026-01-22,41103996.0
2026-01-23,41103996.0
2026-01-26,41103996.0
2026-01-27,41103996.0
2026-01-28,41103996.0
2026-01-29,41103996.0
2026-01-30,41103996.0
2026-02-02,41103996.0
2026-02-03,41103996.0
2026-02-04,41103996.0
2026-02-05,41103996.0
2026-02-06,41103996.0
2026-02-09,41103996.0
2026-02-10,41103996.0
2026-02-11,41103996.0
2026-02-12,41103996.0
2026-02-13,41103996.0
2026-02-17,41103996.0
2026-02-18,41103996.0
2026-02-19,41103996.0
2026-02-20,41103996.0
2026-02-23,41103996.0
2026-02-24,41103996.0
2026-02-25,41103996.0
2026-02-26,41103996.0
2026-02-27,41103996.0
2026-03-02,41103996.0
2026-03-03,41103996.0
2026-03-04,41103996.0
2026-03-05,41103996.0
2026-03-06,41103996.0
2026-03-09,41103996.0
2026-03-10,41103996.0
2026-03-11,41103996.0
2026-03-12,41103996.0
2026-03-13,41103996.0
2026-03-16,41103996.0
2026-03-17,41103996.0
2026-03-18,41103996.0
2026-03-19,41103996.0
2026-03-20,41103996.0
2026-03-23,41103996.0
2026-03-24,41103996.0
2026-03-25,41103996.0
2026-03-26,41103996.0
2026-03-27,41103996.0
2026-03-30,41103996.0
2026-03-31,41103996.0
