date,TOTCI
2022-09-14,2746599.7
2022-09-21,2755277.5
2022-09-28,2752431.6
2022-10-05,2766159.9
2022-10-12,2772280.0
2022-10-19,2769629.7
2022-10-26,2775502.4
2022-11-02,2782068.9000000004
2022-11-09,2792344.0
2022-11-16,2793747.8000000003
2022-11-23,2798752.0
2022-11-30,2788297.9
2022-12-07,2801491.4
2022-12-14,2806650.4
2022-12-21,2795709.1999999997
2022-12-28,2796125.7
2023-01-04,2805302.3
2023-01-11,2810683.1
2023-01-18,2813639.9
2023-01-25,2821393.0999999996
2023-02-01,2816226.6
2023-02-08,2810459.8000000003
2023-02-15,2806784.2
2023-02-22,2803874.4000000004
2023-03-01,2806957.6
2023-03-08,2800409.6
2023-03-15,2823547.5
2023-03-22,2789567.3000000003
2023-03-29,2779796.3
2023-04-05,2773982.4
2023-04-12,2768043.3
2023-04-19,2766429.3
2023-04-26,2765843.0
2023-05-03,2764125.0
2023-05-10,2768860.2
2023-05-17,2765447.6
2023-05-24,2762192.4
2023-05-31,2760919.1
2023-06-07,2752610.7
2023-06-14,2759527.0
2023-06-21,2756790.5
2023-06-28,2744511.8000000003
2023-07-05,2746008.6999999997
2023-07-12,2752685.9
2023-07-19,2753708.6
2023-07-26,2756418.8
2023-08-02,2753968.9
2023-08-09,2750717.0
2023-08-16,2759210.0999999996
2023-08-23,2758999.0
2023-08-30,2761698.1
2023-09-06,2760625.1999999997
2023-09-13,2759138.6
2023-09-20,2756965.5
2023-09-27,2762676.9
2023-10-04,2774331.6
2023-10-11,2779024.6
2023-10-18,2773985.3
2023-10-25,2771435.7
2023-11-01,2771146.6999999997
2023-11-08,2760098.4
2023-11-15,2759969.3000000003
2023-11-22,2775790.7
2023-11-29,2774626.6999999997
2023-12-06,2769463.9000000004
2023-12-13,2768749.6
2023-12-20,2761988.1999999997
2023-12-27,2761969.6
2024-01-03,2761764.1
2024-01-10,2761899.6999999997
2024-01-17,2761548.0
2024-01-24,2759507.4
2024-01-31,2767904.1999999997
2024-02-07,2767855.3000000003
2024-02-14,2769636.3000000003
2024-02-21,2763793.8
2024-02-28,2768967.0999999996
2024-03-06,2753021.4
2024-03-13,2750470.5
2024-03-20,2748805.1
2024-03-27,2749666.5
2024-04-03,2744520.5
2024-04-10,2739129.8000000003
2024-04-17,2737695.0
2024-04-24,2743077.2
2024-05-01,2754682.6
2024-05-08,2758197.9
2024-05-15,2754876.5
2024-05-22,2750370.6999999997
2024-05-29,2755533.7
2024-06-05,2755543.2
2024-06-12,2758193.6999999997
2024-06-19,2759062.5
2024-06-26,2769779.5999999996
2024-07-03,2766246.5
2024-07-10,2756672.0
2024-07-17,2754620.1
2024-07-24,2753723.3000000003
2024-07-31,2757708.9
2024-08-07,2762872.3
