date,DTS:W|USDA - Supp Nutrition Assist Prog (SNAP)|mtd
2025-06-05,1332.0
2025-06-06,1666.0
2025-06-09,2867.0
2025-06-10,3243.0
2025-06-11,3658.0
2025-06-12,4040.0
2025-06-13,4409.0
2025-06-16,5498.0
2025-06-17,5801.0
2025-06-18,6116.0
2025-06-20,6647.0
2025-06-23,7416.0
2025-06-24,7631.0
2025-06-25,7856.0
2025-06-26,8039.0
2025-06-27,8224.0
2025-06-30,8692.0
2025-07-01,127.0
2025-07-02,349.0
2025-07-03,616.0
2025-07-07,1808.0
2025-07-08,2185.0
2025-07-09,2700.0
2025-07-10,3127.0
2025-07-11,3523.0
2025-07-14,4559.0
2025-07-15,4897.0
2025-07-16,5265.0
2025-07-17,5528.0
2025-07-18,5836.0
2025-07-21,6634.0
2025-07-22,6867.0
2025-07-23,7091.0
2025-07-24,7309.0
2025-07-25,7642.0
2025-07-28,8157.0
2025-07-29,8380.0
2025-07-30,8578.0
2025-07-31,8766.0
2025-08-01,138.0
2025-08-04,869.0
2025-08-05,1224.0
2025-08-06,1599.0
2025-08-07,1982.0
2025-08-08,2339.0
2025-08-11,3539.0
2025-08-12,3962.0
2025-08-13,4320.0
2025-08-14,4669.0
2025-08-15,5003.0
2025-08-18,5939.0
2025-08-19,6226.0
2025-08-20,6518.0
2025-08-21,6803.0
2025-08-22,7080.0
2025-08-25,7781.0
2025-08-26,7974.0
2025-08-27,8160.0
2025-08-28,8315.0
2025-08-29,8516.0
2025-09-02,585.0
2025-09-03,843.0
2025-09-04,1150.0
2025-09-05,1439.0
2025-09-08,2513.0
2025-09-09,2967.0
2025-09-10,3365.0
2025-09-11,3753.0
2025-09-12,4117.0
2025-09-15,5120.0
2025-09-16,5432.0
2025-09-17,5798.0
2025-09-18,6093.0
2025-09-19,6368.0
2025-09-22,7262.0
2025-09-23,7491.0
2025-09-24,7732.0
2025-09-25,7963.0
2025-09-26,8143.0
2025-09-29,8634.0
2025-09-30,8840.0
2025-10-01,158.0
2025-10-02,356.0
2025-10-03,646.0
2025-10-06,1615.0
2025-10-07,1955.0
2025-10-08,2485.0
2025-10-09,2842.0
2025-10-10,3270.0
2025-10-14,4675.0
2025-10-15,4994.0
2025-10-16,5367.0
2025-10-17,5650.0
2025-10-20,6493.0
2025-10-21,6745.0
2025-10-22,6993.0
2025-10-23,7224.0
2025-10-24,7452.0
2025-10-27,8007.0
2025-10-28,8181.0
2025-10-29,8362.0
2025-10-30,8518.0
2025-10-31,8696.0
2025-11-03,338.0
2025-11-04,427.0
2025-11-05,555.0
2025-11-06,671.0
2025-11-07,838.0
2025-11-10,1561.0
2025-11-12,2198.0
2025-11-13,2545.0
2025-11-14,2877.0
2025-11-17,4175.0
2025-11-18,4563.0
2025-11-19,4926.0
2025-11-20,5279.0
2025-11-21,5611.0
2025-11-24,6561.0
2025-11-25,6872.0
2025-11-26,7202.0
2025-11-28,7648.0
2025-12-01,440.0
2025-12-02,663.0
2025-12-03,927.0
2025-12-04,1198.0
2025-12-05,1480.0
2025-12-08,2497.0
2025-12-09,2945.0
2025-12-10,3314.0
2025-12-11,3672.0
2025-12-12,4056.0
2025-12-15,5070.0
2025-12-16,5392.0
2025-12-17,5701.0
2025-12-18,6013.0
2025-12-19,6293.0
2025-12-22,7124.0
2025-12-23,7466.0
2025-12-24,7733.0
2025-12-26,8095.0
2025-12-29,8581.0
2025-12-30,8749.0
2025-12-31,8950.0
2026-01-02,295.0
2026-01-05,1014.0
2026-01-06,1316.0
2026-01-07,1631.0
2026-01-08,1996.0
2026-01-09,2442.0
2026-01-12,3509.0
2026-01-13,3865.0
2026-01-14,4206.0
2026-01-15,4524.0
2026-01-16,4850.0
2026-01-20,5952.0
2026-01-21,6209.0
2026-01-22,6570.0
2026-01-23,6857.0
2026-01-26,7495.0
2026-01-27,7712.0
2026-01-28,7860.0
2026-01-29,8004.0
2026-01-30,8168.0
2026-02-02,445.0
2026-02-03,663.0
2026-02-04,944.0
2026-02-05,1223.0
2026-02-06,1622.0
2026-02-09,2672.0
2026-02-10,3015.0
2026-02-11,3367.0
2026-02-12,3715.0
2026-02-13,4050.0
2026-02-17,5258.0
2026-02-18,5546.0
2026-02-19,5807.0
2026-02-20,6078.0
2026-02-23,6793.0
2026-02-24,6993.0
2026-02-25,7201.0
2026-02-26,7360.0
2026-02-27,7557.0
2026-03-02,477.0
2026-03-03,725.0
2026-03-04,1017.0
2026-03-05,1338.0
2026-03-06,1655.0
2026-03-09,2708.0
2026-03-10,3068.0
2026-03-11,3436.0
2026-03-12,3788.0
